FHRSID,BusinessNameClean,BusinessName,FHRSIDRep,RepresentativeClass,BusinessType,PostCode,LocalAuthorityName,Address,BakeryRank,BakeryScore,StoreCount,LocationMatch,AIClass,AIReason,BatchID,Model,VerificationDateTime
1897248,cake box,Cake Box,443663,NON_BAKERY,Other catering premises,KT1 1SF,Kingston-Upon-Thames,"31A Fife Road, Kingston Upon Thames",105,0.982392680030103,24,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
980709,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Retailers - other,W13 9BP,Ealing,"97 Broadway, West Ealing",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1024121,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Manufacturers/packers,HA5 3HR,Harrow,"51 Bridge Street, Pinner",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1079200,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Retailers - other,E15 4PH,Newham,"57 West Ham Lane, Stratford, London",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1358443,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Retailers - other,SW6 1NS,Hammersmith and Fulham,"405 North End Road, London",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1388047,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Retailers - other,IG1 2LD,Redbridge,"90 Ilford Lane, Ilford",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1574829,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Restaurant/Cafe/Canteen,TW2 7LN,Richmond-Upon-Thames,"108 High Street, Whitton, Richmond Upon Thames",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in celebration cakes, cupcakes, and desserts, which falls under the single-product rule for non-bakery classification.",20260901_164604_4,gemini-2.5-flash,2026-09-01T16:46:37
1649335,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Retailers - other,SE8 3PR,Lewisham,"214 Deptford High Street, London",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in egg-free celebration cakes, cupcakes, and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
1675140,eggfree cake box,Eggfree cake box,514500,NON_BAKERY,Retailers - other,SE16 3RN,Southwark,"264, Southwark Park Road, London",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in egg-free celebration cakes, cupcakes, and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
1734853,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Retailers - other,RM13 8TU,Havering,"207 Cherry Tree Lane, Rainham",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in egg-free celebration cakes, cupcakes, and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
1793577,eggfree cake box,Eggfree Cake Box,514500,NON_BAKERY,Retailers - other,BR1 1EA,Bromley,"34 High Street, Bromley",106,0.9823856977959148,11,YES,NON_BAKERY,"Specialises in egg-free celebration cakes, cupcakes, and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
739785,gails bakery,Gails bakery,490540,BAKERY_CAFE,Restaurant/Cafe/Canteen,SE21 7BJ,Southwark,"91, Dulwich Village, London",110,0.9820860936477912,4,YES,BAKERY_CAFE,"Operates as a cafe offering a substantial range of freshly baked sourdough, pastries, cakes, breakfasts, and lunches.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
1833384,gails bakery,Gails Bakery,490540,BAKERY_CAFE,Restaurant/Cafe/Canteen,N13 4PH,Enfield,"2-4 Aldermans Hill, LONDON",110,0.9820860936477912,4,YES,BAKERY_CAFE,"Operates as a cafe offering a substantial range of freshly baked sourdough, pastries, cakes, breakfasts, and lunches.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
1848825,gails bakery,Gails Bakery,490540,BAKERY_CAFE,Retailers - other,SW19 5DX,Merton,"9 High Street, Wimbledon, Merton",110,0.9820860936477912,4,YES,BAKERY_CAFE,"Operates as a cafe offering a substantial range of freshly baked sourdough, pastries, cakes, breakfasts, and lunches.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
329642,the eggfree cake box,The Eggfree Cake Box,67408,NON_BAKERY,Retailers - other,DA16 3PY,Bexley,"48 Bellegrove Road, Welling, Kent",147,0.9752095916917428,7,YES,NON_BAKERY,"Specialises in egg-free celebration cakes, cupcakes, and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
430126,the eggfree cake box,The Eggfree Cake Box,67408,NON_BAKERY,Retailers - other,SW16 4DE,Croydon,"1358 London Road, Norbury, London",147,0.9752095916917428,7,YES,NON_BAKERY,"Specialises in egg-free celebration cakes, cupcakes, and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
594229,the eggfree cake box,The Eggfree Cake Box,67408,NON_BAKERY,Retailers - other,N8 0DY,Haringey,"103 Turnpike Lane, Wood Green, London",147,0.9752095916917428,7,YES,NON_BAKERY,"Specialises in egg-free celebration cakes, cupcakes, and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_5,gemini-2.5-flash,2026-09-01T16:46:45
1033545,the eggfree cake box,The Eggfree Cake Box,67408,NON_BAKERY,Retailers - other,UB2 4DQ,Ealing,"53 King Street, Southall",147,0.9752095916917428,7,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1033931,the eggfree cake box,The Eggfree Cake Box,67408,NON_BAKERY,Retailers - other,UB1 1RR,Ealing,"28 South Road, Southall",147,0.9752095916917428,7,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1268299,the eggfree cake box,The Eggfree Cake Box,67408,NON_BAKERY,Retailers - other,BR6 0NN,Bromley,"281 High Street, Orpington",147,0.9752095916917428,7,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
640977,cakes and bakes,Cakes And Bakes,570067,NON_BAKERY,Retailers - other,E6 2JA,Newham,"216 High Street North, East Ham, London",157,0.97323645865736,14,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1085884,cakes and bakes,Cakes And Bakes,570067,NON_BAKERY,Other catering premises,DA15,Bexley,,157,0.97323645865736,14,UNCLEAR,UNCLEAR,Insufficient information to identify the specific establishment and its operating model.,20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1287030,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,E18 1AY,Redbridge,"140 George Lane, South Woodford",157,0.97323645865736,14,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1298389,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,IG3 9UR,Redbridge,"36 Goodmayes Road, Goodmayes",157,0.97323645865736,14,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1500698,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,IG1 2LD,Redbridge,"108 Ilford Lane, Ilford",157,0.97323645865736,14,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1589852,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Takeaway/sandwich shop,E17 7DB,Waltham Forest,"107 High Street, Walthamstow, London",157,0.97323645865736,14,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1643155,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,,Harrow,"456 Alexandra Avenue, Harrow",157,0.97323645865736,14,YES,NON_BAKERY,"Specialises in celebration cakes and desserts, which falls under the single-product rule for NON_BAKERY.",20260901_164604_6,gemini-2.5-flash,2026-09-01T16:46:53
1721250,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,E6 2JX,Newham,"417 Barking Road, East Ham, London",157,0.97323645865736,14,YES,CORE_BAKERY,"This establishment is a cake shop that specializes in a variety of cakes, cupcakes, and pastries, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1804103,cakes and bakes,Cakes and Bakes,570067,NON_BAKERY,Retailers - other,BR1 4PP,Lewisham,"450 Bromley Road, London",157,0.97323645865736,14,YES,CORE_BAKERY,"This establishment is a cake shop that specializes in a variety of cakes, cupcakes, and pastries, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1864483,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,BR6 0ND,Bromley,"284 High Street, Orpington",157,0.97323645865736,14,YES,CORE_BAKERY,"This establishment is a cake shop that specializes in a variety of cakes, cupcakes, and pastries, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1896120,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,RM5 3AH,Havering,"83-95 Hainault Road, Romford",157,0.97323645865736,14,YES,CORE_BAKERY,"This establishment is a cake shop that specializes in a variety of cakes, cupcakes, and pastries, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1907941,cakes and bakes,Cakes & Bakes,570067,NON_BAKERY,Retailers - other,IG2 7DE,Redbridge,"6 Central Parade, Ley Street, Ilford",157,0.97323645865736,14,YES,CORE_BAKERY,"This establishment is a cake shop that specializes in a variety of cakes, cupcakes, and pastries, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1914670,cakes and bakes,Cakes and Bakes,570067,NON_BAKERY,Retailers - other,IG11 8DN,Barking and Dagenham,"10 Station Parade, Barking",157,0.97323645865736,14,UNCLEAR,UNCLEAR,No specific information found for this exact address and business name to confirm its operating model or bakery provision.,20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1242207,eggfree cakebox,Eggfree Cakebox,519643,NON_BAKERY,Retailers - other,HA2 8EB,Harrow,"280 Northolt Road, South Harrow",160,0.9730689455452678,2,YES,CORE_BAKERY,"This establishment is an egg-free cake shop offering a variety of cakes, cupcakes, and sweet treats, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1229861,cakebox,Cakebox,443897,NON_BAKERY,Takeaway/sandwich shop,UB6 8SH,Ealing,"486 Greenford Road, Greenford",164,0.9725005604681224,5,YES,CORE_BAKERY,"This establishment is a dessert shop specializing in egg-free cakes, cupcakes, and cake slices, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1718565,cakebox,Cakebox,443897,NON_BAKERY,Retailers - other,HA5 5EN,Harrow,"335 Rayners Lane, Harrow",164,0.9725005604681224,5,YES,CORE_BAKERY,"This establishment is an egg-free cake shop offering a variety of cakes, cupcakes, and sweet treats, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1834573,cakebox,Cakebox,443897,NON_BAKERY,Retailers - other,W9 3NA,Westminster,"389C HARROW ROAD, LONDON",164,0.9725005604681224,5,YES,CORE_BAKERY,"This establishment is a cake shop specializing in egg-free cakes, cupcakes, and desserts, operating from a stable, customer-facing retail location.",20260901_164604_7,gemini-2.5-flash,2026-09-01T16:47:01
1914742,cakebox,Cakebox,443897,NON_BAKERY,Restaurant/Cafe/Canteen,UB8 1QT,Hillingdon,"35 Belmont Road, Uxbridge",164,0.9725005604681224,5,YES,NON_BAKERY,"Specialises in celebration cakes and cupcakes, which falls under the single-product rule for non-bakery classification.",20260901_164604_8,gemini-2.5-flash,2026-09-01T16:47:09
904095,maddison s bakery,Maddison's Bakery,468320,CORE_BAKERY,Takeaway/sandwich shop,DA5 1BT,Bexley,"157 Blendon Road, Bexley, Kent",196,0.966398127388316,2,YES,CORE_BAKERY,"Identified as a bakery with a focus on bread, cakes, and pastries.",20260901_164604_8,gemini-2.5-flash,2026-09-01T16:47:09
925312,the eggfree cakebox,The Eggfree Cakebox,665819,NON_BAKERY,Retailers - other,E14 0EG,Tower Hamlets,"Unit A, 251e East India Dock Road, London",197,0.9663567012915152,2,YES,NON_BAKERY,"Specialises in egg-free celebration cakes and cupcakes, which falls under the single-product rule for non-bakery classification.",20260901_164604_8,gemini-2.5-flash,2026-09-01T16:47:09
519067,wenzels the bakers,Wenzels The Bakers,413163,CORE_BAKERY,Retailers - other,UB10 0LG,Hillingdon,"3 Crescent Parade, Uxbridge Road, Uxbridge",204,0.9654435776395336,26,YES,CORE_BAKERY,"Wenzel's is a bakery chain that bakes bread fresh daily and offers a wide range of bakery products including sandwiches, savouries, and sweet treats.",20260901_164604_8,gemini-2.5-flash,2026-09-01T16:47:09
519717,wenzels the bakers,Wenzels the Bakers,413163,CORE_BAKERY,Retailers - other,UB10 8DF,Hillingdon,"5 Swakeleys Road, Ickenham",204,0.9654435776395336,26,YES,CORE_BAKERY,"Wenzel's is a bakery chain that bakes bread fresh daily and offers a wide range of bakery products including sandwiches, savouries, and sweet treats.",20260901_164604_8,gemini-2.5-flash,2026-09-01T16:47:09
519723,wenzels the bakers,Wenzels the Bakers,413163,CORE_BAKERY,Retailers - other,HA5 1QL,Hillingdon,"155 Field End Road, Eastcote",204,0.9654435776395336,26,YES,CORE_BAKERY,"Wenzel's is a bakery chain that bakes bread fresh daily and offers a wide range of bakery products including sandwiches, savouries, and sweet treats.",20260901_164604_8,gemini-2.5-flash,2026-09-01T16:47:09
519922,wenzels the bakers,Wenzels The Bakers,413163,CORE_BAKERY,Retailers - other,UB8 1LH,Hillingdon,"29 Market Square, Uxbridge",204,0.9654435776395336,26,YES,CORE_BAKERY,"Wenzel's is a bakery chain that bakes bread fresh daily and offers a wide range of bakery products including sandwiches, savouries, and sweet treats.",20260901_164604_8,gemini-2.5-flash,2026-09-01T16:47:09
