BakeryRank,BusinessName,BusinessNameClean,BusinessType,Address,PostCode,LocalAuthorityName,FHRSIDRep,StoreCount,BakeryScore,LocationMatch,AIClass,V2ManualVerdict,AIReason,V2ManualNote,ReviewFlags,ManualClass,ManualReason,ManualSourceURL
360,Mubarakiya Bakery,mubarakiya bakery,Retailers - other,"108 SEYMOUR PLACE, LONDON",W1H 1NH,Westminster,1720972,1,0.9191815361430824,YES,NON_BAKERY,,"Mubarakiya Bakery, based on the Uber Eats menu, appears to be a breakfast and brunch spot with Middle Eastern flavors, offering traditional dishes and Lebanese pastries alongside a wider meal menu. This indicates that bakery products are incidental to its wider menu.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
375,Kylie's Dominican Bakery,kylie s dominican bakery,Retailers - other,"Unit 2, 2A Selhurst Road, South Norwood, London",SE25 5QF,Croydon,1838507,1,0.9152566868463174,YES,NON_BAKERY,,"While named a bakery, the current online menu primarily features empanadas, savory platters, and individual cake slices, not a substantial bakery range.",,FN_NON_BAKERY_STRONG_NAME,UNCLEAR,insufficient evicence,
383,Afgani Bakery Ltd,afgani bakery ltd,Manufacturers/packers,"17 Pop In Commercail Centre, South Way, Wembley",HA9 0HB,Brent,1021671,1,0.9131170634884416,YES,NON_BAKERY,,"Afgani Bakery Ltd is listed as a ""Manufacturers/packers"" with no affirmative evidence of a customer-facing retail location.",,FN_NON_BAKERY_STRONG_NAME,UNCLEAR,insufficient evicence,
393,Bagel n Cakes,bagel n cakes,Retailers - other,"Food Exchange New Covent Garden Market Nine Elms Lane, London, Wandsworth",SW8 5EL,Wandsworth,1930107,1,0.9104807386801312,YES,NON_BAKERY,,"Bagel n Cakes operates from the Food Exchange, which is a shared kitchen and co-working space for food businesses, not a customer-facing retail location for this specific business.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
405,Alpha Bakery,alpha bakery,Other catering premises,1360 High Road London,N20 9HJ,Barnet,1884572,1,0.9070138796546892,YES,NON_BAKERY,,"The business appears to be a Vietnamese deli/cafe with a menu focused on sandwiches, rice dishes, and noodle soups, with baked goods not forming a substantial part of the offering.",,FN_NON_BAKERY_STRONG_NAME,BAKERY_CAFE,,https://share.google/4FAoEaJqjEdcYyQEI
412,Coughlans Bakeries,coughlans bakeries,Retailers - other,"99 Station Road, West Wickham",BR4 0PX,Bromley,358375,1,0.9056139457685346,YES,NON_BAKERY,,"INACTIVE: Coughlans Bakeries, including the West Wickham branch, ceased trading on July 1, 2026, and entered voluntary liquidation.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,permanently closed,
436,Tm artisan bakers ltd,tm artisan bakers ltd,Takeaway/sandwich shop,"Mercato Metropolitano, 42, Newington Causeway, London",SE1 6DR,Southwark,1724557,1,0.8987740433384702,YES,NON_BAKERY,,"INACTIVE: The company's registered office address changed from the supplied location, and a voluntary liquidator was appointed in December 2024.",,FN_NON_BAKERY_STRONG_NAME,UNCLEAR,insufficient evicence,
452,Angels Bakery,angels bakery,Other catering premises,"333 Barking Road, Plaistow, London",E13 8EE,Newham,640363,4,0.8942678115437304,YES,NON_BAKERY,,"Angels Bakery at 333 Barking Road, London, E13 8EE, primarily offers Nigerian takeaway meals like jollof rice, stews, and grilled meats, with baked goods such as bread and pies being secondary.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
531,Fluffy Bakery London,fluffy bakery london,Restaurant/Cafe/Canteen,"Mission Kitchen 1st Floor Food Exchange New Covent Garden Market Nine Elms Lane, London, Wandsworth",SW8 5EL,Wandsworth,1905576,1,0.8729086383743055,UNCLEAR,UNCLEAR,,"Fluffy Bakery London is located within Mission Kitchen, a shared kitchen and co-working space for food businesses, and it's unclear if it operates as a customer-facing retail bakery at this specific address.",,FN_UNCLEAR_BAKERY,NON_BAKERY,,
536,Selin's Bakery,selin s bakery,Retailers - other,"Shop 1, Edward House, 44 The Mall, Ealing",W5 3TJ,Ealing,1945773,1,0.8711160064914667,YES,UNCLEAR,BAKERY,"Selin's Bakery is listed as ""Retailers - other"" with no inspection date, and there is no affirmative evidence to determine its operating model or the substantiality of its bakery provision at this specific location.",There is sufficient evidence to show that it is serving mainly homemade baked goods,FN_UNCLEAR_BAKERY,CORE_BAKERY,,
553,Rithi Home Bakery,rithi home bakery,Restaurant/Cafe/Canteen,"47B High Street, Bromley",BR1 1LE,Bromley,1807248,1,0.8665308225449259,YES,UNCLEAR,,"While the name suggests a bakery, there is no affirmative evidence to confirm it operates as a stable, customer-facing retail bakery or cafe, and it is listed as a Restaurant/Cafe/Canteen.",,FN_UNCLEAR_BAKERY,UNCLEAR,insufficient evicence,
563,Kristies cakes and pastries,kristies cakes and pastries,Retailers - other,"Unit D, 133, Sumner Road, London",SE15 6JL,Southwark,1267932,1,0.864297662827092,YES,NON_BAKERY,,"""Kristies cakes and pastries"" at Unit D, 133, Sumner Road, London, SE15 6JL, despite its name, is listed as ""Retailers - other"" by FHRS and there is no affirmative evidence to suggest it operates as a principal bakery or a cafe with substantial bakery provision.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
576,The Cavan Bakery,the cavan bakery,Manufacturers/packers,"25 High Street, Teddington, London, Richmond Upon Thames",TW11 8ET,Richmond-Upon-Thames,1574764,1,0.8595508312925767,YES,NON_BAKERY,,"INACTIVE: This specific branch of The Cavan Bakery closed on April 16, 2026.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,permanently closed,
592,Passion Bakery,passion bakery,Manufacturers/packers,"Unit 7 Gardner Industrial Estate Kent House Lane, Beckenham",BR3 1QZ,Bromley,1011684,1,0.8540401975344536,YES,NON_BAKERY,NOT_BAKERY,This is a manufacturer/packer with no evidence of a customer-facing retail location.,Agree with AI,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
612,Percy Ingle Bakeries,percy ingle bakeries,Restaurant/Cafe/Canteen,"231 WELL STREET, Hackney, London",E9 6RG,Hackney,469145,1,0.8478634574577781,YES,NON_BAKERY,,INACTIVE: The Percy Ingle bakery chain permanently closed all its stores in 2020-2021.,,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,permanently closed,
635,Dee's West Indies Bakery,dee s west indies bakery,Restaurant/Cafe/Canteen,"526 Hertford Road, ENFIELD",EN3 5SS,Enfield,317970,1,0.8415494157458523,YES,NON_BAKERY,NOT_BAKERY,"Primarily a Caribbean takeaway and restaurant that also sells some cakes and patties, but bakery goods do not form a substantial part of its offering.",Agree with AI,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
644,St. Helen's Bakery,st helen s bakery,Manufacturers/packers,"Ground Floor, 61 St Helen's Gardens, LONDON",W10 6LL,Kensington and Chelsea,333982,1,0.8396667351647876,YES,NON_BAKERY,BAKERY,The business is listed as a manufacturer/packer and there is no evidence of a customer-facing retail operation at the supplied address.,There is sufficient evidence to show that it is serving mainly homemade baked goods,FN_NON_BAKERY_STRONG_NAME,CORE_BAKERY,,
662,APPLETON BAKERY,appleton bakery,Retailers - other,"Unit 35 Spectrum House, 32-34 Gordon House Road, London",NW5 1LP,Camden,1918492,1,0.8342922258703976,YES,NON_BAKERY,,"The business website indicates it is a granola producer that sells at markets and select stockists, with a ""new bakery by Hampstead Heath"" where customers can buy fresh from the oven by messaging first. This suggests it's not a stable, customer-facing retail bakery at the listed address.",,FN_NON_BAKERY_STRONG_NAME,UNCLEAR,insufficient evicence,
673,The Italian Bakery,the italian bakery,Restaurant/Cafe/Canteen,"9 Market Parade Forest Road, Walthamstow, London",E17 6DY,Waltham Forest,1174149,1,0.831133506592591,YES,NON_BAKERY,,"""The Italian Bakery"" at the supplied address is a restaurant/cafe/canteen that serves pizza, lasagna, and other Italian dishes. While it may offer some baked goods, its principal identity is not bakery-led, and bakery items appear incidental to its wider menu.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
723,Terrace Bakery,terrace bakery,Restaurant/Cafe/Canteen,"30 - 32 Chase Road, Park Royal",NW10 6QN,Ealing,1793679,1,0.8179121714285749,YES,UNCLEAR,NOT_BAKERY,"While named ""Terrace Bakery"", the available menu information is generic and does not provide affirmative evidence of a bakery-led identity or substantial bakery provision at this specific London location. Other search results for ""Terrace Bakery"" refer to establishments in the US.",Agree with AI,FN_UNCLEAR_BAKERY,NON_BAKERY,,
728,Bread Tree,bread tree,Distributors/Transporters,"Croydon House, 1 Peall Road, Croydon",CR0 3EX,Croydon,859615,1,0.816226572769374,YES,NON_BAKERY,NOT_BAKERY,"Bread Tree is identified as a distributor/transporter of Italian food products, not a customer-facing retail bakery.",Agree with AI,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
775,Xenia's Bakery,xenia s bakery,Other catering premises,"Food Exchange New Covent Garden Market Nine Elms Lane, London, Wandsworth",SW8 5EL,Wandsworth,1930103,1,0.8032875241897973,YES,UNCLEAR,,"Located within the Food Exchange, which is a hub for food businesses, but no specific evidence confirms Xenia's Bakery operates as a customer-facing retail bakery at this exact address.",,FN_UNCLEAR_BAKERY,NON_BAKERY,,
799,D&D Cakes & Pastry,d and d cakes and pastry,Retailers - other,"41 High Street North, East Ham, London",E6 1HS,Newham,746056,1,0.7972854337083655,YES,NON_BAKERY,,"D&D Cakes & Pastry specializes in cakes and pastries, with popular items being cake slices and éclairs, but it is a single-product concept (cakes/desserts) rather than a bakery with a broad range of baked goods.",,FN_NON_BAKERY_STRONG_NAME,CORE_BAKERY,,
863,Eddie's Bakery,eddie s bakery,Takeaway/sandwich shop,"Eddie's Bakery, Unit 3, 13 Stroud Green Road, London",N4 2AL,Islington,1456338,1,0.7804921636166722,YES,NON_BAKERY,NOT_BAKERY,"Takeaway/sandwich shop primarily serving Turkish dishes like lahmacun and pides, with baked goods being incidental to the main menu.",Agree with AI,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
877,"Momo Retail, Mai Bakery",momo retail mai bakery,Other catering premises,"Flat 1103, 222 Marsh Wall, London",E14 9EN,Tower Hamlets,1908704,1,0.7756669516290228,UNCLEAR,UNCLEAR,,"The address provided is a flat, and the FHRS type is ""Other catering premises,"" suggesting it's not a customer-facing retail bakery. No further information could be found to confirm a retail operation.",,FN_UNCLEAR_BAKERY,UNCLEAR,insufficient evicence,
880,Red Rose Bakery- Le Connaisseur Limited,red rose bakery le connaisseur limited,Manufacturers/packers,"20 Carlisle Road, Kingsbury, London",NW9 0HL,Brent,1962080,1,0.7746213080432623,YES,NON_BAKERY,,"Red Rose Bakery, operating under Le Connaisseur Limited at 20 Carlisle Road, Kingsbury, London, NW9 0HL, is a wholesale cake and dessert supplier, not a customer-facing retail bakery.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
900,Johnny Walls Bakery,johnny walls bakery,Retailers - other,"82 Ben Jonson Road, London",E1 3NN,Tower Hamlets,41487,1,0.7703142933004751,YES,NON_BAKERY,,The bakery has permanently closed as of July 2023.,,FN_NON_BAKERY_STRONG_NAME,BAKERY_CAFE,,https://share.google/Ufcej8OfG3zYmztTD
928,The Feel Good Bakery,the feel good bakery,Restaurant/Cafe/Canteen,"254 Wimbledon Park Road, London, Wandsworth",SW19 6NL,Wandsworth,1728446,1,0.7642498490230458,YES,NON_BAKERY,BAKERY,"Identified as a coffee shop and social enterprise that serves specialty coffee, pastries, and snacks, but its primary identity is not bakery-led, and it evolved from a sandwich business.",There is sufficient evidence to show that it is serving mainly homemade baked goods,FN_NON_BAKERY_STRONG_NAME,BAKERY_CAFE,,
966,Bocconcini Bakery Ltd,bocconcini bakery ltd,Other catering premises,"17 The Swan Centre Rosemary Road, London, Wandsworth",SW17 0AR,Wandsworth,1573559,1,0.7539953645635707,YES,NON_BAKERY,,"Primarily a manufacturer of gluten-free pizza bases and part-baked bread, operating from a unit with no clear evidence of a customer-facing retail location.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
996,Ma Bakers,ma bakers,Retailers - other,"668 Rainham Road South, Dagenham",RM10 8YS,Barking and Dagenham,126487,1,0.7457829963401782,YES,NON_BAKERY,,"INACTIVE: Ma Bakers Limited entered into a members' voluntary liquidation on July 27, 2026, and a resolution for winding up was passed on August 4, 2026.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1005,EK Patisserie Ltd,ek patisserie ltd,Manufacturers/packers,"Unit A 8, Alpha Beta Business Centre, 7 - 11 Minerva Road, Park Royal",NW10 6HJ,Ealing,1785418,1,0.7436991275093955,YES,NON_BAKERY,,EK Patisserie Ltd is listed as a manufacturer/packer and explicitly states they are an online cake boutique with no customer-facing storefront and do not offer pick-up.,,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1022,Patisserie Land Ltd,patisserie land ltd,Manufacturers/packers,"28 Park Royal Road, Park Royal",NW10 7JW,Ealing,1563259,1,0.7373644755108477,YES,NON_BAKERY,BAKERY,"""Patisserie Land Ltd at 28 Park Royal Road, Park Royal, NW10 7JW is listed as a manufacturer/packer and its website indicates it's a wholesale operation for Lebanese sweets and baklava, with a ""coming soon"" section for an online presence, but no evidence of a stable customer-facing retail location at this address.""",There is sufficient evidence to show that it is serving mainly homemade baked goods,FN_NON_BAKERY_STRONG_NAME,CORE_BAKERY,,
1145,Luchio's Bread Obsession Limited,luchio s bread obsession limited,Other catering premises,"Charlton Park Lodge Cemetery Lane, Charlton, Greenwich",SE7 8DZ,Greenwich,1201326,1,0.7025928444660836,YES,NON_BAKERY,NOT_BAKERY,"Luchio's Bread Obsession Limited is registered at Charlton Park Lodge Cemetery Lane, which appears to be a production or administrative address, with no evidence of a customer-facing retail bakery.",Insufficient evidence for this business,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1207,STYLE BREAD EUROPE LTD,style bread europe ltd,Retailers - other,"10 John Street, London",WC1N 2EB,Camden,1918487,1,0.6861631654109311,UNCLEAR,UNCLEAR,,"The business type is ""Retailers - other"" and the address is a general office building. There is no affirmative evidence of a customer-facing retail bakery operation at this specific location.",,FN_UNCLEAR_BAKERY,UNCLEAR,insufficient evicence,
1227,Commons Bakehouse,commons bakehouse,Retailers - other,"FLAT 539 FELLOWS COURT WEYMOUTH TERRACE, Hackney, London",E2 8LF,Hackney,1872313,1,0.6804399388702319,UNCLEAR,UNCLEAR,NOT_BAKERY,"The address provided is for a flat within a residential court, and there is no affirmative evidence that ""Commons Bakehouse"" operates as a customer-facing retail bakery at this specific location.",Insufficient evidence for this business,FN_UNCLEAR_BAKERY,NON_BAKERY,,
1262,Boulangerie Jade Limited,boulangerie jade limited,Manufacturers/packers,"Unit 11 Lansdowne Workshops Lansdowne Mews, Charlton, Greenwich",SE7 8AZ,Greenwich,984129,1,0.6688279051009014,YES,NON_BAKERY,BAKERY,"This establishment is listed as ""Manufacturers/packers"" and its address is ""Unit 11 Lansdowne Workshops Lansdowne Mews, Charlton, Greenwich, SE7 8AZ"". While Boulangerie Jade has retail locations, this specific address appears to be a production or wholesale unit, not a customer-facing retail location.",Agree with AI,FN_NON_BAKERY_STRONG_NAME,BAKERY_CAFE,,
1309,OYO Bakers Hotel,oyo bakers hotel,Hotel/bed & breakfast/guest house,"126 WARWICK WAY, LONDON",SW1V 4JA,Westminster,413085,1,0.6576129237941812,YES,NON_BAKERY,,"OYO Bakers Hotel is a hotel that offers continental breakfast. Despite ""Bakers"" in the name, it is not primarily a bakery.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1344,Heath Street Bakehouse,heath street bakehouse,Restaurant/Cafe/Canteen,"79-81 Heath Street, London",NW3 6UG,Camden,1222882,1,0.6469996638118652,YES,NON_BAKERY,,INACTIVE: The establishment permanently closed in September 2025 due to economic factors.,,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,permanently closed,
1345,Bread & Co.,bread and co,Restaurant/Cafe/Canteen,"UNIT C12 WEST ONE SHOPPING CENTRE 381 OXFORD STREET, LONDON",W1C 2JS,Westminster,1689925,1,0.6468243724980307,YES,NON_BAKERY,,"The address corresponds to a Holland & Barrett health food store within a shopping centre, not a bakery.",,FN_NON_BAKERY_STRONG_NAME,BAKERY_CAFE,,https://share.google/bfyQRIBVCejbg80KA
1365,QC BREAD,qc bread,Retailers - other,"19 Bassett Street, London",NW5 4PG,Camden,1834725,1,0.6422261449754063,YES,UNCLEAR,,"While named ""QC BREAD"" and listed as a retailer, there is no affirmative evidence of its specific retail operation or substantial bakery provision at the supplied location.",,FN_UNCLEAR_BAKERY,UNCLEAR,insufficient evicence,
1375,Bread & Roses,bread and roses,Pub/bar/nightclub,"The Bread And Roses Public House, 68 Clapham Manor Street, London",SW4 6DZ,Lambeth,483966,1,0.6379174361072645,YES,NON_BAKERY,,"The Bread & Roses is a pub and theatre that serves food, but its principal identity is not bakery-led, and bakery goods are not a substantial part of its offering.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1529,Polish Letter Academy - Bakery Stall,polish letter academy bakery stall,Retailers - other,"St Georges School Tylney Road, Bromley",BR1 2RL,Bromley,1756539,1,0.5911138815118002,YES,NON_BAKERY,NOT_BAKERY,"This is a bakery stall associated with a Polish school, which itself is an educational institution. The stall is likely not a stable, customer-facing retail location for a bakery, but rather an incidental offering at the school.",Inaccesible to the public,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1574,PONY&IVY BAKERY,pony and ivy bakery,Other catering premises,"17 Harrowdene Gardens, Teddington, Richmond Upon Thames",TW11 0DH,Richmond-Upon-Thames,1970008,1,0.5778603289107492,UNCLEAR,UNCLEAR,,"The business ""PONY&IVY BAKERY"" at the supplied address could not be found with affirmative evidence of a customer-facing retail location. Cavan Bakery is in Teddington but at a different address.",,FN_UNCLEAR_BAKERY,NON_BAKERY,,
1591,Carmella Patisserie,carmella patisserie,Manufacturers/packers,1025 Finchley Road London,NW11 7ES,Barnet,874957,2,0.5735638380948885,YES,NON_BAKERY,MIXED,"This establishment is described as a ""Candy Store"" and a ""Persian restaurant"" that sells fresh cream cakes, but not as a bakery with a substantial and persistent bakery offering.",One business exists the other is closed,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1607,Simply Bread,simply bread,Restaurant/Cafe/Canteen,"55 Black Prince Road, London",SE11 6AB,Lambeth,1766853,1,0.5696240720158398,YES,NON_BAKERY,,Sandwich shop that uses externally sourced bread and offers incidental pastries.,,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1721,Hovis Bakeries Canteen,hovis bakeries canteen,Restaurant/Cafe/Canteen,"Belmont Road, Erith, Kent",DA8 1JZ,Bexley,1038533,1,0.5366172332096761,YES,NON_BAKERY,,"Hovis Bakeries Canteen is identified as a canteen at the Hovis bakery production site, not a retail bakery.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1803,Aji Bakery & Cafe  (Lower Level),aji bakery and cafe lower level,Restaurant/Cafe/Canteen,"County Hall Riverside Building, Westminster Bridge Road, London",SE1 7PB,Lambeth,1575880,1,0.5106974957415144,YES,NON_BAKERY,,"Cafe primarily serving Japanese cuisine with some baked items like croissants and cakes, but not bakery-led.",,FN_NON_BAKERY_NOT_BAKERY_LED; FN_NON_BAKERY_STRONG_NAME,BAKERY_CAFE,,https://share.google/5R53Cnbi749F7UuGp
1875,Didier's Patisserie,didier s patisserie,Manufacturers/packers,"Unit 5 City Cross Business Park Salutation Road, Greenwich",SE10 0AT,Greenwich,1096747,1,0.4922368556546875,YES,NON_BAKERY,NOT_BAKERY,"Primarily a wholesale patisserie manufacturer with no clear evidence of a stable, customer-facing retail location at the supplied address.",Agree with AI,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1889,Patisserie Rose,patisserie rose,Manufacturers/packers,"Unit R02, Acton Business Centre, School Road, Park Royal",NW10 6TD,Ealing,1034145,1,0.4885888435118312,YES,NON_BAKERY,,"Patisserie Rose is listed as a manufacturer/packer at a business centre address, with no affirmative evidence of a customer-facing retail location.",,FN_NON_BAKERY_STRONG_NAME,UNCLEAR,insufficient evicence,
1903,67 Sourdough,67 sourdough,Restaurant/Cafe/Canteen,82 Great North Road London,N2 0NL,Barnet,1722994,1,0.4836334268958188,YES,NON_BAKERY,,"A restaurant primarily serving sourdough pizzas, not a bakery with a substantial range of bakery goods.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1951,House of Bread,house of bread,Retailers - other,"Church Of The God Of Prophecy, 39 Kitto Road, London",SE14 5TW,Lewisham,1636179,2,0.4702341025293901,YES,NON_BAKERY,,"""House of Bread"" at the supplied address is a church.",,FN_NON_BAKERY_STRONG_NAME,NON_BAKERY,,
1956,Beckenham Bakehouse,beckenham bakehouse,Other catering premises,"9 Daleworth Close, Beckenham",BR3 1DH,Bromley,1843601,1,0.4699108195450672,UNCLEAR,UNCLEAR,,"""Beckenham Bakehouse"" is listed with an address, but no further information is available to confirm it's a customer-facing retail bakery, as other bakeries are listed for Beckenham.",,FN_UNCLEAR_BAKERY,NON_BAKERY,,
