msoa_code,msoa_name,borough_code,borough_name,bakery_count
E02000064,Barnet 041,E09000003,Barnet,3
E02000065,Bexley 001,E09000004,Bexley,0
E02000066,Bexley 002,E09000004,Bexley,4
E02000067,Bexley 003,E09000004,Bexley,4
E02000068,Bexley 004,E09000004,Bexley,5
E02000069,Bexley 005,E09000004,Bexley,1
E02000070,Bexley 006,E09000004,Bexley,2
E02000071,Bexley 007,E09000004,Bexley,2
E02000072,Bexley 008,E09000004,Bexley,2
E02000073,Bexley 009,E09000004,Bexley,5
E02000074,Bexley 010,E09000004,Bexley,2
E02000075,Bexley 011,E09000004,Bexley,3
E02000077,Bexley 013,E09000004,Bexley,4
E02000078,Bexley 014,E09000004,Bexley,4
E02000079,Bexley 015,E09000004,Bexley,19
E02000080,Bexley 016,E09000004,Bexley,8
E02000081,Bexley 017,E09000004,Bexley,0
E02000082,Bexley 018,E09000004,Bexley,2
E02000083,Bexley 019,E09000004,Bexley,4
E02000084,Bexley 020,E09000004,Bexley,0
E02000085,Bexley 021,E09000004,Bexley,4
E02000086,Bexley 022,E09000004,Bexley,2
E02000087,Bexley 023,E09000004,Bexley,4
E02000088,Bexley 024,E09000004,Bexley,0
E02000089,Bexley 025,E09000004,Bexley,3
E02000090,Bexley 026,E09000004,Bexley,8
E02000091,Bexley 027,E09000004,Bexley,1
E02000092,Bexley 028,E09000004,Bexley,1
E02000093,Brent 001,E09000005,Brent,4
E02000094,Brent 002,E09000005,Brent,12
E02000095,Brent 003,E09000005,Brent,10
E02000096,Brent 004,E09000005,Brent,4
E02000097,Brent 005,E09000005,Brent,1
E02000098,Brent 006,E09000005,Brent,3
E02000099,Brent 007,E09000005,Brent,4
E02000100,Brent 008,E09000005,Brent,3
E02000101,Brent 009,E09000005,Brent,4
E02000102,Brent 010,E09000005,Brent,0
E02000103,Brent 011,E09000005,Brent,4
E02000104,Brent 012,E09000005,Brent,1
E02000105,Brent 013,E09000005,Brent,8
E02000106,Brent 014,E09000005,Brent,7
E02000107,Brent 015,E09000005,Brent,6
E02000108,Brent 016,E09000005,Brent,0
E02000110,Brent 018,E09000005,Brent,0
E02000111,Brent 019,E09000005,Brent,9
E02000112,Brent 020,E09000005,Brent,8
E02000113,Brent 021,E09000005,Brent,2
E02000114,Brent 022,E09000005,Brent,10
E02000115,Brent 023,E09000005,Brent,3
E02000116,Brent 024,E09000005,Brent,7
E02000117,Brent 025,E09000005,Brent,9
E02000118,Brent 026,E09000005,Brent,7
E02000119,Brent 027,E09000005,Brent,3
E02000120,Brent 028,E09000005,Brent,6
E02000121,Brent 029,E09000005,Brent,6
E02000122,Brent 030,E09000005,Brent,2
E02000123,Brent 031,E09000005,Brent,12
E02000124,Brent 032,E09000005,Brent,9
E02000125,Brent 033,E09000005,Brent,4
E02000126,Brent 034,E09000005,Brent,1
E02000127,Bromley 001,E09000006,Bromley,3
E02000128,Bromley 002,E09000006,Bromley,5
E02000130,Bromley 004,E09000006,Bromley,6
E02000131,Bromley 005,E09000006,Bromley,4
E02000132,Bromley 006,E09000006,Bromley,10
E02000133,Bromley 007,E09000006,Bromley,6
E02000134,Bromley 008,E09000006,Bromley,10
E02000135,Bromley 009,E09000006,Bromley,1
E02000136,Bromley 010,E09000006,Bromley,2
E02000137,Bromley 011,E09000006,Bromley,1
E02000138,Bromley 012,E09000006,Bromley,3
E02000139,Bromley 013,E09000006,Bromley,2
E02000140,Bromley 014,E09000006,Bromley,3
E02000141,Bromley 015,E09000006,Bromley,0
E02000142,Bromley 016,E09000006,Bromley,1
E02000144,Bromley 018,E09000006,Bromley,9
E02000145,Bromley 019,E09000006,Bromley,7
E02000146,Bromley 020,E09000006,Bromley,2
E02000147,Bromley 021,E09000006,Bromley,0
E02000148,Bromley 022,E09000006,Bromley,4
E02000149,Bromley 023,E09000006,Bromley,1
E02000150,Bromley 024,E09000006,Bromley,4
E02000151,Bromley 025,E09000006,Bromley,2
E02000152,Bromley 026,E09000006,Bromley,1
E02000153,Bromley 027,E09000006,Bromley,1
E02000154,Bromley 028,E09000006,Bromley,8
E02000155,Bromley 029,E09000006,Bromley,1
E02000156,Bromley 030,E09000006,Bromley,9
E02000157,Bromley 031,E09000006,Bromley,2
E02000158,Bromley 032,E09000006,Bromley,1
E02000159,Bromley 033,E09000006,Bromley,7
E02000160,Bromley 034,E09000006,Bromley,5
E02000161,Bromley 035,E09000006,Bromley,1
E02000162,Bromley 036,E09000006,Bromley,2
E02000163,Bromley 037,E09000006,Bromley,5
E02000165,Bromley 039,E09000006,Bromley,1
E02000166,Camden 001,E09000007,Camden,13
E02000167,Camden 002,E09000007,Camden,24
E02000168,Camden 003,E09000007,Camden,12
E02000169,Camden 004,E09000007,Camden,0
E02000170,Camden 005,E09000007,Camden,1
E02000171,Camden 006,E09000007,Camden,2
E02000172,Camden 007,E09000007,Camden,9
E02000173,Camden 008,E09000007,Camden,5
E02000174,Camden 009,E09000007,Camden,7
E02000175,Camden 010,E09000007,Camden,15
E02000176,Camden 011,E09000007,Camden,4
E02000177,Camden 012,E09000007,Camden,5
E02000178,Camden 013,E09000007,Camden,1
E02000179,Camden 014,E09000007,Camden,2
E02000180,Camden 015,E09000007,Camden,3
E02000181,Camden 016,E09000007,Camden,0
E02000182,Camden 017,E09000007,Camden,5
E02000183,Camden 018,E09000007,Camden,15
E02000184,Camden 019,E09000007,Camden,6
E02000185,Camden 020,E09000007,Camden,6
E02000186,Camden 021,E09000007,Camden,24
E02000187,Camden 022,E09000007,Camden,30
E02000188,Camden 023,E09000007,Camden,13
E02000191,Camden 026,E09000007,Camden,25
E02000192,Camden 027,E09000007,Camden,16
E02000193,Camden 028,E09000007,Camden,50
E02000194,Croydon 001,E09000008,Croydon,7
E02000195,Croydon 002,E09000008,Croydon,1
E02000196,Croydon 003,E09000008,Croydon,3
E02000197,Croydon 004,E09000008,Croydon,3
E02000198,Croydon 005,E09000008,Croydon,1
E02000199,Croydon 006,E09000008,Croydon,1
E02000200,Croydon 007,E09000008,Croydon,4
E02000201,Croydon 008,E09000008,Croydon,1
E02000202,Croydon 009,E09000008,Croydon,1
E02000203,Croydon 010,E09000008,Croydon,4
E02000204,Croydon 011,E09000008,Croydon,7
E02000206,Croydon 013,E09000008,Croydon,2
E02000207,Croydon 014,E09000008,Croydon,0
E02000208,Croydon 015,E09000008,Croydon,0
E02000209,Croydon 016,E09000008,Croydon,3
E02000210,Croydon 017,E09000008,Croydon,3
E02000211,Croydon 018,E09000008,Croydon,1
E02000212,Croydon 019,E09000008,Croydon,3
E02000213,Croydon 020,E09000008,Croydon,7
E02000214,Croydon 021,E09000008,Croydon,4
E02000215,Croydon 022,E09000008,Croydon,4
E02000216,Croydon 023,E09000008,Croydon,0
E02000217,Croydon 024,E09000008,Croydon,9
E02000218,Croydon 025,E09000008,Croydon,3
E02000219,Croydon 026,E09000008,Croydon,1
E02000221,Croydon 028,E09000008,Croydon,4
E02000222,Croydon 029,E09000008,Croydon,3
E02000223,Croydon 030,E09000008,Croydon,1
E02000224,Croydon 031,E09000008,Croydon,2
E02000225,Croydon 032,E09000008,Croydon,2
E02000226,Croydon 033,E09000008,Croydon,1
E02000227,Croydon 034,E09000008,Croydon,1
E02000228,Croydon 035,E09000008,Croydon,3
E02000229,Croydon 036,E09000008,Croydon,5
E02000230,Croydon 037,E09000008,Croydon,5
E02000231,Croydon 038,E09000008,Croydon,0
E02000232,Croydon 039,E09000008,Croydon,0
E02000233,Croydon 040,E09000008,Croydon,0
E02000234,Croydon 041,E09000008,Croydon,2
E02000235,Croydon 042,E09000008,Croydon,0
E02000236,Croydon 043,E09000008,Croydon,2
E02000237,Croydon 044,E09000008,Croydon,4
E02000238,Ealing 001,E09000009,Ealing,3
E02000239,Ealing 002,E09000009,Ealing,4
E02000240,Ealing 003,E09000009,Ealing,1
E02000241,Ealing 004,E09000009,Ealing,3
E02000242,Ealing 005,E09000009,Ealing,1
E02000243,Ealing 006,E09000009,Ealing,3
E02000244,Ealing 007,E09000009,Ealing,1
E02000245,Ealing 008,E09000009,Ealing,0
E02000246,Ealing 009,E09000009,Ealing,3
E02000247,Ealing 010,E09000009,Ealing,3
E02000248,Ealing 011,E09000009,Ealing,2
E02000249,Ealing 012,E09000009,Ealing,8
E02000250,Ealing 013,E09000009,Ealing,4
E02000251,Ealing 014,E09000009,Ealing,2
E02000252,Ealing 015,E09000009,Ealing,14
E02000253,Ealing 016,E09000009,Ealing,1
E02000254,Ealing 017,E09000009,Ealing,1
E02000255,Ealing 018,E09000009,Ealing,0
E02000256,Ealing 019,E09000009,Ealing,1
E02000258,Ealing 021,E09000009,Ealing,1
E02000259,Ealing 022,E09000009,Ealing,4
E02000260,Ealing 023,E09000009,Ealing,8
E02000261,Ealing 024,E09000009,Ealing,7
E02000262,Ealing 025,E09000009,Ealing,11
E02000263,Ealing 026,E09000009,Ealing,5
E02000264,Ealing 027,E09000009,Ealing,3
E02000265,Ealing 028,E09000009,Ealing,18
E02000266,Ealing 029,E09000009,Ealing,2
E02000267,Ealing 030,E09000009,Ealing,7
E02000268,Ealing 031,E09000009,Ealing,3
E02000269,Ealing 032,E09000009,Ealing,7
E02000270,Ealing 033,E09000009,Ealing,1
E02000271,Ealing 034,E09000009,Ealing,1
E02000272,Ealing 035,E09000009,Ealing,1
E02000275,Ealing 038,E09000009,Ealing,2
E02000276,Ealing 039,E09000009,Ealing,0
E02000277,Enfield 001,E09000010,Enfield,0
E02000278,Enfield 002,E09000010,Enfield,4
E02000279,Enfield 003,E09000010,Enfield,2
E02000280,Enfield 004,E09000010,Enfield,4
E02000281,Enfield 005,E09000010,Enfield,1
E02000282,Enfield 006,E09000010,Enfield,6
E02000283,Enfield 007,E09000010,Enfield,0
E02000284,Enfield 008,E09000010,Enfield,6
E02000285,Enfield 009,E09000010,Enfield,0
E02000286,Enfield 010,E09000010,Enfield,1
E02000287,Enfield 011,E09000010,Enfield,4
E02000288,Enfield 012,E09000010,Enfield,7
E02000289,Enfield 013,E09000010,Enfield,0
E02000290,Enfield 014,E09000010,Enfield,1
E02000291,Enfield 015,E09000010,Enfield,12
E02000292,Enfield 016,E09000010,Enfield,5
E02000293,Enfield 017,E09000010,Enfield,1
E02000294,Enfield 018,E09000010,Enfield,3
E02000295,Enfield 019,E09000010,Enfield,1
E02000296,Enfield 020,E09000010,Enfield,14
E02000297,Enfield 021,E09000010,Enfield,2
E02000298,Enfield 022,E09000010,Enfield,6
E02000299,Enfield 023,E09000010,Enfield,3
E02000300,Enfield 024,E09000010,Enfield,0
E02000301,Enfield 025,E09000010,Enfield,2
E02000302,Enfield 026,E09000010,Enfield,4
E02000303,Enfield 027,E09000010,Enfield,1
E02000304,Enfield 028,E09000010,Enfield,2
E02000305,Enfield 029,E09000010,Enfield,8
E02000306,Enfield 030,E09000010,Enfield,14
E02000307,Enfield 031,E09000010,Enfield,1
E02000308,Enfield 032,E09000010,Enfield,3
E02000309,Enfield 033,E09000010,Enfield,7
E02000311,Enfield 035,E09000010,Enfield,5
E02000312,Enfield 036,E09000010,Enfield,5
E02000313,Greenwich 001,E09000011,Greenwich,0
E02000314,Greenwich 002,E09000011,Greenwich,5
E02000315,Greenwich 003,E09000011,Greenwich,3
E02000317,Greenwich 005,E09000011,Greenwich,1
E02000318,Greenwich 006,E09000011,Greenwich,6
E02000319,Greenwich 007,E09000011,Greenwich,3
E02000320,Greenwich 008,E09000011,Greenwich,0
E02000321,Greenwich 009,E09000011,Greenwich,1
E02000323,Greenwich 011,E09000011,Greenwich,5
E02000324,Greenwich 012,E09000011,Greenwich,2
E02000326,Greenwich 014,E09000011,Greenwich,2
E02000327,Greenwich 015,E09000011,Greenwich,0
E02000328,Greenwich 016,E09000011,Greenwich,1
E02000329,Greenwich 017,E09000011,Greenwich,0
E02000331,Greenwich 019,E09000011,Greenwich,1
E02000332,Greenwich 020,E09000011,Greenwich,0
E02000333,Greenwich 021,E09000011,Greenwich,6
E02000334,Greenwich 022,E09000011,Greenwich,0
E02000335,Greenwich 023,E09000011,Greenwich,0
E02000337,Greenwich 025,E09000011,Greenwich,0
E02000339,Greenwich 027,E09000011,Greenwich,5
E02000340,Greenwich 028,E09000011,Greenwich,5
E02000341,Greenwich 029,E09000011,Greenwich,1
E02000342,Greenwich 030,E09000011,Greenwich,1
E02000343,Greenwich 031,E09000011,Greenwich,1
E02000344,Greenwich 032,E09000011,Greenwich,2
E02000345,Hackney 001,E09000012,Hackney,4
E02000346,Hackney 002,E09000012,Hackney,2
E02000347,Hackney 003,E09000012,Hackney,3
E02000348,Hackney 004,E09000012,Hackney,4
E02000350,Hackney 006,E09000012,Hackney,2
E02000351,Hackney 007,E09000012,Hackney,5
E02000352,Hackney 008,E09000012,Hackney,2
E02000353,Hackney 009,E09000012,Hackney,14
E02000354,Hackney 010,E09000012,Hackney,2
E02000355,Hackney 011,E09000012,Hackney,3
E02000356,Hackney 012,E09000012,Hackney,4
E02000357,Hackney 013,E09000012,Hackney,0
E02000358,Hackney 014,E09000012,Hackney,8
E02000359,Hackney 015,E09000012,Hackney,5
E02000360,Hackney 016,E09000012,Hackney,5
E02000361,Hackney 017,E09000012,Hackney,16
E02000362,Hackney 018,E09000012,Hackney,6
E02000363,Hackney 019,E09000012,Hackney,1
E02000364,Hackney 020,E09000012,Hackney,13
E02000366,Hackney 022,E09000012,Hackney,6
E02000367,Hackney 023,E09000012,Hackney,16
E02000368,Hackney 024,E09000012,Hackney,3
E02000369,Hackney 025,E09000012,Hackney,6
E02000370,Hackney 026,E09000012,Hackney,0
E02000372,Hammersmith and Fulham 001,E09000013,Hammersmith and Fulham,3
E02000373,Hammersmith and Fulham 002,E09000013,Hammersmith and Fulham,1
E02000374,Hammersmith and Fulham 003,E09000013,Hammersmith and Fulham,2
E02000375,Hammersmith and Fulham 004,E09000013,Hammersmith and Fulham,20
E02000376,Hammersmith and Fulham 005,E09000013,Hammersmith and Fulham,10
E02000377,Hammersmith and Fulham 006,E09000013,Hammersmith and Fulham,7
E02000378,Hammersmith and Fulham 007,E09000013,Hammersmith and Fulham,4
E02000379,Hammersmith and Fulham 008,E09000013,Hammersmith and Fulham,2
E02000380,Hammersmith and Fulham 009,E09000013,Hammersmith and Fulham,2
E02000381,Hammersmith and Fulham 010,E09000013,Hammersmith and Fulham,7
E02000382,Hammersmith and Fulham 011,E09000013,Hammersmith and Fulham,7
E02000383,Hammersmith and Fulham 012,E09000013,Hammersmith and Fulham,9
E02000384,Hammersmith and Fulham 013,E09000013,Hammersmith and Fulham,26
E02000385,Hammersmith and Fulham 014,E09000013,Hammersmith and Fulham,6
E02000386,Hammersmith and Fulham 015,E09000013,Hammersmith and Fulham,3
E02000387,Hammersmith and Fulham 016,E09000013,Hammersmith and Fulham,0
E02000388,Hammersmith and Fulham 017,E09000013,Hammersmith and Fulham,5
E02000389,Hammersmith and Fulham 018,E09000013,Hammersmith and Fulham,8
E02000390,Hammersmith and Fulham 019,E09000013,Hammersmith and Fulham,1
E02000391,Hammersmith and Fulham 020,E09000013,Hammersmith and Fulham,4
E02000392,Hammersmith and Fulham 021,E09000013,Hammersmith and Fulham,17
E02000393,Hammersmith and Fulham 022,E09000013,Hammersmith and Fulham,1
E02000394,Hammersmith and Fulham 023,E09000013,Hammersmith and Fulham,1
E02000395,Hammersmith and Fulham 024,E09000013,Hammersmith and Fulham,4
E02000396,Hammersmith and Fulham 025,E09000013,Hammersmith and Fulham,4
E02000397,Haringey 001,E09000014,Haringey,3
E02000398,Haringey 002,E09000014,Haringey,4
E02000400,Haringey 004,E09000014,Haringey,1
E02000401,Haringey 005,E09000014,Haringey,1
E02000402,Haringey 006,E09000014,Haringey,1
E02000403,Haringey 007,E09000014,Haringey,0
E02000404,Haringey 008,E09000014,Haringey,3
E02000405,Haringey 009,E09000014,Haringey,4
E02000406,Haringey 010,E09000014,Haringey,1
E02000407,Haringey 011,E09000014,Haringey,3
E02000408,Haringey 012,E09000014,Haringey,5
E02000409,Haringey 013,E09000014,Haringey,1
E02000410,Haringey 014,E09000014,Haringey,1
E02000411,Haringey 015,E09000014,Haringey,2
E02000412,Haringey 016,E09000014,Haringey,13
E02000413,Haringey 017,E09000014,Haringey,0
E02000414,Haringey 018,E09000014,Haringey,0
E02000415,Haringey 019,E09000014,Haringey,4
E02000416,Haringey 020,E09000014,Haringey,5
E02000417,Haringey 021,E09000014,Haringey,11
E02000418,Haringey 022,E09000014,Haringey,0
E02000419,Haringey 023,E09000014,Haringey,11
E02000420,Haringey 024,E09000014,Haringey,10
E02000421,Haringey 025,E09000014,Haringey,7
E02000422,Haringey 026,E09000014,Haringey,1
E02000423,Haringey 027,E09000014,Haringey,7
E02000424,Haringey 028,E09000014,Haringey,3
E02000425,Haringey 029,E09000014,Haringey,0
E02000426,Haringey 030,E09000014,Haringey,2
E02000427,Haringey 031,E09000014,Haringey,3
E02000428,Haringey 032,E09000014,Haringey,4
E02000429,Haringey 033,E09000014,Haringey,1
E02000430,Haringey 034,E09000014,Haringey,15
E02000431,Haringey 035,E09000014,Haringey,3
E02000432,Haringey 036,E09000014,Haringey,3
E02000433,Harrow 001,E09000015,Harrow,9
E02000434,Harrow 002,E09000015,Harrow,2
E02000435,Harrow 003,E09000015,Harrow,0
E02000436,Harrow 004,E09000015,Harrow,0
E02000437,Harrow 005,E09000015,Harrow,3
E02000438,Harrow 006,E09000015,Harrow,4
E02000439,Harrow 007,E09000015,Harrow,6
E02000440,Harrow 008,E09000015,Harrow,2
E02000441,Harrow 009,E09000015,Harrow,1
E02000442,Harrow 010,E09000015,Harrow,4
E02000443,Harrow 011,E09000015,Harrow,2
E02000444,Harrow 012,E09000015,Harrow,5
E02000445,Harrow 013,E09000015,Harrow,6
E02000447,Harrow 015,E09000015,Harrow,1
E02000448,Harrow 016,E09000015,Harrow,6
E02000449,Harrow 017,E09000015,Harrow,0
E02000451,Harrow 019,E09000015,Harrow,4
E02000452,Harrow 020,E09000015,Harrow,16
E02000453,Harrow 021,E09000015,Harrow,1
E02000454,Harrow 022,E09000015,Harrow,1
E02000455,Harrow 023,E09000015,Harrow,15
E02000456,Harrow 024,E09000015,Harrow,0
E02000457,Harrow 025,E09000015,Harrow,4
E02000459,Harrow 027,E09000015,Harrow,5
E02000460,Harrow 028,E09000015,Harrow,3
E02000461,Harrow 029,E09000015,Harrow,3
E02000462,Harrow 030,E09000015,Harrow,4
E02000463,Harrow 031,E09000015,Harrow,1
E02000464,Havering 001,E09000016,Havering,0
E02000465,Havering 002,E09000016,Havering,1
E02000466,Havering 003,E09000016,Havering,0
E02000467,Havering 004,E09000016,Havering,6
E02000468,Havering 005,E09000016,Havering,4
E02000469,Havering 006,E09000016,Havering,1
E02000470,Havering 007,E09000016,Havering,7
E02000471,Havering 008,E09000016,Havering,2
E02000472,Havering 009,E09000016,Havering,1
E02000473,Havering 010,E09000016,Havering,1
E02000474,Havering 011,E09000016,Havering,2
E02000475,Havering 012,E09000016,Havering,2
E02000476,Havering 013,E09000016,Havering,23
E02000477,Havering 014,E09000016,Havering,1
E02000478,Havering 015,E09000016,Havering,0
E02000479,Havering 016,E09000016,Havering,5
E02000480,Havering 017,E09000016,Havering,2
E02000481,Havering 018,E09000016,Havering,1
E02000482,Havering 019,E09000016,Havering,2
E02000483,Havering 020,E09000016,Havering,6
E02000484,Havering 021,E09000016,Havering,3
E02000485,Havering 022,E09000016,Havering,10
E02000486,Havering 023,E09000016,Havering,3
E02000487,Havering 024,E09000016,Havering,1
E02000488,Havering 025,E09000016,Havering,2
E02000489,Havering 026,E09000016,Havering,3
E02000490,Havering 027,E09000016,Havering,0
E02000491,Havering 028,E09000016,Havering,5
E02000492,Havering 029,E09000016,Havering,1
E02000493,Havering 030,E09000016,Havering,4
E02000494,Hillingdon 001,E09000017,Hillingdon,0
E02000495,Hillingdon 002,E09000017,Hillingdon,10
E02000496,Hillingdon 003,E09000017,Hillingdon,5
E02000497,Hillingdon 004,E09000017,Hillingdon,1
E02000498,Hillingdon 005,E09000017,Hillingdon,0
E02000499,Hillingdon 006,E09000017,Hillingdon,4
E02000500,Hillingdon 007,E09000017,Hillingdon,14
E02000501,Hillingdon 008,E09000017,Hillingdon,3
E02000502,Hillingdon 009,E09000017,Hillingdon,2
E02000503,Hillingdon 010,E09000017,Hillingdon,0
E02000504,Hillingdon 011,E09000017,Hillingdon,2
E02000506,Hillingdon 013,E09000017,Hillingdon,1
E02000507,Hillingdon 014,E09000017,Hillingdon,3
E02000508,Hillingdon 015,E09000017,Hillingdon,9
E02000509,Hillingdon 016,E09000017,Hillingdon,8
E02000510,Hillingdon 017,E09000017,Hillingdon,5
E02000511,Hillingdon 018,E09000017,Hillingdon,3
E02000512,Hillingdon 019,E09000017,Hillingdon,0
E02000513,Hillingdon 020,E09000017,Hillingdon,3
E02000514,Hillingdon 021,E09000017,Hillingdon,5
E02000515,Hillingdon 022,E09000017,Hillingdon,7
E02000516,Hillingdon 023,E09000017,Hillingdon,0
E02000517,Hillingdon 024,E09000017,Hillingdon,0
E02000518,Hillingdon 025,E09000017,Hillingdon,0
E02000519,Hillingdon 026,E09000017,Hillingdon,2
E02000520,Hillingdon 027,E09000017,Hillingdon,8
E02000521,Hillingdon 028,E09000017,Hillingdon,3
E02000522,Hillingdon 029,E09000017,Hillingdon,0
E02000523,Hillingdon 030,E09000017,Hillingdon,1
E02000524,Hillingdon 031,E09000017,Hillingdon,15
E02000525,Hillingdon 032,E09000017,Hillingdon,1
E02000526,Hounslow 001,E09000018,Hounslow,8
E02000529,Hounslow 004,E09000018,Hounslow,1
E02000530,Hounslow 005,E09000018,Hounslow,7
E02000531,Hounslow 006,E09000018,Hounslow,3
E02000532,Hounslow 007,E09000018,Hounslow,0
E02000533,Hounslow 008,E09000018,Hounslow,1
E02000534,Hounslow 009,E09000018,Hounslow,2
E02000535,Hounslow 010,E09000018,Hounslow,3
E02000536,Hounslow 011,E09000018,Hounslow,2
E02000537,Hounslow 012,E09000018,Hounslow,1
E02000538,Hounslow 013,E09000018,Hounslow,5
E02000539,Hounslow 014,E09000018,Hounslow,2
E02000540,Hounslow 015,E09000018,Hounslow,10
E02000541,Hounslow 016,E09000018,Hounslow,6
E02000542,Hounslow 017,E09000018,Hounslow,9
E02000543,Hounslow 018,E09000018,Hounslow,13
E02000544,Hounslow 019,E09000018,Hounslow,1
E02000545,Hounslow 020,E09000018,Hounslow,5
E02000546,Hounslow 021,E09000018,Hounslow,0
E02000547,Hounslow 022,E09000018,Hounslow,3
E02000548,Hounslow 023,E09000018,Hounslow,2
E02000549,Hounslow 024,E09000018,Hounslow,2
E02000550,Hounslow 025,E09000018,Hounslow,10
E02000551,Hounslow 026,E09000018,Hounslow,2
E02000552,Hounslow 027,E09000018,Hounslow,1
E02000553,Hounslow 028,E09000018,Hounslow,1
E02000554,Islington 001,E09000019,Islington,3
E02000555,Islington 002,E09000019,Islington,4
E02000556,Islington 003,E09000019,Islington,15
E02000557,Islington 004,E09000019,Islington,12
E02000558,Islington 005,E09000019,Islington,6
E02000559,Islington 006,E09000019,Islington,7
E02000560,Islington 007,E09000019,Islington,7
E02000561,Islington 008,E09000019,Islington,2
E02000562,Islington 009,E09000019,Islington,3
E02000563,Islington 010,E09000019,Islington,2
E02000564,Islington 011,E09000019,Islington,7
E02000565,Islington 012,E09000019,Islington,3
E02000566,Islington 013,E09000019,Islington,15
E02000567,Islington 014,E09000019,Islington,4
E02000568,Islington 015,E09000019,Islington,10
E02000569,Islington 016,E09000019,Islington,11
E02000570,Islington 017,E09000019,Islington,7
E02000571,Islington 018,E09000019,Islington,7
E02000572,Islington 019,E09000019,Islington,1
E02000573,Islington 020,E09000019,Islington,30
E02000574,Islington 021,E09000019,Islington,8
E02000575,Islington 022,E09000019,Islington,25
E02000576,Islington 023,E09000019,Islington,20
E02000577,Kensington and Chelsea 001,E09000020,Kensington and Chelsea,9
E02000578,Kensington and Chelsea 002,E09000020,Kensington and Chelsea,2
E02000579,Kensington and Chelsea 003,E09000020,Kensington and Chelsea,1
E02000580,Kensington and Chelsea 004,E09000020,Kensington and Chelsea,16
E02000581,Kensington and Chelsea 005,E09000020,Kensington and Chelsea,1
E02000582,Kensington and Chelsea 006,E09000020,Kensington and Chelsea,17
E02000583,Kensington and Chelsea 007,E09000020,Kensington and Chelsea,19
E02000584,Kensington and Chelsea 008,E09000020,Kensington and Chelsea,18
