msoa_code,msoa_name,borough_code,borough_name,area_km2,population,transport_nodes,bakery_count,core_bakery_count,core_and_cafe_count,population_density_km2,transport_nodes_per_km2,bakery_density_km2,bakeries_per_10000_people,core_bakeries_per_10000_people,core_and_cafe_per_10000_people
E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,1.3616381734255136,8759,19,3,1,1,6432.692745360336,13.953780358699209,2.2032284776893487,3.4250485215207216,1.1416828405069073,1.1416828405069073
E02000016,Barking and Dagenham 015,E09000002,Barking and Dagenham,0.9128384651060916,11306,27,9,0,2,12385.54293249025,29.578069978527928,9.85935665950931,7.960375022112153,0.0,1.768972227136034
E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,0.8765690824340264,9418,9,3,1,1,10744.161742333446,10.267302578148335,3.4224341927161115,3.185389679337439,1.0617965597791463,1.0617965597791463
E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,1.3577090796853208,10011,20,0,0,0,7373.449989978907,14.730696214122279,0.0,0.0,0.0,0.0
E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,3.2992477915331127,10746,26,5,0,0,3257.106067503493,7.880584194592482,1.5154969604985542,4.652894100130281,0.0,0.0
E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,4.356232377096613,15024,52,4,0,2,3448.851828701882,11.936920599873394,0.9182246615287226,2.6624068157614484,0.0,1.3312034078807242
E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,3.2968876705205847,9416,20,5,0,1,2856.0269384346952,6.066327396845147,1.5165818492112868,5.310110450297366,0.0,1.0620220900594732
E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,0.7974865461070452,9565,12,1,0,0,11993.93274619094,15.04727579239846,1.2539396493665385,1.0454783063251438,0.0,0.0
E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,1.74539728030062,8654,32,1,0,0,4958.183502216453,18.33393483602109,0.5729354636256591,1.1555350127108852,0.0,0.0
E02000024,Barnet 001,E09000003,Barnet,3.753626431627331,11163,55,13,4,10,2973.9240713840672,14.65249699239664,3.463317470930115,11.645614978052494,3.5832661470930756,8.958165367732688
E02000025,Barnet 002,E09000003,Barnet,2.4018932546834955,8602,21,1,0,1,3581.341503510534,8.743102949746712,0.4163382357022244,1.162520344106022,0.0,1.162520344106022
E02000026,Barnet 003,E09000003,Barnet,1.46573820943503,6348,13,1,0,0,4330.92346173253,8.869250945577015,0.6822500727366935,1.575299306868305,0.0,0.0
E02000027,Barnet 004,E09000003,Barnet,1.6742648491229404,9716,41,1,0,0,5803.143991877811,24.488359784581125,0.5972770679166128,1.029230135858378,0.0,0.0
E02000028,Barnet 005,E09000003,Barnet,1.0556310412499073,6755,25,0,0,0,6399.016072890225,23.682516924094095,0.0,0.0,0.0,0.0
E02000029,Barnet 006,E09000003,Barnet,1.684554862462936,9883,22,7,1,4,5866.831778663693,13.059829923161109,4.155400430096717,7.082869574015986,1.0118385105737124,4.04735404229485
E02000030,Barnet 007,E09000003,Barnet,14.578600607472504,9545,50,1,0,0,654.7267640426031,3.4296844632928396,0.0685936892658568,1.0476689366160294,0.0,0.0
E02000031,Barnet 008,E09000003,Barnet,1.9390096754493258,8988,45,4,0,2,4635.35593132985,23.207723287699515,2.0629087366844017,4.450378282153983,0.0,2.2251891410769913
E02000032,Barnet 009,E09000003,Barnet,1.3979679499271356,7993,14,2,0,2,5717.5845844081105,10.014535741487995,1.4306479630697138,2.5021894157387714,0.0,2.5021894157387714
E02000033,Barnet 010,E09000003,Barnet,1.7757222132262387,9060,24,0,0,0,5102.149386045719,13.515627512703892,0.0,0.0,0.0,0.0
E02000034,Barnet 011,E09000003,Barnet,1.5581747366090761,9363,20,2,0,1,6008.9537970407,12.835530913255793,1.2835530913255793,2.1360674997329916,0.0,1.0680337498664958
E02000035,Barnet 012,E09000003,Barnet,1.2979552178624205,8810,28,1,0,0,6787.599355322161,21.572392956756016,0.7704426055984291,1.1350737797956867,0.0,0.0
E02000036,Barnet 013,E09000003,Barnet,1.7945968114423936,11451,20,2,1,1,6380.820431078525,11.14456454646498,1.1144564546464981,1.7465723517596716,0.8732861758798358,0.8732861758798358
E02000037,Barnet 014,E09000003,Barnet,4.324652530946115,11376,22,1,0,0,2630.5003508596897,5.087113899341875,0.23123244997008524,0.8790436005625879,0.0,0.0
E02000038,Barnet 015,E09000003,Barnet,1.76227032578617,10929,30,2,0,0,6201.659212030618,17.023494954791705,1.1348996636527804,1.8299935950224173,0.0,0.0
E02000039,Barnet 016,E09000003,Barnet,2.1320147777611154,7307,35,8,2,6,3427.2745556075706,16.416396530212804,3.752319206905784,10.948405638428905,2.7371014096072264,8.211304228821678
E02000040,Barnet 017,E09000003,Barnet,5.15487659709183,10697,43,4,0,0,2075.1224202020294,8.34161578654644,0.7759642592136223,3.739366177432925,0.0,0.0
E02000041,Barnet 018,E09000003,Barnet,1.3490573427211892,9877,32,12,3,4,7321.408577101001,23.7202667274711,8.895100022801662,12.149438088488408,3.037359522122102,4.049812696162802
E02000042,Barnet 019,E09000003,Barnet,1.2125737193624804,11675,28,9,2,5,9628.280584984324,23.091379561418506,7.422229144741663,7.7087794432548185,1.7130620985010707,4.282655246252676
E02000043,Barnet 020,E09000003,Barnet,1.4676339373449456,7529,28,0,0,0,5130.025824846009,19.07832688214746,0.0,0.0,0.0,0.0
E02000044,Barnet 021,E09000003,Barnet,1.107526124714256,8879,20,2,1,2,8016.966644728855,18.058264770196768,1.8058264770196766,2.2525059128280214,1.1262529564140107,2.2525059128280214
E02000045,Barnet 022,E09000003,Barnet,1.7347924033390805,10517,23,1,0,0,6062.396849189084,13.25807050787762,0.5764378481685922,0.9508414947228296,0.0,0.0
E02000046,Barnet 023,E09000003,Barnet,0.9709766807267564,7206,25,8,2,4,7421.393472195908,25.747271274618054,8.239126807877778,11.101859561476548,2.775464890369137,5.550929780738274
E02000047,Barnet 024,E09000003,Barnet,1.4221723197271667,12802,28,6,2,2,9001.722099651024,19.68819081317206,4.218898031394013,4.68676769254804,1.562255897516013,1.562255897516013
E02000048,Barnet 025,E09000003,Barnet,3.0842093626567784,10296,18,2,1,2,3338.2947748822376,5.836179676367548,0.6484644084852832,1.9425019425019425,0.9712509712509713,1.9425019425019425
E02000049,Barnet 026,E09000003,Barnet,0.7884670324121328,10257,15,1,0,0,13008.787404364995,19.024257684066974,1.268283845604465,0.9749439407234084,0.0,0.0
E02000050,Barnet 027,E09000003,Barnet,2.1206586692039973,10463,27,1,0,0,4933.844447455259,12.731893346200133,0.4715516054148197,0.9557488292076843,0.0,0.0
E02000051,Barnet 028,E09000003,Barnet,1.4484185443797963,9583,30,6,1,3,6616.181515477199,20.712245170021493,4.142449034004299,6.261087342168422,1.0435145570280706,3.130543671084211
E02000052,Barnet 029,E09000003,Barnet,0.9692765853764074,10097,17,7,0,4,10417.047262189819,17.5388534670919,7.221880839390782,6.9327523026641575,0.0,3.961572744379519
E02000054,Barnet 031,E09000003,Barnet,1.500658535444917,8156,18,1,0,0,5434.947263057348,11.994734028326665,0.6663741126848147,1.2260912211868564,0.0,0.0
E02000055,Barnet 032,E09000003,Barnet,1.4404524644063075,12376,29,13,2,6,8591.744820333835,20.132563008216,9.024942038165793,10.504201680672269,1.6160310277957337,4.848093083387202
E02000056,Barnet 033,E09000003,Barnet,3.2270966168682986,9325,82,3,1,3,2889.5943032066225,25.409837304337056,0.9296281940611117,3.2171581769436997,1.0723860589812333,3.2171581769436997
E02000057,Barnet 034,E09000003,Barnet,1.0940708138409794,8277,17,1,0,1,7565.323830311995,15.538299518582086,0.9140176187401227,1.2081672103419114,0.0,1.2081672103419114
E02000058,Barnet 035,E09000003,Barnet,1.8133827276330812,10617,45,12,4,8,5854.803753346568,24.815500508674347,6.617466802313159,11.302627860977678,3.767542620325892,7.535085240651784
E02000059,Barnet 036,E09000003,Barnet,2.1938462811728248,12637,19,4,0,1,5760.203031747645,8.660588557664417,1.8232818016135615,3.165308221888106,0.0,0.7913270554720265
E02000060,Barnet 037,E09000003,Barnet,1.2324759135142074,11994,21,5,2,2,9731.630345457246,17.03887254082059,4.056874414481093,4.16875104218776,1.6675004168751042,1.6675004168751042
E02000061,Barnet 038,E09000003,Barnet,1.5869957823798158,8674,40,11,4,5,5465.673000713779,25.204855894460593,6.931335370976663,12.681577127046344,4.611482591653217,5.76435323956652
E02000062,Barnet 039,E09000003,Barnet,1.8379987123670158,7364,48,16,3,10,4006.5316425148503,26.11536105930375,8.70512035310125,21.727322107550243,4.073872895165671,13.579576317218901
E02000063,Barnet 040,E09000003,Barnet,1.0376093992360855,7684,18,0,0,0,7405.484188613901,17.347568375201746,0.0,0.0,0.0,0.0
E02000064,Barnet 041,E09000003,Barnet,0.7943760915272416,7281,19,3,0,1,9165.683707828852,23.918141800404918,3.776548705327092,4.120313143798929,0.0,1.373437714599643
E02000065,Bexley 001,E09000004,Bexley,4.062100491670032,8391,13,0,0,0,2065.6800631119413,3.2003147205881586,0.0,0.0,0.0,0.0
E02000066,Bexley 002,E09000004,Bexley,1.5725994666607523,9890,31,4,0,3,6288.950371451138,19.71258458189942,2.543559300890248,4.044489383215369,0.0,3.033367037411527
E02000067,Bexley 003,E09000004,Bexley,2.617969627205284,10924,29,4,0,0,4172.699288211953,11.077286649409247,1.5279016068150686,3.661662394727206,0.0,0.0
E02000068,Bexley 004,E09000004,Bexley,3.5829767244328647,8668,41,5,3,3,2419.2175017190557,11.442999258246571,1.3954877144203135,5.7683433317951085,3.461005999077065,3.461005999077065
E02000069,Bexley 005,E09000004,Bexley,1.4513422738903623,7866,26,1,0,0,5419.81043445732,17.914450965661114,0.6890173448331198,1.2712941774726672,0.0,0.0
E02000070,Bexley 006,E09000004,Bexley,1.8561612087377628,8333,27,2,1,1,4489.37299237422,14.546150341306125,1.0774926178745279,2.4000960038401535,1.2000480019200768,1.2000480019200768
E02000071,Bexley 007,E09000004,Bexley,1.1786984631190505,7958,15,2,1,1,6751.514699477663,12.725901041991072,1.6967868055988096,2.513194269917064,1.256597134958532,1.256597134958532
E02000072,Bexley 008,E09000004,Bexley,5.602484490550267,14657,36,2,0,0,2616.1607452411554,6.425720599623497,0.35698447775686093,1.3645357167223853,0.0,0.0
E02000073,Bexley 009,E09000004,Bexley,1.60019284812593,10850,31,5,0,3,6780.432753906509,19.372665011161455,3.124623388897009,4.608294930875576,0.0,2.7649769585253456
E02000074,Bexley 010,E09000004,Bexley,1.1287455312034413,9134,14,2,0,0,8092.169357482681,12.403149880091695,1.7718785542988136,2.189621195533173,0.0,0.0
E02000075,Bexley 011,E09000004,Bexley,1.5353233646991764,8079,23,3,1,2,5262.083666383179,14.98055753519162,1.9539857654597765,3.713330857779428,1.2377769525931428,2.4755539051862856
E02000077,Bexley 013,E09000004,Bexley,1.1174177633044886,8463,15,4,1,1,7573.711710983326,13.423806648322095,3.579681772885892,4.726456339359565,1.1816140848398913,1.1816140848398913
E02000078,Bexley 014,E09000004,Bexley,1.4878685327930923,8178,21,4,1,1,5496.453362480823,14.11415023380989,2.6884095683447407,4.8911714355588165,1.2227928588897041,1.2227928588897041
E02000079,Bexley 015,E09000004,Bexley,1.6479164763961598,9854,31,19,2,7,5979.67199256954,18.81163301904361,11.529710560058987,19.28151004668155,2.029632636492795,7.103714227724781
E02000080,Bexley 016,E09000004,Bexley,1.691864430904955,10516,32,8,1,1,6215.628042002831,18.91404501180017,4.728511252950042,7.607455306200077,0.9509319132750096,0.9509319132750096
E02000081,Bexley 017,E09000004,Bexley,2.2057556922345443,8557,31,0,0,0,3879.3960863958227,14.054140315329029,0.0,0.0,0.0,0.0
E02000082,Bexley 018,E09000004,Bexley,1.4973410460998349,9409,24,2,0,0,6283.805566212106,16.0284125400245,1.335701045002042,2.125624402168137,0.0,0.0
E02000083,Bexley 019,E09000004,Bexley,3.7441665244860842,11777,38,4,1,3,3145.4263380062894,10.149121240064447,1.0683285515857313,3.3964507090090854,0.8491126772522714,2.547338031756814
E02000084,Bexley 020,E09000004,Bexley,2.593843003465763,11419,38,0,0,0,4402.348170163925,14.650077105370798,0.0,0.0,0.0,0.0
E02000085,Bexley 021,E09000004,Bexley,1.6234410111580737,8007,24,4,1,1,4932.116378092633,14.783413647336479,2.4639022745560797,4.9956288247783185,1.2489072061945796,1.2489072061945796
E02000086,Bexley 022,E09000004,Bexley,1.4884730456507742,7116,12,2,1,1,4780.738234254567,8.061953177495054,1.3436588629158424,2.810567734682406,1.405283867341203,1.405283867341203
E02000087,Bexley 023,E09000004,Bexley,3.7163512075693004,8214,33,4,2,3,2210.2324406988464,8.879677446196972,1.0763245389329663,4.869734599464329,2.4348672997321645,3.652300949598247
E02000088,Bexley 024,E09000004,Bexley,1.998930317125451,7736,25,0,0,0,3870.06987373362,12.50668909557142,0.0,0.0,0.0,0.0
E02000089,Bexley 025,E09000004,Bexley,1.3677525563899204,8075,12,3,1,2,5903.8456643892905,8.773516776801422,2.1933791942003555,3.7151702786377707,1.238390092879257,2.476780185758514
E02000090,Bexley 026,E09000004,Bexley,1.8097902359793683,9942,45,8,2,3,5493.4543254510845,24.864760072953008,4.420401790747202,8.046670690002012,2.011667672500503,3.0175015087507546
E02000091,Bexley 027,E09000004,Bexley,2.733594797194155,10321,29,1,0,1,3775.6144438794618,10.608741291784167,0.3658186652339368,0.9688983625617673,0.0,0.9688983625617673
E02000092,Bexley 028,E09000004,Bexley,5.991859746968996,7065,30,1,0,0,1179.0996949776497,5.00679275999002,0.16689309199966731,1.4154281670205238,0.0,0.0
E02000093,Brent 001,E09000005,Brent,1.3774308805731745,12230,18,4,0,1,8878.848421715993,13.067806344308083,2.9039569654017963,3.2706459525756335,0.0,0.8176614881439084
E02000094,Brent 002,E09000005,Brent,1.1634633860772552,10616,20,12,0,2,9124.481377787926,17.190055346247036,10.314033207748222,11.303692539562924,0.0,1.8839487565938207
E02000095,Brent 003,E09000005,Brent,1.5488260469729578,10466,28,10,2,2,6757.37602712381,18.07820836608701,6.456502987888219,9.554748710108925,1.9109497420217847,1.9109497420217847
E02000096,Brent 004,E09000005,Brent,1.6355023200059238,7844,12,4,0,0,4796.080020217635,7.337195339445643,2.445731779815214,5.099439061703213,0.0,0.0
E02000097,Brent 005,E09000005,Brent,1.8713255500346806,9622,11,1,0,0,5141.809772127399,5.878186187216939,0.5343805624742671,1.0392849719393058,0.0,0.0
E02000098,Brent 006,E09000005,Brent,1.8386097587960113,8717,19,3,0,1,4741.08219990533,10.333894894826345,1.6316676149725808,3.4415509923138696,0.0,1.1471836641046231
E02000099,Brent 007,E09000005,Brent,1.2871418701523605,9735,21,4,2,2,7563.268840634993,16.315217838041587,3.10766054057935,4.108885464817669,2.0544427324088343,2.0544427324088343
E02000100,Brent 008,E09000005,Brent,2.078546156436237,8342,32,3,0,0,4013.3821297010513,15.395376186817748,1.4433165175141638,3.596259889714697,0.0,0.0
E02000101,Brent 009,E09000005,Brent,1.4039118543457574,9825,22,4,0,0,6998.3026139334,15.670499491759266,2.849181725774412,4.071246819338422,0.0,0.0
E02000102,Brent 010,E09000005,Brent,1.3593775408033302,8325,9,0,0,0,6124.126484449864,6.62067728048634,0.0,0.0,0.0,0.0
E02000103,Brent 011,E09000005,Brent,1.771940319263671,10238,29,4,0,1,5777.846967359712,16.366239700471933,2.2574123724788873,3.907013088493846,0.0,0.9767532721234615
E02000104,Brent 012,E09000005,Brent,1.1078884331002592,7630,27,1,0,0,6886.975052757426,24.370684983545285,0.902617962353529,1.310615989515072,0.0,0.0
E02000105,Brent 013,E09000005,Brent,1.3697866190903645,10278,25,8,2,2,7503.358447774385,18.251017823930688,5.840325703657821,7.783615489394824,1.945903872348706,1.945903872348706
E02000106,Brent 014,E09000005,Brent,1.340986835900634,10705,31,7,1,2,7982.926985864335,23.117303742344173,5.220036328916426,6.539000467071462,0.9341429238673516,1.8682858477347033
E02000107,Brent 015,E09000005,Brent,0.9546533046321222,11078,19,6,1,2,11604.212698209778,19.90251320328451,6.285004169458266,5.416140097490522,0.9026900162484203,1.8053800324968405
E02000108,Brent 016,E09000005,Brent,0.8129798778133907,7585,9,0,0,0,9329.874215830274,11.070384699073495,0.0,0.0,0.0,0.0
E02000110,Brent 018,E09000005,Brent,0.7991317960836258,8053,14,0,0,0,10077.186315781742,17.519012594181596,0.0,0.0,0.0,0.0
E02000111,Brent 019,E09000005,Brent,1.127825785507705,11415,21,9,0,2,10121.244031374397,18.619897035379967,7.979955872305701,7.884362680683311,0.0,1.7520805957074026
E02000112,Brent 020,E09000005,Brent,1.2687895994079672,12855,31,8,1,3,10131.703480228953,24.432734958156168,6.305221924685463,6.223259432127576,0.777907429015947,2.3337222870478413
E02000113,Brent 021,E09000005,Brent,1.483450206911394,9668,31,2,0,0,6517.2393080379725,20.897229887171818,1.3482083798175366,2.068680182043856,0.0,0.0
E02000114,Brent 022,E09000005,Brent,0.6133535614171027,8906,17,10,1,2,14520.173290301638,27.716477199093625,16.303810117113898,11.228385358185493,1.1228385358185493,2.2456770716370986
E02000115,Brent 023,E09000005,Brent,0.8487824089110606,8555,19,3,1,1,10079.1438538124,22.38500680566167,3.534474758788685,3.5067212156633545,1.168907071887785,1.168907071887785
E02000116,Brent 024,E09000005,Brent,1.096324732505756,8719,25,7,1,2,7952.9356051941695,22.803462567938322,6.3849695190227305,8.02844362885652,1.1469205184080744,2.293841036816149
E02000117,Brent 025,E09000005,Brent,0.8900069141978508,12966,18,9,1,2,14568.426147212633,20.224561981322488,10.112280990661244,6.941230911614993,0.7712478790683326,1.5424957581366652
E02000118,Brent 026,E09000005,Brent,1.2338217841565542,11845,18,7,2,3,9600.251958671075,14.58881682195689,5.6734287640943455,5.90966652596032,1.6884761502743775,2.5327142254115658
E02000119,Brent 027,E09000005,Brent,2.5713379094125757,12231,52,3,2,2,4756.667707977044,20.222935231363444,1.1667078018094295,2.452783909737552,1.6351892731583682,1.6351892731583682
E02000120,Brent 028,E09000005,Brent,0.5061581040121904,8689,13,6,2,3,17166.572916889883,25.68367452175952,11.85400362542747,6.9052825411439755,2.301760847047992,3.4526412705719878
E02000121,Brent 029,E09000005,Brent,1.3954798545494298,13013,22,6,0,2,9325.10774525055,15.765186382503044,4.299596286137194,4.610773841543073,0.0,1.5369246138476906
E02000122,Brent 030,E09000005,Brent,1.2026509392513274,7948,17,2,0,2,6608.733873311385,14.135439839745036,1.6629929223229454,2.5163563160543534,0.0,2.5163563160543534
E02000123,Brent 031,E09000005,Brent,1.034985452237651,14102,30,12,1,4,13625.31228773439,28.985914666858015,11.594365866743205,8.509431286342362,0.7091192738618636,2.8364770954474543
E02000124,Brent 032,E09000005,Brent,1.0964699460700278,9428,30,9,2,6,8598.502889925872,27.360531045585084,8.208159313675525,9.546033092914723,2.1213406873143827,6.364022061943148
E02000125,Brent 033,E09000005,Brent,0.7658122564896038,9633,17,4,0,0,12578.801029062364,22.19865228838993,5.2232123031505715,4.152392816360427,0.0,0.0
E02000126,Brent 034,E09000005,Brent,0.4378328527746977,7755,18,1,0,0,17712.23870217571,41.111579192670895,2.2839766218150497,1.2894906511927788,0.0,0.0
E02000127,Bromley 001,E09000006,Bromley,2.2253604517210457,9609,20,3,1,1,4317.952173801151,8.987308094080863,1.3480962141121295,3.1220730565095223,1.0406910188365075,1.0406910188365075
E02000128,Bromley 002,E09000006,Bromley,2.5370419527982775,7790,23,5,1,3,3070.504999496707,9.065675865009533,1.970799101089029,6.418485237483953,1.2836970474967908,3.851091142490372
E02000130,Bromley 004,E09000006,Bromley,1.4862439747660248,8504,26,6,1,4,5721.806207045354,17.493763097739794,4.037022253324568,7.055503292568203,1.175917215428034,4.703668861712136
E02000131,Bromley 005,E09000006,Bromley,1.7665848128681236,10669,41,4,2,4,6039.336420354727,23.208622479571076,2.264255851665471,3.7491798669041145,1.8745899334520573,3.7491798669041145
E02000132,Bromley 006,E09000006,Bromley,1.737295081327467,10409,52,10,0,7,5991.497997016421,29.931587649616095,5.756074548003095,9.607070804111826,0.0,6.724949562878279
E02000133,Bromley 007,E09000006,Bromley,5.976795861923995,10880,33,6,1,4,1820.3733658217348,5.521353039716659,1.0038823708575744,5.514705882352941,0.9191176470588235,3.676470588235294
E02000134,Bromley 008,E09000006,Bromley,1.9349937999239046,12165,37,10,2,5,6286.841849559621,19.121508297057623,5.167975215420979,8.220304151253597,1.6440608302507191,4.110152075626798
E02000135,Bromley 009,E09000006,Bromley,1.1569667345632308,10024,22,1,0,1,8664.034756180075,19.015239887865288,0.8643290858120586,0.9976057462090983,0.0,0.9976057462090983
E02000136,Bromley 010,E09000006,Bromley,4.558928368680558,5794,37,2,0,1,1270.9127083031785,8.115942389923648,0.43869958864452147,3.4518467380048325,0.0,1.7259233690024163
E02000137,Bromley 011,E09000006,Bromley,1.8612379150550595,8406,40,1,0,1,4516.349001922912,21.491073052214666,0.5372768263053667,1.1896264572924102,0.0,1.1896264572924102
E02000138,Bromley 012,E09000006,Bromley,2.084769516699077,8564,29,3,1,1,4107.888153295633,13.910410607843689,1.4390079939148643,3.503035964502569,1.1676786548341895,1.1676786548341895
E02000139,Bromley 013,E09000006,Bromley,1.5361754412086492,7844,31,2,0,1,5106.18760694964,20.17998671792948,1.3019346269631922,2.5497195308516063,0.0,1.2748597654258031
E02000140,Bromley 014,E09000006,Bromley,1.8870415741553368,8881,29,3,1,2,4706.308605826687,15.367970900683924,1.589790093174199,3.377997973201216,1.1259993244004054,2.251998648800811
E02000141,Bromley 015,E09000006,Bromley,0.9330662160919501,7395,28,0,0,0,7925.482535390876,30.008588369296085,0.0,0.0,0.0,0.0
E02000142,Bromley 016,E09000006,Bromley,1.7796400901438445,8891,20,1,0,0,4995.953984876436,11.238227386967576,0.5619113693483788,1.1247328759419637,0.0,0.0
E02000144,Bromley 018,E09000006,Bromley,1.98498887429937,10598,43,9,4,6,5339.072746057942,21.66258993022188,4.5340304505115565,8.492168333647857,3.774297037176826,5.661445555765239
E02000145,Bromley 019,E09000006,Bromley,11.280453774774113,9103,39,7,1,4,806.9710830566552,3.457307727036093,0.6205424125449397,7.689772602438756,1.0985389432055366,4.394155772822146
E02000146,Bromley 020,E09000006,Bromley,1.8036548044125613,9836,21,2,0,1,5453.371662879539,11.643026120421952,1.1088596305163765,2.03334688897926,0.0,1.01667344448963
E02000147,Bromley 021,E09000006,Bromley,2.2504898937889135,8274,41,0,0,0,3676.532839732035,18.218255551004766,0.0,0.0,0.0,0.0
E02000148,Bromley 022,E09000006,Bromley,2.806801204026763,6871,35,4,0,1,2447.9824186132437,12.469711053916974,1.4251098347333684,5.821568912822005,0.0,1.4553922282055012
E02000149,Bromley 023,E09000006,Bromley,1.8789660885313528,8381,48,1,0,1,4460.431750820368,25.54596397081227,0.5322075827252557,1.1931750387781888,0.0,1.1931750387781888
E02000150,Bromley 024,E09000006,Bromley,3.076756232275474,9046,32,4,0,1,2940.1094259943557,10.400563965489651,1.3000704956862064,4.421843908910016,0.0,1.105460977227504
E02000151,Bromley 025,E09000006,Bromley,2.1016169051800926,7556,22,2,0,0,3595.326998643698,10.468130488374982,0.9516482262159074,2.6469031233456857,0.0,0.0
E02000152,Bromley 026,E09000006,Bromley,2.572930703451636,8032,31,1,0,0,3121.731956956679,12.04851726415053,0.3886618472306622,1.245019920318725,0.0,0.0
E02000153,Bromley 027,E09000006,Bromley,2.2478664675206064,8156,23,1,0,0,3628.3294038351205,10.231924508117677,0.4448662829616381,1.2260912211868564,0.0,0.0
E02000154,Bromley 028,E09000006,Bromley,2.0860075661649073,8859,33,8,2,6,4246.868584607838,15.819693339209689,3.835077173141743,9.030364600970763,2.257591150242691,6.7727734507280735
E02000155,Bromley 029,E09000006,Bromley,1.8179753753396029,7230,35,1,0,1,3976.9515572505575,19.252185961793845,0.5500624560512527,1.3831258644536653,0.0,1.3831258644536653
E02000156,Bromley 030,E09000006,Bromley,3.843173193116401,12252,31,9,0,4,3187.9905964021737,8.066251100919636,2.341814835750862,7.345739471106758,0.0,3.26477309826967
E02000157,Bromley 031,E09000006,Bromley,2.4476990492204704,8387,31,2,0,1,3426.483334489608,12.66495568965993,0.817093915461931,2.384642899725766,0.0,1.192321449862883
E02000158,Bromley 032,E09000006,Bromley,2.1599657198200752,7931,28,1,0,1,3671.817532669292,12.963168694331127,0.462970310511826,1.2608750472828143,0.0,1.2608750472828143
E02000159,Bromley 033,E09000006,Bromley,5.886316982413352,7184,43,7,0,2,1220.4575495107988,7.305077203363634,1.1891986145010567,9.743875278396438,0.0,2.7839643652561246
E02000160,Bromley 034,E09000006,Bromley,8.459552115715736,8341,44,5,1,2,985.9860056307832,5.201220986423026,0.5910478393662529,5.994485073732166,1.1988970147464333,2.3977940294928666
E02000161,Bromley 035,E09000006,Bromley,1.7187871098333913,8782,39,1,1,1,5109.4169544076185,22.69041917807984,0.5818056199507651,1.1386927806877705,1.1386927806877705,1.1386927806877705
E02000162,Bromley 036,E09000006,Bromley,12.76053171120581,7045,64,2,0,1,552.092981659483,5.01546498597685,0.15673328081177657,2.8388928317956,0.0,1.4194464158978
