BusinessNameClean,DisplayName,StoreCount,BakeryScore,BakeryRank
muzda bakery,Muzda Bakery,1,0.9882554476123341,66
memleket limited bakery,Memleket Limited Bakery,1,0.9882180872150801,67
liera s bakery,Liera's Bakery,1,0.9881187873993348,68
j ayre bakers,J Ayre Bakers,1,0.9880358274807299,69
bestbake ltd bread on the rise ltd,BestBake Ltd/Bread on the Rise Ltd,1,0.9880262083338058,70
hanni s bakery,Hanni's Bakery,1,0.9880180438707585,71
arome bakery,Arome Bakery,2,0.9876725856513674,72
emelia s bakery,Emelia's Bakery,1,0.987644387977074,73
dubok bakery,Dubok Bakery,1,0.9874029744583483,74
jojays bakery,Jojays Bakery,1,0.987356272791695,75
dunns bakery,Dunns Bakery,2,0.987204160320802,76
wenzels the bakers limited,Wenzels the Bakers Limited,1,0.9871142438385452,77
my cakes and cakes ltd,My Cakes and Cakes Ltd,1,0.9870111052426611,78
wenzels the bakers ltd,Wenzels The Bakers Ltd,1,0.9868237123915917,79
janette s bakery,Janette's Bakery,1,0.9866496580879078,80
sweet treats cakery,Sweet Treats Cakery,1,0.9866156212470216,81
novelty bakery,Novelty Bakery,1,0.9864074097633256,82
sweets cakes by kat,Sweets Cakes By Kat,1,0.9862936627975244,83
your treats bakery ltd,Your Treats Bakery Ltd,1,0.9862932146853884,84
neri bakery,Neri bakery,1,0.9862602218623188,85
meme s bakery,Meme’s Bakery,1,0.9862517519426258,86
kabuk bakery,Kabuk Bakery,1,0.9859980294495418,87
bambee s bakery,Bambee’s Bakery,1,0.9859040063783082,88
eggfree cakebox eggfree cakebox ltd,EggFree Cakebox (Eggfree Cakebox Ltd),1,0.9846855642308193,89
village bread bakery,Village Bread Bakery,1,0.9845427379524203,90
iv cakes ltd,IV Cakes Ltd,1,0.9843871828718869,91
floris bakery hca,Floris Bakery  (HCA),1,0.9843839340207807,92
rothna s bakery,Rothna's Bakery,1,0.9842175526628688,93
pannas bakery,Pannas Bakery,1,0.9841327632380951,94
nora s bakery,Nora's Bakery,1,0.98407321460646,95
oz bakery,Oz Bakery,1,0.9840586269311455,96
7 cakes,7 Cakes,1,0.9840090222275676,97
aj s bakery,Aj's bakery,1,0.9839690891950725,98
quince bakery,Quince Bakery,1,0.9836091168822999,99
yummins bakery,Yummins Bakery,1,0.9829296934849735,100
yummyrolls bakery,Yummyrolls Bakery,1,0.9827668125867107,101
wenzel s the bakers ltd,Wenzel’s the Bakers LTD,1,0.9826367657066297,102
koto bakery,Koto Bakery,1,0.9824723605113226,103
apple s bakery ltd,Apple's Bakery Ltd,1,0.9824469958201697,104
cake box,Cake Box,24,0.982392680030103,105
eggfree cake box,Eggfree Cake Box,11,0.9823856977959148,106
london agege bread bakers ltd,London Agege Bread Bakers Ltd,1,0.9822594684535798,107
i cake,I Cake,1,0.9821685276974514,108
the sourdough bakery,The Sourdough Bakery,1,0.9820929797584457,109
gails bakery,Gails Bakery,4,0.9820860936477912,110
ray s bakery,RAY'S BAKERY,1,0.9819434511750793,111
kamil bakery,Kamil Bakery,1,0.981934628885146,112
sweet nibble bakery,Sweet Nibble Bakery,1,0.9818234989683104,113
cookielandia bakery,Cookielandia Bakery,1,0.9814975894825461,114
j ayre bakers and confectioners,J. Ayre Bakers And Confectioners,1,0.9814327485161312,115
pop bakery,POP BAKERY,1,0.9806690621721524,116
sweeten your day bakery,Sweeten Your Day Bakery,1,0.9805006905755644,117
malaki s cakes bread and pastries,Malaki's Cakes Bread & Pastries,1,0.9803074833403763,118
maison bakery,Maison Bakery,1,0.9801241577387416,119
butterup bakery,Butterup bakery,1,0.9800330468455035,120
recoup bakery,Recoup Bakery,1,0.9800215070582594,121
wenzel s bakery,Wenzel's Bakery,1,0.9795932507190055,122
ouma koekies bakery,Ouma Koekies Bakery,1,0.9795146810342138,123
amilah s bakery,Amilah's Bakery,1,0.9793206163962014,124
mornington bakery,Mornington Bakery,1,0.9790093275732495,125
maramur bakery,Maramur Bakery,1,0.9789864769763726,126
rose bakery,Rose Bakery,1,0.9789848359249851,127
ishter bakery,Ishter bakery,1,0.9789482865976705,128
bakery naslada,Bakery Naslada.,1,0.9789439232055193,129
dalpash bakery,Dalpash Bakery,1,0.9787830612937991,130
bunhead bakery,Bunhead Bakery,1,0.9783641268295525,131
lb bakery,LB Bakery,1,0.9781811953971035,132
okaeri bakery,Okaeri Bakery @,1,0.9780391434977801,133
the eggfree cake box catford ltd,The Eggfree Cake Box (Catford) Ltd,1,0.9778573938690036,134
the sweet rose cakery,The Sweet Rose Cakery,1,0.9775971177845713,135
toklas bakery,Toklas Bakery,1,0.9775607842624484,136
jack s bakery,Jack’s Bakery,1,0.977129707935794,137
d k cakes,D K Cakes,1,0.9770459451106975,138
plus de bakery,Plus De Bakery,1,0.976978187469191,139
tottenhamtown bakery,TottenhamTown Bakery,1,0.9768217805246131,140
aartisan bakery,Aartisan Bakery,1,0.9767602095683117,141
irene bakery,Irene bakery,1,0.976540520097091,142
trixie s bakery,Trixie's Bakery,1,0.9760023389512745,143
t cake,T Cake,1,0.9758598917068392,144
cocoloco bakery,Cocoloco Bakery,1,0.9752775180758148,145
cakes by j,Cakes By J,1,0.9752290142060831,146
the eggfree cake box,The Eggfree Cake Box,7,0.9752095916917429,147
bread of life bakehouse,Bread Of Life Bakehouse,1,0.974893283876472,148
sunflour bakery,Sunflour Bakery,1,0.9745660151309145,149
syrnik bakery,Syrnik Bakery,1,0.9744527436530562,150
cake and bake,Cake & Bake,1,0.9744395419007414,151
shamsin bakery,Shamsin Bakery,1,0.974412022004281,152
prizreni bakery,Prizreni Bakery,1,0.9741603626930739,153
anna s bakery,Anna's Bakery,1,0.9739158485626775,154
khosha bakery,Khosha Bakery,1,0.9737073426436965,155
sam s bakery,Sam's Bakery,1,0.973408363537393,156
cakes and bakes,Cakes and Bakes,14,0.9732364586573601,157
june sourdough bakery,June Sourdough Bakery,1,0.9731688289496999,158
hortensia bakery,Hortensia Bakery,1,0.973166297704923,159
eggfree cakebox,Eggfree Cakebox,2,0.9730689455452678,160
fuss free bakery,Fuss Free Bakery,1,0.9728027464310125,161
bread ahead bakery and school,Bread Ahead Bakery and School,1,0.9727395349582133,162
bitesize bakery,Bitesize Bakery,1,0.9726288464672429,163
cakebox,Cakebox,5,0.9725005604681224,164
layers bakery,Layers Bakery,1,0.9718578904104761,165
bakery lamour,Bakery Lamour,1,0.9718083249298985,166
brucan bakery,Brucan Bakery,1,0.9717694936523665,167
fresh patisserie and bakery limited,Fresh Patisserie & Bakery Limited,1,0.9717352000620894,168
bakery by masha,Bakery By Masha,1,0.9717341505731182,169
thrift bakery,Thrift Bakery,1,0.9714602534321093,170
reverie bakery,Reverie Bakery,1,0.9712727523475039,171
stanko bakery,Stanko Bakery,1,0.9704222415164913,172
mihaela bakery,Mihaela Bakery,1,0.9703983778092233,173
cherry s bakery,Cherry’s Bakery,1,0.9703357393316373,174
cj s bakery,CJ's Bakery,1,0.9703137591810556,175
bibby s bakery,Bibby's Bakery,1,0.9700281081873539,176
blakes bakery,Blakes Bakery,1,0.9698071679552687,177
brewberry bakery,Brewberry Bakery,1,0.969793843135378,178
bakes cakes and desserts,"Bakes, Cakes & Desserts",1,0.9696092692985679,179
bread and butter bakery,Bread And Butter Bakery,1,0.9695787392701573,180
wild rise bakery,Wild Rise Bakery,1,0.9694443937259504,181
tasty bakery,Tasty Bakery,1,0.9693050987281111,182
daggers bakery,Daggers Bakery,1,0.9690367632369438,183
cacao bakery,Cacao Bakery,1,0.9689223720558999,184
kabir bakery,Kabir Bakery,1,0.9689158676786913,185
indigs bakery,Indigs Bakery,1,0.9686161940197957,186
benita bakery,Benita Bakery,1,0.9684694581722286,187
swan bakery,Swan Bakery,1,0.9683462092022281,188
bakes and cakes by jess,Bakes & Cakes By Jess,1,0.968182868019523,189
levain bakery,Levain Bakery,1,0.9678344172252522,190
4s cakes,4S Cakes,1,0.9676462510875472,191
frogmans bakery,Frogmans Bakery,1,0.9673777379997023,192
sindles bakery,Sindles Bakery,1,0.9670943555105543,193
hanatable bakery,Hanatable Bakery,1,0.9667287098025946,194
pt bakery,PT Bakery,1,0.9667114960094301,195
maddison s bakery,Maddison's Bakery,2,0.9663981273883159,196
the eggfree cakebox,The Eggfree Cakebox,2,0.9663567012915151,197
choux bakery,Choux Bakery,1,0.9663054197411325,198
fingal s bakery,Fingal's Bakery,1,0.9660495210044773,199
bagel delight bakery,Bagel Delight Bakery,1,0.9659198366313714,200
manna cakes ltd,Manna Cakes Ltd,1,0.9658951656118123,201
sweet success bakery,Sweet Success Bakery,1,0.9658447448880654,202
ligia s patisserie and bakery,Ligia’s Patisserie & Bakery,1,0.9657837104075857,203
wenzels the bakers,Wenzels The Bakers,26,0.9654435776395337,204
oli s bakery,Oli's bakery,1,0.9652740484193251,205
a i cakes,A.I.Cakes,1,0.9648095431086688,206
ko i bakery,KO?I bakery.,1,0.9647938841137937,207
the baking bakehouse,The Baking Bakehouse,1,0.9641958588275433,208
yeast bakery ltd,Yeast Bakery Ltd,1,0.9637856204004553,209
melvin s bakery,Melvin?s Bakery,1,0.9631186530679585,210
labet bakery ltd,Labet Bakery Ltd,1,0.9625486139962524,211
flakey crust bakery ltd,Flakey Crust Bakery Ltd,1,0.9621951732820306,212
cake in house ltd,CAKE IN HOUSE LTD,1,0.962135941940627,213
roses bakery,Roses Bakery,1,0.9620020912760323,214
boutique cake studio ltd,Boutique Cake Studio Ltd,1,0.9614862783628406,215
brigit s bakery,Brigit'S Bakery,1,0.9610552271523237,216
rinkoffs bakery,Rinkoffs Bakery,2,0.9603448808593859,217
mikeneko bakery hca,Mikeneko Bakery (HCA),1,0.9602439110500074,218
x2 bakery and pastry,X2 Bakery And Pastry,1,0.960127992284781,219
flour baby bakery,Flour Baby Bakery,1,0.95973330017671,220
honey bakery,Honey Bakery,1,0.9595055200549318,221
sugar box bakes,Sugar Box Bakes,1,0.9594413701310902,222
dolce vita cake pastry and bakery,"Dolce Vita - Cake, Pastry & Bakery",1,0.9590817404450713,223
cakes by bonkus limited,Cakes by Bonkus Limited,1,0.95882892307036,224
hotchef bakery,Hotchef Bakery,1,0.958643996357259,225
sweet spot bakes,Sweet Spot Bakes,1,0.9585247367026568,226
egg free cake box,Egg Free Cake Box,6,0.9581671071164939,227
sweet treats baked by catherine,Sweet Treats Baked By Catherine,1,0.957882893193891,228
gourmet bakers and sweets,Gourmet Bakers & Sweets,1,0.9578818966603407,229
millers bespoke bakery ltd,Millers Bespoke Bakery Ltd,1,0.9578700508167168,230
z l cakes,Z L Cakes,1,0.957474443098441,231
taitussi bakery,Taitussi Bakery,1,0.957262399288119,232
lucien herrera s bakery,Lucien Herrera's Bakery,1,0.9571382147849515,233
funchal bakery,Funchal Bakery,1,0.9568934667844857,234
angel s bakery,Angel's Bakery,1,0.9567988118145406,235
greggs bakery,Greggs Bakery,5,0.956794780468727,236
komodo bakery,Komodo Bakery,1,0.9567602745173269,237
baker,Baker,1,0.9560288020765338,238
mabels cakes ltd,Mabels Cakes Ltd,1,0.9557949524568057,239
kings bakery,Kings Bakery,1,0.9556947607234749,240
a and e bakery,A&E Bakery,1,0.9553877254037131,241
london agege bread bakers,London agege bread bakers,1,0.9552723498513317,242
maison de bakery,Maison De Bakery,1,0.9549534846129257,243
ire bakers,Ire Bakers,1,0.9547028728969364,244
weston bakery,Weston Bakery,1,0.9544186801065042,245
honeyrose bakery ltd,Honeyrose Bakery Ltd,1,0.9543434374731562,246
paul rhodes bakery,Paul Rhodes Bakery,1,0.9542395838147162,247
sueperlicious bakery,Sueperlicious Bakery,1,0.9533076868105762,248
sal s bakes and cakes,Sal's Bakes & Cakes,1,0.9532109517610629,249
kingdom s bakery,Kingdom's Bakery,1,0.9531804348081235,250
coco bakery,Coco Bakery,1,0.952983805070339,251
cake delights,Cake_Delights,1,0.9529692498219557,252
crumbs bakery,Crumbs Bakery,3,0.9527833574721766,253
zara bakes cakes,Zara Bakes Cakes,1,0.9522283533969188,254
your bakery,Your Bakery,1,0.9520257089897036,255
elmontaser bakery,ELMONTASER BAKERY,1,0.9516734653780599,256
mab s cake,Mab's Cake,1,0.9516098401772674,257
crepe bakery,Crepe Bakery,1,0.951066087230333,258
bakers parlour ltd,Bakers Parlour Ltd,1,0.9508893255383042,259
eggfree cake box worcester park,Eggfree Cake Box Worcester Park,1,0.9505858852409796,260
dreamy cake and bakes,Dreamy Cake And Bakes,1,0.9504819012955554,261
cake shop,Cake Shop,2,0.9501206253854771,262
egg free cakebox,Egg Free Cakebox,2,0.9496374377976092,263
wenzel s the bakers,Wenzel's the Bakers,4,0.949315255843795,264
deby cake,Deby Cake,1,0.9492774746551571,265
the bakers art,The Bakers Art,1,0.949174008866549,266
blk bakes,Blk Bakes,1,0.9491307089252566,267
sweet cupcakes,Sweet Cupcakes,1,0.9491099461443748,268
sweet treats and sourdough,Sweet Treats and Sourdough,1,0.9482807705648427,269
clemeira s bakery,Clemeira's Bakery,1,0.9480883193230325,270
poilane bakeries ltd,Poilane Bakeries Ltd,1,0.9479457064597558,271
crizzy cakes and bread,Crizzy Cakes And Bread,1,0.947439950673608,272
wenzel the bakers,Wenzel the Bakers,1,0.9472726955883265,273
yan s bakery,Yan's Bakery,1,0.9470893927065535,274
heaven cake creation royal cakes uk,HEAVEN CAKE CREATION-ROYAL CAKES UK,1,0.9463388163223273,275
bloom bakery,Bloom Bakery,1,0.946162906610283,276
bread,Bread,1,0.9457992932558137,277
miss t cakes ltd,Miss T Cakes Ltd,1,0.9456851732493436,278
aj s cakes and bakes,AJ's Cakes And Bakes,1,0.9450757179663267,279
solascene bakery,Solascene Bakery,1,0.9449042373439657,280
savera bakery and sweet centre,Savera Bakery & Sweet Centre,1,0.9448795434427009,281
may s cakes and bakes,May's Cakes And Bakes,1,0.9448135821567807,282
luminary bakery,Luminary Bakery,1,0.9447780011430124,283
amoreira bakery,Amoreira Bakery,1,0.9445359313149777,284
vapey cakes,Vapey cakes,1,0.9435898778487576,285
boutique bakes and cakes,Boutique Bakes And Cakes,1,0.9430550964780754,286
little oven bakes,Little Oven Bakes,1,0.942333093189065,287
the gluten free bakery,The gluten free bakery,1,0.9421542631405619,288
the loaf cake company,THE LOAF CAKE COMPANY,1,0.9421180974758716,289
angels bakery ltd,Angels Bakery Ltd,1,0.941932948311761,290
auntie s bakery,Auntie's Bakery,1,0.9416409326693124,291
shivis bakes and cakes,Shivis Bakes And Cakes,1,0.9414271375549681,292
signorelli bakery,Signorelli Bakery,1,0.9414257546126286,293
the modified bakery,The Modified Bakery,1,0.9412337911608964,294
cake co,Cake Co,2,0.9412043232327115,295
simmons bakers ltd,Simmons Bakers Ltd,1,0.9411102472095532,296
sri s cakes,Sri's Cakes,1,0.9410704535543444,297
sara s cakes and bakes,Sara's Cakes And Bakes,2,0.9409224674658051,298
cmj artisan bakery,CMJ Artisan Bakery,1,0.9406809808930139,299
renbake patisserie limited,Renbake Patisserie Limited,1,0.9397260080449131,300
the short and sweet bakery,The Short & Sweet Bakery,1,0.9388350595657277,301
sour dough bakery,Sour Dough Bakery,1,0.938400662084531,302
cake forest ltd,Cake Forest Ltd,1,0.9383847749450964,303
rafiq sweets and bakers,Rafiq Sweets & Bakers,1,0.9381666843511673,304
sharons bakery,Sharons Bakery,1,0.9377573753789215,305
bex s bakery,Bex's Bakery,1,0.9376965274397183,306
the cavan bakery ltd,The Cavan Bakery Ltd,4,0.9376510692640714,307
eggfree cake box tolworth,Eggfree Cake Box (Tolworth),1,0.9376190453278047,308
nick s bakery and patisserie,Nick's Bakery & Patisserie,1,0.9376039031885386,309
almada bakery,Almada Bakery,1,0.9374483867460408,310
the egg free cake box,The Egg Free Cake Box,1,0.9372369321780473,311
sweet nothing cakes,Sweet Nothing Cakes,1,0.9360545951138719,312
lavi s cake,Lavi's Cake,1,0.9350772981167077,313
eggfree cake box croydon,Eggfree Cake Box Croydon,1,0.9347424572338808,314
anna s home bakery,Anna's home bakery,1,0.9346256080423239,315
royal bakery,Royal Bakery,1,0.9342491795021804,316
euphorium bakery,Euphorium Bakery,2,0.9340349314181636,317
tarn bakery,Tarn Bakery,1,0.9338574094649421,318
the village bakery,The Village Bakery,2,0.9336496203823631,319
wilson s bakes home baker,Wilson's Bakes (home baker),1,0.9333957695273493,320
melly s cakes,Melly's Cakes,1,0.9332191381166809,321
birley bakery,Birley Bakery,1,0.9330575699598188,322
the cake box,The Cake Box,3,0.9329851787945862,323
indi bakes cakes,Indi Bakes Cakes,1,0.9318521158558352,324
entree bakery,Entree Bakery,4,0.9314954223247532,325
fabrique bakery ltd,Fabrique Bakery Ltd,1,0.9314513118441313,326
so cakes co,SO Cakes Co,1,0.931303175077759,327
nikki s bakery,Nikki's Bakery,1,0.9311412291701326,328
albayt bakery,Albayt Bakery,1,0.930623027181761,329
raveena bakes cakes,Raveena Bakes Cakes,1,0.9304886552011535,330
london cakes and bakes,London Cakes & Bakes,1,0.9303955660682762,331
the cakery,The Cakery,3,0.9300748304431592,332
little more bakery,Little More Bakery,1,0.9299924517175041,333
pantry cakes,Pantry Cakes,1,0.9295372566902836,334
a r bakes,A.r bakes,1,0.9292948639268257,335
little blue bakery,Little Blue Bakery,1,0.9290003219690318,336
flavourtown bakery,Flavourtown Bakery,2,0.9287348894245469,337
ak cakes and bakes,AK Cakes and Bakes,1,0.9271242835126517,338
mary s bakery hca,Mary's bakery (HCA),1,0.926683114212333,339
paddy cakes ltd,PADDY CAKES LTD,1,0.9265771193876059,340
cakes and treats,Cakes & Treats,1,0.9261584990395693,341
sarah s cakes and bakes,Sarah's Cakes And Bakes,1,0.9256459732320386,342
bakhtar bakery ltd,Bakhtar Bakery Ltd.,1,0.925394472526871,343
the bagel bakery,The Bagel Bakery,1,0.9243249136381827,344
eggless cake delights,Eggless Cake Delights,1,0.9222480988894541,345
ideal sweets and bakers,Ideal Sweets & Bakers,1,0.92204801218324,346
404 bakery,404 Bakery,1,0.9219596952197702,347
hilal bakery ltd,Hilal Bakery LTD,1,0.9216165292836155,348
happy crumb bakery,Happy Crumb Bakery,2,0.9206028140753626,349
cyprus bakery ltd,Cyprus Bakery Ltd,1,0.9205306217675234,350
the cakery london limited,The cakery london limited,1,0.9201997501617631,351
jp cakes,JP Cakes,1,0.9200916527523031,352
dee light bakery,Dee Light Bakery,1,0.9199664771680912,353
j adore cakes ltd,J'Adore Cakes Ltd,1,0.9199129861981246,354
cakes by lud,Cakes By Lud,1,0.919897276034236,355
em cakes,EM CAKES,2,0.9197915601476282,356
suzeti s homemade bakery,Suzeti's Homemade Bakery,1,0.9195468026473539,357
mimi s bakery,Mimi's Bakery,1,0.9195246051116197,358
olivier s bakery ltd,Olivier's Bakery Ltd,2,0.9193653987672235,359
mubarakiya bakery,Mubarakiya Bakery,1,0.9191815361430824,360
cakes by iba,Cakes By Iba,1,0.9191093912374535,361
cakes by mn,Cakes By MN,1,0.9187990983578362,362
didi s sweets and cakes,Didi's Sweets & Cakes,1,0.9187870351466546,363
adams cakes,Adams Cakes,1,0.9186938760213128,364
pophams bakery,Pophams Bakery,1,0.9182971374201927,365
all things cakes ltd,All things cakes ltd,1,0.9181509764890049,366
ybr cake,YBR Cake,1,0.9178850542021397,367
edwards bakery,Edwards Bakery,1,0.9175727815471606,368
elmers end bakery,Elmers End Bakery,1,0.9172856449531704,369
gina s bakery,Gina's Bakery,1,0.9171263369923828,370
homemade sweets and cakes by nico,Homemade Sweets & Cakes By Nico,1,0.9170623059982526,371
lollys bakes ltd,Lollys Bakes Ltd,1,0.9170272734704623,372
emily s cakes and bakes,Emily’s Cakes and Bakes,1,0.9165110615871318,373
l eto bakery,L'Eto Bakery,1,0.9163853778178317,374
kylie s dominican bakery,Kylie's Dominican Bakery,1,0.9152566868463174,375
little lee s bakery,Little Lee's Bakery,1,0.9145492920585767,376
c for cakes,C For Cakes,1,0.914315844264447,377
the crumb cakery,The crumb cakery,1,0.9140496276001239,378
sugar plum bakes,Sugar Plum Bakes,1,0.9138266042347045,379
mum s cake box,Mum's Cake Box,1,0.9138005737913414,380
cakes by maria,Cakes by Maria,1,0.9137874151089751,381
toad bakery,TOAD Bakery,2,0.9131245058687701,382
afgani bakery ltd,Afgani Bakery Ltd,1,0.9131170634884417,383
ellas bakery,Ellas Bakery,2,0.913075682526229,384
plough bakery,Plough Bakery,1,0.9130164461848094,385
libby s gluten free and sugar free bakery,Libby's Gluten Free and Sugar Free Bakery,1,0.9127280645012359,386
frosted bakery,Frosted Bakery,1,0.9126866190796866,387
sweet samsara cakes,Sweet Samsara Cakes,1,0.9123916742988877,388
fabrique bakery,Fabrique Bakery,1,0.912252294056996,389
family bakery,Family Bakery,1,0.9119198505944008,390
la terra bakery,La Terra Bakery,1,0.9107324661188126,391
kute cake,Kute Cake,1,0.910597667336161,392
bagel n cakes,Bagel n Cakes,1,0.9104807386801312,393
rock cake,Rock Cake,1,0.9100867039145111,394
st john bakery company ltd,St john bakery company ltd,1,0.9093185496782323,395
curtis cakes limited,Curtis Cakes Limited,1,0.9090242421818211,396
bere s cake and bake,BERE'S CAKE & BAKE,1,0.9088917320572095,397
sweety s signature bakes,Sweety’s Signature Bakes,1,0.9088105879475766,398
lala s bakes and cakes,LaLa's Bakes & Cakes,1,0.9087787716757323,399
roni s bakery,Roni’s Bakery,1,0.9087473605321031,400
the eggless cake box,The Eggless Cake Box,1,0.9087151138486766,401
cake beb,Cake Beb,1,0.9083044278048124,402
sweet and sourdough,SWEET & SOURDOUGH,1,0.9081088215821451,403
4evercakes chocolate couture limited,4evercakes Chocolate Couture Limited,1,0.9072472690657848,404
alpha bakery,Alpha Bakery,1,0.9070138796546893,405
intrepid bakery anassa,Intrepid Bakery Anassa,1,0.9067383312709609,406
greek art bakery,Greek Art Bakery,1,0.9067367464547722,407
bread lab limited,Bread Lab Limited,1,0.9066603891443465,408
nity s delights cakes,Nity's Delights ( Cakes ),1,0.9059572462220757,409
the eggfree cake box plumstead,The Eggfree Cake Box (Plumstead),1,0.9058461124663103,410
me and maí bakery,Me & Maí Bakery,1,0.9057307624245943,411
coughlans bakeries,Coughlans Bakeries,1,0.9056139457685346,412
neia s cake,Neia's Cake,1,0.9049516333037746,413
sweets treats,Sweets + Treats,1,0.9049155309059779,414
ra ra s cakes and bakes,Ra-Ra's Cakes And Bakes,1,0.9037230832842302,415
the terebinth bakery,The Terebinth Bakery,1,0.9035621194120459,416
chashni sweets and bakers,Chashni Sweets And Bakers,2,0.9030458301765475,417
da cakes,DA Cakes,1,0.9028103435826199,418
amara bakery,Amara Bakery,1,0.9027937702430584,419
tudor bakery,Tudor Bakery,1,0.9027373135497757,420
sandersons bakery,Sandersons Bakery,2,0.9024412372089761,421
crumbs and co bakery,Crumbs & Co. Bakery,1,0.902259092298687,422
eggfree cake box northwood hills,Eggfree Cake Box - Northwood Hills,1,0.9021640785199609,423
janu s cake,Janu's cake,1,0.902097882947391,424
mario ghost bakery ltd,Mario Ghost Bakery LTD,1,0.9020666796874578,425
mica s artisan bakery,Mica's Artisan Bakery,1,0.9020569513716437,426
jackie s cake and bakes,Jackie's Cake and Bakes,1,0.9016648168278448,427
rana s artisan bakery,Rana's artisan bakery,1,0.9014851686494753,428
dotty bakes ltd,Dotty Bakes Ltd.,1,0.9014384513976134,429
cake creations by debbie,Cake Creations By Debbie,1,0.9010855873064828,430
brothers bakery,Brothers Bakery,2,0.9008050135734081,431
little cakes company ltd,Little Cakes Company Ltd,1,0.9005038735039815,432
sweets,Sweets,1,0.8997004228949764,433
