CleanBusinessName,BakeryLabel,DisplayName,LocationCount,SourceCategories
hadfield s,1,Hadfield’s,2,shop=bakery
hardakers,1,Hardakers,2,shop=bakery
heidi s swiss patisserie,1,Heidi's Swiss Patisserie,2,shop=bakery
hellenic bakery,1,Hellenic Bakery,2,shop=bakery
heritage bakery,1,Heritage Bakery,2,shop=bakery
home bake,1,Home Bake,2,shop=bakery
home farm bakery,1,Home Farm Bakery,2,shop=bakery
irene,1,Irene,2,shop=bakery
james ford and son,1,James Ford and son,2,shop=bakery
joe s bakery,1,Joe's Bakery,2,shop=bakery
karma bread,1,Karma Bread,2,shop=bakery
kelly s bakery,1,Kelly's Bakery,2,shop=bakery
ketts hill bakery,1,Ketts Hill Bakery,2,shop=bakery
kimmy loves cake,1,Kimmy Loves Cake,2,shop=bakery
konditor,1,Konditor,2,shop=bakery
krusty s bakery,1,Krusty's Bakery,2,shop=bakery
la chouquette,1,La Chouquette,2,shop=bakery
lee s bakery,1,Lee's Bakery,2,shop=bakery
levain and cherry,1,Levain & Cherry,2,shop=bakery
lilley s bakery,1,Lilley's Bakery,2,shop=bakery
luminary bakery,1,Luminary Bakery,2,shop=bakery
luxury bakery,1,Luxury Bakery,2,shop=bakery
maison clement,1,Maison Clement,2,shop=bakery
mandy s bakery,1,Mandy's Bakery,2,shop=bakery
marshalls bakery,1,Marshalls Bakery,2,shop=bakery
matt s bakery,1,Matt's Bakery,2,shop=bakery
medina bakery,1,Medina Bakery,2,shop=bakery
milners bakery,1,Milners Bakery,2,shop=bakery
modern provider,1,Modern Provider,2,shop=bakery
mr bakery,1,Mr Bakery,2,shop=bakery
nafees bakers,1,Nafees Bakers,2,shop=bakery
occasion cakes,1,Occasion Cakes,2,shop=bakery
old post office bakery,1,Old Post Office Bakery,2,shop=bakery
oven door bakery,1,Oven Door Bakery,2,shop=bakery
oven fresh bakery,1,Oven Fresh Bakery,2,shop=bakery
park bakery,1,Park Bakery,2,shop=bakery
pengenna pasties,1,Pengenna Pasties,2,shop=bakery
peter herd of wilmslow,1,Peter Herd of Wilmslow,2,shop=bakery
phil s bakery,1,Phil's Bakery,2,shop=bakery
philps,1,Philps,2,shop=bakery
pilkingtons,1,Pilkingtons,2,shop=bakery
pitshanger bakery,1,Pitshanger Bakery,2,shop=bakery
pop bakery,1,POP Bakery,2,shop=bakery
poppyseed bakery,1,Poppyseed Bakery,2,shop=bakery
portreath bakery,1,Portreath Bakery,2,shop=bakery
primrose bakery,1,Primrose Bakery,2,shop=bakery
real patisserie,1,Real Patisserie,2,shop=bakery
rex,1,Rex,2,shop=bakery
rogers bakery,1,Rogers Bakery,2,shop=bakery
rolling pin bakery,1,Rolling Pin Bakery,2,shop=bakery
rose s cornish bakers,1,Rose's Cornish Bakers,2,shop=bakery
rowes,1,Rowes,2,shop=bakery
rye bakery,1,Rye Bakery,2,shop=bakery
sharon s bakery,1,Sharon's Bakery,2,shop=bakery
slow rise bakery,1,Slow Rise Bakery,2,shop=bakery
sponge kitchens,1,Sponge Kitchens,2,shop=bakery
st john bakery,1,St John Bakery,2,shop=bakery
staniforth s,1,Staniforth's,2,shop=bakery
stir bakery,1,Stir Bakery,2,shop=bakery
stratton bakery,1,Stratton Bakery,2,shop=bakery
swanley bakery,1,Swanley Bakery,2,shop=bakery
ta mini lebanese bakery,1,Ta'Mini Lebanese Bakery,2,shop=bakery
taylor s bakery,1,Taylor's Bakery,2,shop=bakery
teasdale bakers,1,Teasdale Bakers,2,shop=bakery
tesco bakery,1,Tesco Bakery,2,shop=bakery
the artisan bakery,1,The Artisan Bakery,2,shop=bakery
the bakers dozen,1,The Bakers Dozen,2,shop=bakery
the bakers oven,1,The Bakers Oven,2,shop=bakery
the bakers shop,1,The Bakers Shop,2,shop=bakery
the cornish oven,1,The Cornish Oven,2,shop=bakery
the crusty loaf,1,The Crusty Loaf,2,shop=bakery
the eggfree cake box,1,The Eggfree Cake Box,2,shop=bakery
the garrison bakery,1,The Garrison Bakery,2,shop=bakery
the ginger bread man bakery,1,The Ginger Bread Man Bakery,2,shop=bakery
the hot bread shop,1,The Hot Bread Shop,2,shop=bakery
the new cottage loaf,1,The New Cottage Loaf,2,shop=bakery
the oven door,1,The Oven Door,2,shop=bakery
the strand bakery,1,The Strand Bakery,2,shop=bakery
thomas of york,1,Thomas of York,2,shop=bakery
toad bakery,1,Toad Bakery,2,shop=bakery
trentham bakehouse,1,Trentham Bakehouse,2,shop=bakery
trotters,1,Trotters,2,shop=bakery
tudor bakehouse,1,Tudor Bakehouse,2,shop=bakery
turners pies,1,Turners Pies,2,shop=bakery
victoria s bakery,1,Victoria's Bakery,2,shop=bakery
walkers the bakers,1,Walkers the Bakers,2,shop=bakery
waterfield s choice,1,Waterfield's Choice,2,shop=bakery
wenzel s the bakers,1,Wenzel's the Bakers,2,shop=bakery
wild s,1,Wild's,2,shop=bakery
williams bakery,1,Williams Bakery,2,shop=bakery
ye olde bakery,1,Ye Olde Bakery,2,shop=bakery
唐人餅家 chinatown bakery,1,唐人餅家 Chinatown Bakery,2,shop=bakery
1066 bakery café kitchen,1,1066 Bakery Café Kitchen,1,shop=bakery
108 the bakery,1,108 The Bakery,1,shop=bakery
221b bakers,1,221B Bakers,1,shop=bakery
404 bakery,1,404 Bakery,1,shop=bakery
40cakes,1,40Cakes,1,shop=bakery
7th heaven,1,7th Heaven,1,shop=bakery
a b cakes,1,A B Cakes,1,shop=bakery
a e barrow and sons ltd,1,A E Barrow And Sons Ltd,1,shop=bakery
ab cakes,1,AB Cakes,1,shop=bakery
abe s cakes,1,Abe's Cakes,1,shop=bakery
acropolis bakery,1,Acropolis Bakery,1,shop=bakery
ada s kitchen,1,Ada's Kitchen,1,shop=bakery
adam s bakery,1,Adam's Bakery,1,shop=bakery
adam shop bakery,1,Adam Shop Bakery,1,shop=bakery
adams bakery,1,Adams Bakery,1,shop=bakery
adnams,1,Adnams,1,shop=bakery
afghan bakery,1,Afghan Bakery,1,shop=bakery
after school cookie club,1,After School Cookie Club,1,shop=bakery
agege bread,1,Agege Bread,1,shop=bakery
agora greek bakery,1,Agora Greek Bakery,1,shop=bakery
ahh toots,1,Ahh Toots,1,shop=bakery
ahmed s bakers delight,1,Ahmed's Bakers Delight,1,shop=bakery
ailyn s bakery,1,Ailyn's Bakery,1,shop=bakery
aji,1,AJI,1,shop=bakery
akdeniz artisan bakery,1,Akdeniz Artisan Bakery,1,shop=bakery
akdeniz bakery,1,Akdeniz Bakery,1,shop=bakery
akins family bakers,1,Akins family bakers,1,shop=bakery
al bahri lebanese,1,Al Bahri Lebanese,1,shop=bakery
al barakah lebanese bakery,1,Al Barakah Lebanese Bakery,1,shop=bakery
al s bakery,1,Al's Bakery,1,shop=bakery
alam bakes,1,Alam Bakes,1,shop=bakery
albion bakehouse,1,Albion Bakehouse,1,shop=bakery
albion bakers,1,Albion Bakers,1,shop=bakery
aldreds the bakers,1,Aldreds The Bakers,1,shop=bakery
alexandra bakery,1,Alexandra Bakery,1,shop=bakery
all about cakes,1,All About Cakes,1,shop=bakery
allan s,1,Allan's,1,shop=bakery
allens,1,Allens,1,shop=bakery
allmarks bakery,1,Allmarks Bakery,1,shop=bakery
alma s ethical cakes and bakes,1,Alma's Ethical Cakes & Bakes,1,shop=bakery
almada,1,Almada,1,shop=bakery
amal,1,Amal,1,shop=bakery
amalfi cakes,1,Amalfi Cakes,1,shop=bakery
ambersweet cakes,1,Ambersweet Cakes,1,shop=bakery
ambry bakery,1,Ambry Bakery,1,shop=bakery
amrit sweet centre,1,Amrit Sweet Centre,1,shop=bakery
and eat it,1,and eat it,1,shop=bakery
andrew davies,1,Andrew Davies,1,shop=bakery
angelcake,1,AngelCake,1,shop=bakery
angie scott cakes,1,Angie Scott Cakes,1,shop=bakery
anjum s food,1,Anjum's Food,1,shop=bakery
anne marie patisserie,1,Anne Marie Patisserie,1,shop=bakery
antepliler baklava,1,Antepliler Baklava,1,shop=bakery
antepliler kunefe,1,Antepliler Kunefe,1,shop=bakery
antepzade,1,Antepzade,1,shop=bakery
antico forno wood fired bakery,1,Antico Forno wood fired bakery,1,shop=bakery
apollo bakery,1,Apollo Bakery,1,shop=bakery
apupa,1,Apupa,1,shop=bakery
arapina,1,Arapina,1,shop=bakery
arch bakery,1,Arch Bakery,1,shop=bakery
archdales bakery,1,Archdales Bakery,1,shop=bakery
ardington bakery,1,Ardington Bakery,1,shop=bakery
arif,1,Arif,1,shop=bakery
armstrongs bakery,1,Armstrongs Bakery,1,shop=bakery
aroma patisserie,1,Aroma Patisserie,1,shop=bakery
arome bakery,1,Arome Bakery,1,shop=bakery
arthur howell bakery,1,Arthur Howell Bakery,1,shop=bakery
artisan bakers,1,Artisan Bakers,1,shop=bakery
artisian baker,1,Artisian Baker,1,shop=bakery
artismo,1,Artismo,1,shop=bakery
artisserie patisserie,1,Artisserie Patisserie,1,shop=bakery
artoplasia,1,Artoplasia,1,shop=bakery
arôme bakery,1,Arôme Bakery,1,shop=bakery
asda bakery,1,Asda Bakery,1,shop=bakery
ashbourne bakehouse,1,Ashbourne Bakehouse,1,shop=bakery
ashten and mason,1,Ashten & Mason,1,shop=bakery
asker,1,Asker,1,shop=bakery
askers bakery,1,Askers Bakery,1,shop=bakery
assal patisserie,1,Assal Patisserie,1,shop=bakery
astills of worle,1,Astills of Worle,1,shop=bakery
astrid,1,Astrid,1,shop=bakery
astwood bank bakery,1,Astwood Bank Bakery,1,shop=bakery
asya food bakery,1,Asya Food Bakery,1,shop=bakery
athenian bakery,1,Athenian Bakery,1,shop=bakery
atherley s,1,Atherley's,1,shop=bakery
atkins master bakery,1,Atkins Master Bakery,1,shop=bakery
atkinsons,1,Atkinsons,1,shop=bakery
atlantic coast shop,1,Atlantic Coast Shop,1,shop=bakery
august bakery,1,August Bakery,1,shop=bakery
aunt avice s pasty shop,1,Aunt Avice's Pasty Shop,1,shop=bakery
aunties bakery,1,Aunties Bakery,1,shop=bakery
aux pains de papy,1,Aux Pains de Papy,1,shop=bakery
avenue bakery,1,Avenue Bakery,1,shop=bakery
avis bakery and café,1,Avis Bakery And Café,1,shop=bakery
ayesha s sweet house,1,Ayesha's Sweet House,1,shop=bakery
ayres,1,Ayres,1,shop=bakery
ayso and isi bakery,1,AYSO & ISI Bakery,1,shop=bakery
bababake aldgate,1,BabaBake Aldgate,1,shop=bakery
baban s naan,1,Baban's Naan,1,shop=bakery
babbits bakery,1,Babbits Bakery,1,shop=bakery
babylon bakery,1,Babylon Bakery,1,shop=bakery
bagel baby,1,Bagel Baby,1,shop=bakery
bagel delight bakery,1,Bagel Delight Bakery,1,shop=bakery
bagel or beigel and more,1,Bagel or Beigel and More,1,shop=bakery
baguettes bakes and cakes,1,Baguettes Bakes & Cakes,1,shop=bakery
bailey s bakehouse,1,Bailey's Bakehouse,1,shop=bakery
baines bakery,1,Baines Bakery,1,shop=bakery
bake and cake,1,Bake & Cake,1,shop=bakery
bake aways,1,Bake Aways,1,shop=bakery
bake brew,1,Bake + Brew,1,shop=bakery
bake em,1,Bake-Em,1,shop=bakery
bake me a cake,1,Bake Me A Cake,1,shop=bakery
bake me home cookie road,1,Bake Me Home Cookie Road,1,shop=bakery
bake station,1,Bake Station,1,shop=bakery
bakeaholics uk,1,Bakeaholics UK,1,shop=bakery
baked artisan bakery,1,Baked Artisan Bakery,1,shop=bakery
baked bakery and sandwich bar,1,Baked Bakery & Sandwich Bar,1,shop=bakery
baked bites bakery,1,Baked Bites Bakery,1,shop=bakery
baked boscombe,1,Baked Boscombe,1,shop=bakery
baked by beth,1,Baked By Beth,1,shop=bakery
baked by jen,1,Baked By Jen,1,shop=bakery
baked by marie,1,Baked by Marie,1,shop=bakery
baked in tettenhall,1,Baked in Tettenhall,1,shop=bakery
baked nation,1,Baked Nation,1,shop=bakery
baked up north,1,Baked Up North,1,shop=bakery
bakedd,1,bakedd,1,shop=bakery
bakehouse by signorelli,1,Bakehouse by Signorelli,1,shop=bakery
bakehouse haslemere,1,Bakehouse Haslemere,1,shop=bakery
bakehouse24,1,BakeHouse24,1,shop=bakery
baker s best,1,Baker's Best,1,shop=bakery
baker s corner,1,Baker's Corner,1,shop=bakery
baker s dozen,1,Baker's Dozen,1,shop=bakery
baker s kitchen,1,Baker's Kitchen,1,shop=bakery
baker s room,1,Baker's Room,1,shop=bakery
baker tom s,1,Baker Tom's,1,shop=bakery
bakerman,1,Bakerman,1,shop=bakery
bakers box,1,Bakers Box,1,shop=bakery
bakers dozen,1,Bakers Dozen,1,shop=bakery
bakers of bath,1,Bakers Of Bath,1,shop=bakery
bakers of bexley,1,Bakers Of Bexley,1,shop=bakery
bakers yard,1,Bakers Yard,1,shop=bakery
bakervee bakery,1,Bakervee bakery,1,shop=bakery
bakery 4,1,Bakery 4,1,shop=bakery
bakery and coffee shop,1,Bakery and Coffee Shop,1,shop=bakery
bakery and delicatessen,1,Bakery and Delicatessen,1,shop=bakery
bakery on the beach,1,Bakery on the Beach,1,shop=bakery
bakery on the hill,1,Bakery on the Hill,1,shop=bakery
bakery on the water,1,Bakery on the Water,1,shop=bakery
bakery roy al,1,Bakery Roy-Al,1,shop=bakery
bakery seven,1,Bakery Seven,1,shop=bakery
bakes and cakes,1,Bakes & Cakes,1,shop=bakery
bamford bakery,1,Bamford Bakery,1,shop=bakery
bandstand bakery,1,Bandstand Bakery,1,shop=bakery
bank top bakery,1,Bank Top Bakery,1,shop=bakery
banner crust,1,Banner Crust,1,shop=bakery
barabara s baps,1,Barabara’s Baps,1,shop=bakery
barbakan delicatessen,1,Barbakan Delicatessen,1,shop=bakery
barbakan wilmslow,1,Barbakan Wilmslow,1,shop=bakery
barbettas bakery,1,Barbettas bakery,1,shop=bakery
barefoot bakery,1,Barefoot Bakery,1,shop=bakery
barefoot oxford,1,Barefoot Oxford,1,shop=bakery
barfia,1,Barfia,1,shop=bakery
bargain bakery,1,Bargain Bakery,1,shop=bakery
barker the bakers,1,Barker The Bakers,1,shop=bakery
barkers bakery,1,Barkers Bakery,1,shop=bakery
barkers the bakers ltd,1,Barkers The Bakers Ltd,1,shop=bakery
barnstaple bakery,1,Barnstaple Bakery,1,shop=bakery
barrows bakery,1,Barrows Bakery,1,shop=bakery
barry s bakers and confectioners,1,Barry's Bakers & Confectioners,1,shop=bakery
barry s bakery,1,Barry's Bakery,1,shop=bakery
barry s home bakery ltd,1,Barry's Home Bakery Ltd,1,shop=bakery
barry s kichen,1,Barry's Kichen,1,shop=bakery
basil bakery,1,Basil Bakery,1,shop=bakery
basirs bakery,1,Basirs Bakery,1,shop=bakery
bassett bakery,1,Bassett Bakery,1,shop=bakery
bassi sweet centre,1,Bassi Sweet Centre,1,shop=bakery
batch of the day,1,Batch Of The Day,1,shop=bakery
bateson s,1,Bateson's,1,shop=bakery
bateson s bakery,1,Bateson's Bakery,1,shop=bakery
battle bakes and cakes,1,Battle Bakes & Cakes,1,shop=bakery
bawdens the old bakery,1,Bawdens The Old Bakery,1,shop=bakery
baykes,1,Baykes,1,shop=bakery
bayon,1,Bayon,1,shop=bakery
bb bakery,1,BB Bakery,1,shop=bakery
beach bakery,1,Beach Bakery,1,shop=bakery
beach s,1,Beach's,1,shop=bakery
beagleys weybourne village bakery,1,Beagleys Weybourne Village Bakery,1,shop=bakery
beaney s medway bakery,1,Beaney's Medway Bakery,1,shop=bakery
beaten by a whisker,1,Beaten by a Whisker,1,shop=bakery
beceries,1,Beceries,1,shop=bakery
becky s scilly cakes,1,Becky's Scilly Cakes,1,shop=bakery
beigel bake,1,Beigel Bake,1,shop=bakery
beirut bakery,1,Beirut Bakery,1,shop=bakery
bek sourdough bakery,1,Bek Sourdough Bakery,1,shop=bakery
bele s bakery,1,Bele's Bakery,1,shop=bakery
belgique patisserie,1,Belgique Patisserie,1,shop=bakery
belinda s bakery,1,Belinda's Bakery,1,shop=bakery
bella s bakery,1,Bella’s Bakery,1,shop=bakery
belle epoque,1,Belle Epoque,1,shop=bakery
belle epoque patisserie,1,Belle Epoque Patisserie,1,shop=bakery
belle s,1,Belle's,1,shop=bakery
bells hill bakery,1,Bells Hill Bakery,1,shop=bakery
bells of lazonby,1,Bells of Lazonby,1,shop=bakery
beltons,1,Beltons,1,shop=bakery
bench la cave,1,Bench La Cave,1,shop=bakery
benita bakery,1,Benita Bakery,1,shop=bakery
bennett s bakery,1,Bennett's Bakery,1,shop=bakery
bennetts bakery,1,Bennetts Bakery,1,shop=bakery
bennetts foods,1,Bennetts Foods,1,shop=bakery
bents homebakes,1,Bents Homebakes,1,shop=bakery
berry lane bakery,1,Berry Lane Bakery,1,shop=bakery
berry s bakery,1,Berry's Bakery,1,shop=bakery
bertwistle s bakery,1,Bertwistle's Bakery,1,shop=bakery
bessys,1,Bessys,1,shop=bakery
better health bakery,1,Better Health Bakery,1,shop=bakery
bev s baps,1,Bev's Baps,1,shop=bakery
beverly s bakery,1,Beverly's bakery,1,shop=bakery
beyond bread,1,Beyond Bread,1,shop=bakery
bg bakery,1,BG Bakery,1,shop=bakery
bi tatli bi tuzlu,1,Bi Tatli Bi Tuzlu,1,shop=bakery
bicycle bakery,1,Bicycle Bakery,1,shop=bakery
big river bakery,1,Big River Bakery,1,shop=bakery
bigwigs bakery,1,BigWigs Bakery,1,shop=bakery
bikaner sweets and snacks,1,Bikaner Sweets & Snacks,1,shop=bakery
bill s bakery,1,Bill's Bakery,1,shop=bakery
bill the baker,1,Bill the Baker,1,shop=bakery
birch bread,1,Birch Bread,1,shop=bakery
birch s little pie and cake shop,1,Birch's Little Pie & Cake Shop,1,shop=bakery
birchington village bakery,1,Birchington Village Bakery,1,shop=bakery
birley bakery,1,Birley Bakery,1,shop=bakery
birley moor bakery,1,Birley Moor Bakery,1,shop=bakery
birtley home bakery,1,Birtley Home Bakery,1,shop=bakery
biscotti di debora,1,Biscotti Di Debora,1,shop=bakery
bisous bisous,1,Bisous Bisous,1,shop=bakery
bistro bakery,1,Bistro Bakery,1,shop=bakery
bj bakery,1,BJ Bakery,1,shop=bakery
bkry,1,BKRY,1,shop=bakery
blanchflower,1,Blanchflower,1,shop=bakery
bless bakes,1,Bless Bakes,1,shop=bakery
blondies kitchen,1,Blondies Kitchen,1,shop=bakery
bloomers and danish,1,Bloomers and Danish,1,shop=bakery
bloomers bakery,1,Bloomers Bakery,1,shop=bakery
bloomsbury bakery,1,Bloomsbury Bakery,1,shop=bakery
blue nile bakery,1,Blue Nile Bakery,1,shop=bakery
blueberry box,1,Blueberry Box,1,shop=bakery
boatyard bakery and cafe,1,Boatyard Bakery & Cafe,1,shop=bakery
bodkin bakes,1,Bodkin bakes,1,shop=bakery
boho bakehouse,1,Boho Bakehouse,1,shop=bakery
bon bon bakery,1,Bon Bon Bakery,1,shop=bakery
bon vivan,1,Bon Vivan,1,shop=bakery
bond s bakery,1,Bond's Bakery,1,shop=bakery
bondgate bakery,1,Bondgate bakery,1,shop=bakery
borough 22,1,Borough 22,1,shop=bakery
boscastle bakery,1,Boscastle Bakery,1,shop=bakery
boswell,1,Boswell,1,shop=bakery
botham s,1,Botham's,1,shop=bakery
botham s bakery and tea room,1,Botham's Bakery and Tea Room,1,shop=bakery
boujon bakery,1,boujon bakery,1,shop=bakery
boulagerie joie de vie,1,Boulagerie Joie de Vie,1,shop=bakery
boulbys,1,Boulbys,1,shop=bakery
bournville bread basket,1,Bournville Bread Basket,1,shop=bakery
boutique and bakes,1,Boutique & Bakes,1,shop=bakery
bowden bakers,1,Bowden Bakers,1,shop=bakery
bowen,1,Bowen,1,shop=bakery
bradbury s home bakery,1,Bradbury's Home Bakery,1,shop=bakery
bramford road bakery jo s cakes,1,Bramford Road Bakery | Jo's Cakes,1,shop=bakery
bramhall bakery,1,Bramhall Bakery,1,shop=bakery
brampton bakery,1,Brampton Bakery,1,shop=bakery
bray s and k s,1,Bray's & K's,1,shop=bakery
bread addiction,1,Bread Addiction,1,shop=bakery
bread and bites,1,Bread and Bites,1,shop=bakery
bread and loaf,1,Bread And Loaf,1,shop=bakery
bread and macaroon,1,Bread and Macaroon,1,shop=bakery
bread by bike bakery,1,Bread By Bike Bakery,1,shop=bakery
bread flower,1,Bread Flower,1,shop=bakery
bread n things,1,Bread n' Things,1,shop=bakery
bread of life,1,Bread of Life,1,shop=bakery
bread port,1,Bread Port,1,shop=bakery
bread2bake,1,Bread2Bake,1,shop=bakery
breadbread,1,Breadbread,1,shop=bakery
breadmeister,1,Breadmeister,1,shop=bakery
breadpoint,1,Breadpoint,1,shop=bakery
breid,1,Breid,1,shop=bakery
breid bakers,1,Breid Bakers,1,shop=bakery
bretts bakery,1,Bretts Bakery,1,shop=bakery
brew and bread,1,Brew & Bread,1,shop=bakery
