FHRSID,BusinessName,Chain,Address,PostCode,InitialDecision,AIReason,ManualDecision,ManualReason
1137802,Lidl,Lidl,"Atlanta Boulevard, Romford, RM1 1TB",RM1 1TB,AUTO_INCLUDE,Insufficient information to confirm substantial bakery provision.,YES,Image evidence of bakery provision
1030146,Lidl,Lidl,"1 Central Avenue, UB3 2BN",UB3 2BN,AUTO_INCLUDE,"The provided information for this address refers to a Lidl in Yonkers, NY, not London.",YES,Image evidence of bakery provision
490556,Lidl,Lidl,"Unit 1 Ivybridge Retail Park, Twickenham Road, Isleworth, TW7 7DY",TW7 7DY,AUTO_INCLUDE,Insufficient evidence to confirm substantial bakery provision at this specific Lidl location.,YES,Image evidence of bakery provision
490935,Tesco Stores Ltd (Main Store),Tesco,"Unit 5 Bullsbridge Industrial Estate, Hayes Road, Southall, UB2 5LN",UB2 5LN,AUTO_INCLUDE,Insufficient evidence to confirm substantial bakery provision at this specific Tesco location.,YES,Image evidence of bakery provision
416027,Morrisons,Morrisons,"Morrisons, 10 Hertslet Road, London, N7 6PL",N7 6PL,AUTO_INCLUDE,"While identified as a Morrisons supermarket, there is no specific mention of bakery provision for this exact address.",YES,There is evidence online of this store having bakery provisions
1022850,Lidl,Lidl,"Unit 1 Plough Lane Retail Park Plough Lane, Summerstown, SW17 0BW",SW17 0BW,AUTO_INCLUDE,"The exact Lidl branch at Unit 1 Plough Lane Retail Park, Summerstown, SW17 0BW, could not be confidently identified with specific bakery provision details.",YES,Image evidence of bakery provision
641135,Morrisons,Morrisons,"15 The Grove, Stratford, London, E15 1EN",E15 1EN,AUTO_INCLUDE,"The Morrisons at 15 The Grove, Stratford, E15 1EN, does not have explicit bakery provision mentioned in the search results.",YES,There is evidence online of this store having bakery provisions
864084,Lidl UK,Lidl,"Units 41 And 42, West Mall, The Mall, E15 1XE",E15 1XE,AUTO_INCLUDE,"The Lidl at Units 41 And 42, West Mall, The Mall, E15 1XE, does not have explicit bakery provision mentioned in the search results.",YES,Image evidence of bakery provision
919446,Morrisons,Morrisons,"3 Silvertown Square, Canning Town, London, E16 1GW",E16 1GW,AUTO_INCLUDE,"The Morrisons at 3 Silvertown Square, Canning Town, E16 1GW, does not have explicit bakery provision mentioned in the search results.",YES,There is evidence online of this store having bakery provisions
1725215,Lidl Great Britain Limited,Lidl,"2 Springfield Drive, IG2 6QG",IG2 6QG,AUTO_INCLUDE,The exact branch could not be confidently identified with specific bakery provision details.,YES,Image evidence of bakery provision
1574249,Lidl,Lidl,"50 South Road, Twickenham",,AUTO_INCLUDE,"The postcode for Lidl 50 South Road, Twickenham is unknown, making it difficult to verify the specific store and its bakery provision.",YES,Image evidence of bakery provision
515002,Asda Supermarket,Asda,"19 Selborne Walk, Walthamstow, E17 7JR",E17 7JR,AUTO_INCLUDE,There is insufficient evidence to confirm substantial bakery provision at this specific Asda.,YES,Image evidence of bakery provision
1398899,Bangla Town Cash & Carry,,"21 Thames Road, IG11 0HS",IG11 0HS,NEEDS_CHECK,There is insufficient information to determine bakery provision for Bangla Town Cash & Carry.,NO,No evidence to prove bakery provision exists
1682136,Sainsbury's Supermarkets Ltd,Sainsbury's,"Block K, Beam Park, RM9 6SA",RM9 6SA,NEEDS_CHECK,There is insufficient information to determine bakery provision for Sainsbury's Supermarkets Ltd at this new development.,NO,Sainsbury's Local small store unlikely to have bakery section
1765888,Asia Halal Supermarket Ltd,,"227-231 Heathway, RM9 5AN",RM9 5AN,NEEDS_CHECK,Information about bakery provision for this specific store is not available.,NO,No evidence to prove bakery provision exists
1829079,Your Local International Market,,"9-10 The Triangle, Tanner Street, IG11 8QA",IG11 8QA,NEEDS_CHECK,The exact branch could not be confidently identified.,NO,No evidence to prove bakery provision exists
757054,Tesco,Tesco,"Coppetts Centre  North Circular Road London, N12 0SH",N12 0SH,NEEDS_CHECK,Insufficient information to confirm substantial bakery provision for this specific Tesco.,YES,There is evidence online of this store having bakery provisions
757096,Thornfield Supermarket,,"Thornfield Parade  Holders Hill Road London, NW7 1LN",NW7 1LN,NEEDS_CHECK,"No information found for ""Thornfield Supermarket"" at the given address.",NO,No evidence to prove bakery provision exists
757537,Gisha,,"58 Ballards Lane London, N3 2BU",N3 2BU,NEEDS_CHECK,"""Gisha"" at this address could not be confidently identified as a supermarket with bakery provision.",NO,This is a convenience store
757563,Tapuach / Sushi Fix,,"108 Brent Street London, NW4 2HH",NW4 2HH,NEEDS_CHECK,"""Tapuach / Sushi Fix"" at this address appears to be a restaurant or takeaway, not a supermarket with substantial bakery provision.",YES,Website claims fresh baked goods every morning
989329,Moshe Food & Wine,,"1099 Finchley Road London, NW11 0QB",NW11 0QB,NEEDS_CHECK,"Moshe Food & Wine is a supermarket/hypermarket, but there is no specific mention of substantial bakery provision.",NO,No evidence to prove bakery provision exists
1291299,Hyper Food Centre,,"3 Bell Lane London, NW4 2BP",NW4 2BP,NEEDS_CHECK,"Hyper Food Centre is a supermarket, but there is no specific mention of substantial bakery provision.",NO,Insuffieicent evidence beyond sweets of baked goods
1344434,Evo Supermart,,"20 Vivian Avenue London, NW4 3XP",NW4 3XP,NEEDS_CHECK,There is insufficient information to determine the bakery provision of Evo Supermart.,NO,There is not enough evidence that they sell anything beyond african and carribean food products
1582784,Way2save Supermarket,,"254 West Hendon Broadway London, NW9 6AG",NW9 6AG,NEEDS_CHECK,"While identified as a supermarket, there is insufficient information to confirm substantial bakery provision.",YES,There is sufficient evidence of a bakery stand inside of the store
1753056,Tesco Stores Limited,Tesco,"74 Watling Avenue Edgware, HA8 0LU",HA8 0LU,NEEDS_CHECK,"The specific Tesco format (e.g., Express, Superstore) is not clear, and there is no information on bakery provision.",NO,Small tesco express unlikley to have instore bakery
1901023,Pirqo Food Centre,,"20 East Barnet Road Barnet, EN4 8RQ",EN4 8RQ,NEEDS_CHECK,No specific information about bakery provision for Pirqo Food Centre was found.,NO,Very small and limited selection of baked goods insufficient provision
1960761,Colney Supermarket,,"79 Colney Hatch Lane London, N10 1LR",N10 1LR,NEEDS_CHECK,No specific information about Colney Supermarket or its bakery provision was found.,NO,Very small and limited selection of baked goods insufficient provision
580849,Asda,Asda,"13-15 Crook Log, Bexleyheath, Kent, DA6 8DZ",DA6 8DZ,NEEDS_CHECK,"While an Asda, there is no specific mention of a bakery counter or in-store bakery for this particular Crook Log location.",NO,Medium asda store however website shows a lack of bakery mentioned
531149,11 Express,,"49 Bridge Road, Wembley, HA9 9AG",HA9 9AG,NEEDS_CHECK,"No information could be found for ""11 Express 49 Bridge Road, Wembley, HA9 9AG"".",NO,Mainly an off-license
531152,A F G Bazaar,,"204 Church Road, London, NW10 9NP",NW10 9NP,NEEDS_CHECK,"No specific information could be found for ""A F G Bazaar 204 Church Road, London, NW10 9NP"".",NO,Convenience store with limited bakery provision
531714,Horan Market,,"8 Grand Parade, Forty Avenue, Wembley, HA9 9JS",HA9 9JS,NEEDS_CHECK,"Horan Market at 8 Grand Parade, Forty Avenue, Wembley, HA9 9JS is listed as a supermarket, but there is no evidence of substantial bakery provision.",NO,No evidence to prove bakery provision exists
531917,Fairprice Newsagents Food & Wine,,"559 High Road, Wembley, HA0 2DW",HA0 2DW,NEEDS_CHECK,No specific information found regarding bakery provision for Fairprice Newsagents Food & Wine.,NO,Off-license
531942,Alosra Supermarket,,"72 High Road, London, NW10 2PU",NW10 2PU,NEEDS_CHECK,"Alosra Supermarket at 72 High Road, NW10 2PU is a grocery store, but specific bakery provision is not clear.",NO,There may be some baked goods instore but there is insufficient evidence to prove that they have substantial bakery provisions
531956,Barakh Supermarket,,"122-124 High Road, London, NW10 2PN",NW10 2PN,NEEDS_CHECK,"Barakh Supermarket at 122-124 High Road, NW10 2PN could not be confidently identified with specific bakery provision.",NO,There is insufficient evidence of bakery provisions
531992,Atlantis Food Centre,,"264-266 High Road, London, NW10 2EY",NW10 2EY,NEEDS_CHECK,Insufficient information to determine bakery provision.,NO,There is insufficient evidence of bakery provisions
531994,Food Shop,,"268 High Road, London, NW10 2EY",NW10 2EY,NEEDS_CHECK,Insufficient information to determine bakery provision.,NO,There is insufficient evidence of bakery provisions
532050,Sahar,,"106-108 High Street, London, NW10 4SL",NW10 4SL,NEEDS_CHECK,Insufficient information to determine bakery provision.,NO,There is insufficient evidence of bakery provisions
532112,FB Corner,,"317 Kenton Road, Harrow, HA3 0XN",HA3 0XN,NEEDS_CHECK,Insufficient information to determine bakery provision.,NO,There is insufficient evidence of bakery provisions
532158,Kilburn Food Market,,"249 Kilburn High Road, London, NW6 7JN",NW6 7JN,NEEDS_CHECK,Insufficient information to determine bakery provision.,NO,There is insufficient evidence of bakery provisions
532159,Round The Clock Supermarket,,"261 Kilburn High Road, London, NW6 7JR",NW6 7JR,NEEDS_CHECK,"""Round The Clock Supermarket"" at 261 Kilburn High Road, London, NW6 7JR appears to be an off-license or convenience store, with no clear evidence of substantial bakery provision.",NO,Off-license
532238,Ragulan,,"628 Kingsbury Road, London, NW9 9HN",NW9 9HN,NEEDS_CHECK,"Ragulan Ltd at this address is dissolved, and Ragulans Brothers Ltd is a private limited company with no details of bakery provision.",NO,Off-license
532329,Best Price,,"26 Neasden Lane, London, NW10 2UN",NW10 2UN,NEEDS_CHECK,"""Best Price"" at 26 Neasden Lane could not be confidently identified as a supermarket with bakery provision.",NO,Newsagents
532361,Tesco,Tesco,"Tesco, 312-314 Neasden Lane, London, NW10 0AD",NW10 0AD,NEEDS_CHECK,"The specific Tesco branch at 312-314 Neasden Lane, London, NW10 0AD could not be confidently identified as a large format store with substantial bakery provision.",NO,Small tesco express unlikley to have instore bakery
532430,London Store,,"28 Park Parade, London, NW10 4JG",NW10 4JG,NEEDS_CHECK,"The ""London Store"" at 28 Park Parade, London, NW10 4JG could not be confidently identified as a supermarket with bakery provision.",NO,There is insufficient evidence of bakery provisions
532482,Preston Superstore,,"268 Preston Road, Harrow, HA3 0PY",HA3 0PY,NEEDS_CHECK,"The ""Preston Superstore"" at this address appears to be a dissolved company or a car dealership in Ohio, not a London grocery store with bakery provision.",NO,This is a convenience store
532494,Preston News,,"324 Preston Road, Harrow, HA3 0QH",HA3 0QH,NEEDS_CHECK,"No specific information about ""Preston News"" at this address could be found to determine bakery provision.",NO,This is a convenience store
532605,Station Express,,"51 Station Road, London, NW10 4UX",NW10 4UX,NEEDS_CHECK,"The exact nature of ""Station Express"" at 51 Station Road, London, NW10 4UX, and its bakery provision could not be confidently determined from the search results.",NO,Off-license
532642,Munro's Store,,"28 Temple Road, London, NW2 6PP",NW2 6PP,NEEDS_CHECK,"Munro's Store at 28 Temple Road, London, NW2 6PP appears to be a convenience store, but a Facebook page for ""Munro's"" mentions baked goods, though it's unclear if this is the same physical location or an online bakery.",NO,This is a convenience store
532714,Miorita Shop,,"25 Wembley Hill Road, Wembley, HA9 8AS",HA9 8AS,NEEDS_CHECK,"Miorita Shop at 25 Wembley Hill Road, Wembley, HA9 8AS could not be confidently identified with specific bakery provision details.",NO,Inactive
532720,Triangle Food & Wine Shop,,"1 Neeld Parade, including rear Kiosk, Wembley Hill Road, HA9 6QU",HA9 6QU,NEEDS_CHECK,Insufficient information to determine bakery provision.,NO,Off-license
532793,J R Patel,,"33 Wrights Place, London, NW10 0PX",NW10 0PX,NEEDS_CHECK,"The business ""J R Patel"" at 33 Wrights Place, London, NW10 0PX is listed as a supermarket, but there is no information about bakery provision.",NO,This is a convenience store
533012,Food World,,"8A Cambridge Avenue, London, NW6 5BB",NW6 5BB,NEEDS_CHECK,"""Food World"" at 8A Cambridge Avenue, London, NW6 5BB is listed as a supermarket/hypermarket and grocer, but there is no specific information about bakery provision.",NO,This is a convenience store
533027,"V-Procure 360 LTD,  T/a Super Savers",,"437 Kenton Road, Harrow, HA3 0XY",HA3 0XY,NEEDS_CHECK,"""V-Procure 360 LTD, T/a Super Savers"" at 437 Kenton Road, Harrow, HA3 0XY is registered with a primary business nature of ""Other retail sale in non-specialised stores"", but there is no information about bakery provision.",NO,This is a convenience store
533246,Hayat Food,,"496 Church Lane, London, NW9 8UA",NW9 8UA,NEEDS_CHECK,"Hayat Food at 496 Church Lane, London, NW9 8UA appears to be a supermarket, but there is no specific mention of bakery provision.",NO,This is a convenience store
533279,Aljazira General Store Limited,,"180 Church Road, London, NW10 9NP",NW10 9NP,NEEDS_CHECK,"Aljazira General Store Limited at 180 Church Road, London, NW10 9NP is registered as a private limited company, but there is no information about its retail offerings or bakery provision.",NO,There is insufficient evidence of bakery provisions
533280,Sunrise Food Market,,"182 Church Road, London, NW10 9NP",NW10 9NP,NEEDS_CHECK,"Sunrise Food Market at 182 Church Road, London, NW10 9NP could not be confidently identified with specific bakery provision details.",NO,There is insufficient evidence of bakery provisions
533352,Euro Supermarket,,"104-108 College Road, London, NW10 5HD",NW10 5HD,NEEDS_CHECK,Insufficient information to determine bakery provision for Euro Supermarket.,NO,This is a convenience store
533451,Atlantis Food Centre,,"77-79 Dudden Hill Lane, London, NW10 1BD",NW10 1BD,NEEDS_CHECK,Insufficient information to determine bakery provision.,NO,There is insufficient evidence of bakery provisions
533454,Yellow Shop,,"6 Library Parade, Craven Park Road, London, NW10 8SG",NW10 8SG,NEEDS_CHECK,No specific information about bakery provision could be found for Yellow Shop.,NO,There is insufficient evidence of bakery provisions
533501,Blue City Supermarket Ltd,,"145 Cricklewood Broadway, London, NW2 3HY",NW2 3HY,NEEDS_CHECK,"Blue City Supermarket Ltd is listed as a supermarket, but no details about bakery provision are available.",NO,There is insufficient evidence of bakery provisions
533516,Capital Food,,"189 Cricklewood Broadway, London, NW2 3HT",NW2 3HT,NEEDS_CHECK,"No information about ""Capital Food"" at the specified address and postcode could be found.",NO,There is insufficient evidence of bakery provisions
533681,Rombull Foods Limited,,"5D Main Drive, East Lane Business Park, Wembley, HA9 7NA",HA9 7NA,NEEDS_CHECK,No specific information about bakery provision could be found for Rombull Foods Limited.,NO,There is insufficient evidence of bakery provisions
533797,Diu Portugal,,"234 Ealing Road, Wembley, HA0 4QL",HA0 4QL,NEEDS_CHECK,"""Diu Portugal"" at this address appears to be a mobile phone repair shop or cafe, not a supermarket.",NO,There is insufficient evidence of bakery provisions
533896,The Great Wall Supermarket,,"261 Edgware Road, Kingsbury, London, NW9 6LU",NW9 6LU,NEEDS_CHECK,"The Great Wall Supermarket is an Asian supermarket, but there is no specific information about bakery provision.",NO,There is insufficient evidence of bakery provisions
543056,Cozia,,"163 Church Lane, London, NW9 8JU",NW9 8JU,NEEDS_CHECK,"No specific information could be found for ""Cozia"" at the given address to determine bakery provision.",NO,There is insufficient evidence of bakery provisions
626667,Brasil Andia,,"226 High Street, London, NW10 4TD",NW10 4TD,NEEDS_CHECK,"No specific information could be found for ""Brasil Andia"" at the given address to determine bakery provision.",NO,There is insufficient evidence of bakery provisions
653445,Tareen Food Centre,,"264 Church Lane, London, NW9 8LU",NW9 8LU,NEEDS_CHECK,"Tareen Food Centre is listed as a supermarket/hypermarket, but there is no evidence of substantial bakery provision.",NO,There is insufficient evidence of bakery provisions
778147,Basharow Emporium Ltd,,"218 Church Road, London, NW10 9NP",NW10 9NP,NEEDS_CHECK,No specific information about Basharow Emporium Ltd or its bakery provision could be found.,NO,There is insufficient evidence of bakery provisions
869556,Buy 2 Save Food Centre,,"42 Carlyon Road, Wembley, HA0 1JE",HA0 1JE,NEEDS_CHECK,"The business is listed as a supermarket/hypermarket, but there is no specific mention of bakery provision.",NO,There is insufficient evidence of bakery provisions
894423,Food 4 You,,"280 Kingsbury Road, London, NW9 0BY",NW9 0BY,NEEDS_CHECK,There is no information available to confirm the existence of a bakery at this location.,NO,There is insufficient evidence of bakery provisions
917010,Way 2 Save International Supermarket,,"37-41 High Street, London, NW10 4NE",NW10 4NE,NEEDS_CHECK,"Way 2 Save International Supermarket is listed as a supermarket, but there is no specific mention of bakery provision.",NO,There is insufficient evidence of bakery provisions
917016,Anglo Asian Cash & Carry,,"373-375 Church Lane, London, NW9 8JB",NW9 8JB,NEEDS_CHECK,"Anglo Asian Cash & Carry is identified as a supermarket/hypermarket, but there is no specific mention of bakery provision.",NO,There is insufficient evidence of bakery provisions
945784,Sivashakthi Cash & Carry,,"1, ATLIP CENTRE, Atlip Road, HA0 4PE",HA0 4PE,NEEDS_CHECK,There is no information available to confirm the existence of a bakery at this location.,NO,There is insufficient evidence of bakery provisions
960067,Al-Pasha Trading Limited,,"428-430 High Road, Wembley, HA9 6AH",HA9 6AH,NEEDS_CHECK,"Al-Pasha Trading Limited is listed as a supermarket/hypermarket, but there is no specific mention of bakery provision.",NO,There is insufficient evidence of bakery provisions
988738,Anglo Asian Cash and Carry (Shop & Basement),,"539 High Road, Wembley, HA0 2DJ",HA0 2DJ,NEEDS_CHECK,"Anglo Asian Cash and Carry is a wholesaler and retailer of Asian groceries, but there is no specific mention of substantial bakery provision.",NO,There is insufficient evidence of bakery provisions
1026347,Today's your Local Store,,"128 Windermere Avenue, Wembley, HA9 8RB",HA9 8RB,NEEDS_CHECK,"""Today's your Local Store"" is a generic name, and without further information, the specific store and its bakery provision cannot be confidently identified.",NO,There is insufficient evidence of bakery provisions
1128872,Maxideals,,"16-18 High Street, London, NW10 4LX",NW10 4LX,NEEDS_CHECK,"""Maxideals"" is a generic name, and without further information, the specific store and its bakery provision cannot be confidently identified.",NO,There is insufficient evidence of bakery provisions
1229393,Trishul Grocery - (Units A & B),,"Unit A, 529 High Road, Wembley, HA0 2DH",HA0 2DH,NEEDS_CHECK,Information about Trishul Grocery's bakery provision is not available.,NO,There is insufficient evidence of bakery provisions
1292732,Maxxi Save International Food Centre.,,"30-32 Harrow Road, Wembley, HA9 6PG",HA9 6PG,NEEDS_CHECK,Information about Maxxi Save International Food Centre's bakery provision is not available.,NO,There is insufficient evidence of bakery provisions
1331920,Sainsbury's,Sainsbury's,"1-7 Exhibition Way, Wembley, HA9 0FA",HA9 0FA,NEEDS_CHECK,"The specific Sainsbury's at 1-7 Exhibition Way, Wembley, HA9 0FA could not be confidently identified or its bakery provision detailed.",NO,This is a sainsbury's local and unlikley to have an instore bakery
1408508,RD & Sons,,"6 HEATHER PARK PARADE, Heather Park Drive, Wembley, HA0 1SL",HA0 1SL,NEEDS_CHECK,Information about RD & Sons' bakery provision is not available.,NO,There is insufficient evidence of bakery provisions
1408518,Ousheng Oriental Supermarket,,"45 Burnt Oak Broadway, Edgware, HA8 5JZ",HA8 5JZ,NEEDS_CHECK,No specific bakery provision was mentioned for Ousheng Oriental Supermarket.,NO,There is insufficient evidence of bakery provisions
1418843,Modko Ltd,,"Unit 5, 499 High Road, Wembley, HA0 2DH",HA0 2DH,NEEDS_CHECK,No information about bakery provision was found for Modko Ltd.,NO,There is insufficient evidence of bakery provisions
1468285,FRESHMART SUPERMARKET,,"34 Wembley Hill Road, Wembley, HA9 8FJ",HA9 8FJ,NEEDS_CHECK,"Freshmart Supermarket is listed as a convenience store, but no specific bakery provision was mentioned.",NO,There is insufficient evidence of bakery provisions
1531243,Malar Supermarket UK Limited / Malar Spice Ltd,,"Unit 1, 541-543 High Road, Wembley, HA0 2DJ",HA0 2DJ,NEEDS_CHECK,"Malar Supermarket UK Limited / Malar Spice Ltd is identified as a supermarket/hypermarket, but no specific bakery provision was mentioned.",NO,There is insufficient evidence of bakery provisions
1581235,Stockhouse Groceries,,"8 Court Parade, East Lane, Wembley, HA0 3HY",HA0 3HY,NEEDS_CHECK,There is insufficient information to determine bakery provision for Stockhouse Groceries.,NO,Inactive
1596914,Miah's Oriental Foods,,"84 High Road, London, NW10 2PR",NW10 2PR,NEEDS_CHECK,There is insufficient information to determine bakery provision for Miah's Oriental Foods.,NO,There is insufficient evidence of bakery provisions
1671996,Sam Poundstore,,"452 High Road, Wembley, HA9 7AY",HA9 7AY,NEEDS_CHECK,"There is no information available for ""Sam Poundstore"" at the specified address to determine bakery provision.",NO,There is insufficient evidence of bakery provisions
1696443,Tian Tian Market,,"7 Wellers Way, Wembley, HA9 0UH",HA9 0UH,NEEDS_CHECK,"Tian Tian Market is an Asian grocery store, but specific bakery provision is not detailed.",NO,There is insufficient evidence of bakery provisions
1770140,Erbil Supermarket,,"18C High Road, London, NW10 2QD",NW10 2QD,NEEDS_CHECK,Erbil Supermarket could not be confidently identified with details about its bakery provision.,NO,There is insufficient evidence of bakery provisions
1775122,WATAN MARKET,,"37 Court Parade, East Lane, Wembley, HA0 3HS",HA0 3HS,NEEDS_CHECK,"WATAN MARKET is listed as a retail trade business, but there is no information about bakery provision at this specific location.",NO,There is insufficient evidence of bakery provisions
1871512,Costcutter & Post Office,,"268-270 Kingsbury Road, London, NW9 0BT",NW9 0BT,NEEDS_CHECK,"As a Costcutter & Post Office, it is likely a convenience store, but there is insufficient information to confirm substantial bakery provision.",NO,There is insufficient evidence of bakery provisions
1905418,TINDAHAN KO. @Kabul Plaza,,"Unit 4, 42-44 High Street, London, NW10 4LS",NW10 4LS,NEEDS_CHECK,The exact branch of Tindahan Ko. @Kabul Plaza could not be confidently identified as a supermarket with substantial bakery provision.,NO,There is insufficient evidence of bakery provisions
1921706,Romania Market,,"219-221 East Lane, Wembley, HA0 3NN",HA0 3NN,NEEDS_CHECK,"While ""Romania Market"" exists, the address provided (219-221 East Lane) does not clearly correspond to a specific supermarket with bakery provision, and other Romanian markets are listed at different addresses.",NO,There is insufficient evidence of bakery provisions
358245,Penge Food Centre,,"197 - 199 High Street, Penge, London, SE20 7PF",SE20 7PF,NEEDS_CHECK,No specific information about bakery provision for Penge Food Centre was found.,NO,There is insufficient evidence of bakery provisions
358445,Sainsbury's,Sainsbury's,"Sainsbury's 5 - 7 Homefield Rise, Orpington, BR6 0RT",BR6 0RT,NEEDS_CHECK,"No specific information about bakery provision for Sainsbury's 5 - 7 Homefield Rise, Orpington was found.",YES,There is evidence on the website of this store of a bakery existing
1345315,Mega Saver,,"183 - 189 High Street, Penge, London, SE20 7PF",SE20 7PF,NEEDS_CHECK,No specific information about bakery provision for Mega Saver was found.,NO,There is insufficient evidence of bakery provisions
1811012,ASA International Food Centre,,"195 - 197 High Street, Orpington, BR6 0PF",BR6 0PF,NEEDS_CHECK,"ASA International Food Centre is a supermarket specializing in international foods, but specific bakery provision is not detailed.",NO,There is insufficient evidence of bakery provisions
1882869,Hub Mart,,"172 Petts Wood Road, Petts Wood, Orpington, BR5 1LG",BR5 1LG,NEEDS_CHECK,Insufficient information to determine bakery provision for this independent supermarket.,NO,There is insufficient evidence of bakery provisions
1896332,SS Food & Wine,,"126 High Street, Orpington, BR6 0JS",BR6 0JS,NEEDS_CHECK,Insufficient information to determine bakery provision for this independent food and wine store.,NO,There is insufficient evidence of bakery provisions
425546,Marks & Spencer,M&S,"143-151 Camden High Street, NW1 7JX",NW1 7JX,NEEDS_CHECK,Information on bakery provision for this specific M&S Simply Food was not readily available.,YES,There is evidence on the website of this store having a bakery department
1181570,Sainsbury's,Sainsbury's,"Maiden Lane Estate, Maiden Lane, NW1 9UP",NW1 9UP,NEEDS_CHECK,"There is insufficient information to determine the specific format or bakery provision of Sainsbury's at Maiden Lane Estate, NW1 9UP.",NO,"Though there is evidence online of a bakery section, it does not look like there is an instore bakery"
1251655,Tesco,Tesco,"Northways Parade, Finchley Road, NW3 5EN",NW3 5EN,NEEDS_CHECK,"The Tesco at Northways Parade, Finchley Road, NW3 5EN is identified as a Superstore, but there is no specific mention of bakery provision.",NO,"Though there is evidence online of a bakery section, it does not look like there is an instore bakery"
1560483,FAIR SUPERMARKET,,"93 Fairfax Road, NW6 4DY",NW6 4DY,NEEDS_CHECK,There is insufficient information to determine bakery provision for FAIR SUPERMARKET.,NO,There is insufficient evidence of bakery provisions
1691319,Sainsbury's Supermarkets Ltd,Sainsbury's,"Sainsbury's Camden Gospel Oak Spectrum House, 32-34 Gordon House Road, NW5 1LP",NW5 1LP,NEEDS_CHECK,There is insufficient information to determine bakery provision for Sainsbury's Camden Gospel Oak Spectrum House.,NO,"Though there is evidence online of a bakery section, it does not look like there is an instore bakery"
