AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode.longitude,geocode.latitude,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement,Chain,BusinessNameText,Address,ScreenStatus,ScreenReason
Unit 1 Jute Court,58 Abbey Road,,Barking,Nisa Local,Retailers - supermarkets/hypermarkets,7840,0,,1245192,75366,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 7FT,2025-03-29T00:00:00,fhrs_4_en-gb,4,,FHRS,0.0765813,51.5315509,5.0,5.0,10.0,,nisa local,"Unit 1 Jute Court, 58 Abbey Road, IG11 7FT",NEEDS_CHECK,Independent or other supermarket
,21 Thames Road,,Barking,Bangla Town Cash & Carry,Retailers - supermarkets/hypermarkets,7840,0,,1398899,77623,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 0HS,2026-03-28T00:00:00,fhrs_1_en-gb,1,,FHRS,0.1024605,51.5254231,15.0,10.0,20.0,,bangla town cash & carry,"21 Thames Road, IG11 0HS",NEEDS_CHECK,Independent or other supermarket
,2 Reginald Ellingworth Street,,Dagenham,Bestone,Retailers - supermarkets/hypermarkets,7840,0,,1604183,79856,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM9 4BY,2026-02-07T00:00:00,fhrs_4_en-gb,4,,FHRS,0.1162062,51.5341071,0.0,0.0,10.0,,bestone,"2 Reginald Ellingworth Street, RM9 4BY",NEEDS_CHECK,Independent or other supermarket
,14-20 Farr Avenue,,Barking,Costcutter,Retailers - supermarkets/hypermarkets,7840,0,,1681637,80917,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 0NZ,2025-11-29T00:00:00,fhrs_4_en-gb,4,,FHRS,0.104667,51.5288,5.0,5.0,10.0,,costcutter,"14-20 Farr Avenue, IG11 0NZ",NEEDS_CHECK,Independent or other supermarket
Block K,Beam Park,,Dagenham,Sainsbury's Supermarkets Ltd,Retailers - supermarkets/hypermarkets,7840,0,,1682136,80813,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM9 6SA,2024-03-07T00:00:00,fhrs_5_en-gb,5,,FHRS,,,0.0,0.0,0.0,Sainsbury's,sainsbury's supermarkets ltd,"Block K, Beam Park, RM9 6SA",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
,71 Halbutt Street,,Dagenham,Londis,Retailers - supermarkets/hypermarkets,7840,0,,1759010,82140,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM9 5AR,2024-11-02T00:00:00,fhrs_5_en-gb,5,,FHRS,0.144508,51.548241,5.0,5.0,5.0,,londis,"71 Halbutt Street, RM9 5AR",NEEDS_CHECK,Independent or other supermarket
,227-231 Heathway,,Dagenham,Asia Halal Supermarket Ltd,Retailers - supermarkets/hypermarkets,7840,0,,1765888,82266,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM9 5AN,2024-10-19T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1477681,51.5403577,5.0,5.0,5.0,,asia halal supermarket ltd,"227-231 Heathway, RM9 5AN",NEEDS_CHECK,Independent or other supermarket
,20-22 High Road,,Chadwell Heath,Istanbul Food Centre,Retailers - supermarkets/hypermarkets,7840,0,,1812189,82854,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,RM6 6PR,2025-05-14T00:00:00,fhrs_4_en-gb,4,,FHRS,0.1316126,51.5708412,5.0,10.0,5.0,,istanbul food centre,"20-22 High Road, RM6 6PR",NEEDS_CHECK,Independent or other supermarket
9-10 The Triangle,Tanner Street,,Barking,Your Local International Market,Retailers - supermarkets/hypermarkets,7840,0,,1829079,83010,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 8QA,2025-06-05T00:00:00,fhrs_3_en-gb,3,,FHRS,0.0779597,51.5436294,5.0,10.0,10.0,,your local international market,"9-10 The Triangle, Tanner Street, IG11 8QA",NEEDS_CHECK,Independent or other supermarket
Focal House,12-18 Station Parade,,Barking,Barking Cost Cutter Limited,Retailers - supermarkets/hypermarkets,7840,0,,1844383,83148,501,foodsafety@lbbd.gov.uk,Barking and Dagenham,http://www.lbbd.gov.uk/Pages/Home.aspx,False,,IG11 8DN,1901-01-01T00:00:00,fhrs_awaitinginspection_en-gb,AwaitingInspection,,FHRS,0.0804551,51.5382615,,,,,barking cost cutter limited,"Focal House, 12-18 Station Parade, IG11 8DN",NEEDS_CHECK,Independent or other supermarket
273 Ballards Lane London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756595,CP/00822,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 8NR,2025-07-11T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1797538,51.6113272,0.0,0.0,0.0,Waitrose,waitrose,"273 Ballards Lane London, N12 8NR",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm
Brent Cross Shopping Centre  Prince Charles Drive London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756628,CP/01549,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 3FQ,2025-06-19T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.224534,51.576185,5.0,5.0,0.0,Waitrose,waitrose,"Brent Cross Shopping Centre  Prince Charles Drive London, NW4 3FQ",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm
66 East Barnet Road Barnet,,,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,756780,CP/03879,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,EN4 8RQ,2021-03-02T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.170937,51.649422,0.0,0.0,0.0,Sainsbury's,sainsbury's,"66 East Barnet Road Barnet, EN4 8RQ",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
Russell Parade  Golders Green Road London,,,,Kosher Kingdom,Retailers - supermarkets/hypermarkets,7840,0,,756819,CP/04535,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 9NN,2025-08-27T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.207422,51.578299,0.0,5.0,5.0,,kosher kingdom,"Russell Parade  Golders Green Road London, NW11 9NN",NEEDS_CHECK,Independent or other supermarket
Temple Fortune Parade  Finchley Road London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756845,CP/05007,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 0QS,2022-03-23T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.199846,51.583002,0.0,0.0,0.0,Waitrose,waitrose,"Temple Fortune Parade  Finchley Road London, NW11 0QS",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm
612 Finchley Road London,,,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,756848,CP/05098,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 7RX,2026-03-30T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.194676,51.569965,0.0,5.0,0.0,Sainsbury's,sainsbury's,"612 Finchley Road London, NW11 7RX",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
The Spires Shopping Centre  High Street Barnet,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756930,CP/06851,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,EN5 5XY,2026-06-10T00:00:00,fhrs_2_en-gb,2,,FHRS,-0.203169,51.655351,10.0,15.0,5.0,Waitrose,waitrose,"The Spires Shopping Centre  High Street Barnet, EN5 5XY",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm
Viceroy Parade  High Road London,,,,Budgens,Retailers - supermarkets/hypermarkets,7840,0,,756972,CP/07292,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N2 8AQ,2026-05-12T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.164602,51.589722,0.0,5.0,0.0,,budgens,"Viceroy Parade  High Road London, N2 8AQ",NEEDS_CHECK,Independent or other supermarket
1305 High Road London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756985,CP/07565,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N20 9HX,2026-03-10T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.17561499774456,51.6312141418457,0.0,0.0,0.0,Waitrose,waitrose,"1305 High Road London, N20 9HX",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm
1430 High Road London,,,,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,0,,757008,CP/07934,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N20 9BS,2021-04-09T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1761,51.635304,0.0,0.0,0.0,M&S,marks & spencer simply foods,"1430 High Road London, N20 9BS",NEEDS_CHECK,Larger M&S store: bakery provision to confirm
Coppetts Centre  North Circular Road London,,,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,757054,CP/08819,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 0SH,2026-02-16T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.156384,51.60694,0.0,0.0,0.0,Tesco,tesco,"Coppetts Centre  North Circular Road London, N12 0SH",NEEDS_CHECK,Tesco store format unclear from FHRS record
Thornfield Parade  Holders Hill Road London,,,,Thornfield Supermarket,Retailers - supermarkets/hypermarkets,7840,0,,757096,CP/09780,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW7 1LN,2022-07-23T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.207358,51.604483,0.0,5.0,0.0,,thornfield supermarket,"Thornfield Parade  Holders Hill Road London, NW7 1LN",NEEDS_CHECK,Independent or other supermarket
Silkstream Parade  Watling Avenue Edgware,,,,Oheneba Groceries,Retailers - supermarkets/hypermarkets,7840,0,,757206,CP/12549,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,HA8 0EL,2025-11-24T00:00:00,fhrs_4_en-gb,4,,FHRS,-0.263121,51.602786,5.0,0.0,10.0,,oheneba groceries,"Silkstream Parade  Watling Avenue Edgware, HA8 0EL",NEEDS_CHECK,Independent or other supermarket
3 The Broadway London,,,,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,0,,757212,CP/12652,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW7 3LN,2025-11-18T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.248948,51.614238,0.0,0.0,0.0,M&S,marks & spencer simply foods,"3 The Broadway London, NW7 3LN",NEEDS_CHECK,Larger M&S store: bakery provision to confirm
3 Sussex Ring London,,,,Nisa International Supermarket,Retailers - supermarkets/hypermarkets,7840,0,,757217,CP/12757,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 7HY,2026-06-02T00:00:00,fhrs_3_en-gb,3,,FHRS,-0.190868,51.615354,10.0,10.0,10.0,,nisa international supermarket,"3 Sussex Ring London, N12 7HY",NEEDS_CHECK,Independent or other supermarket
Broadwalk Shopping Centre  Station Road Edgware,,,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,757254,CP/13436,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,HA8 7BQ,2025-10-27T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.27598,51.612885,0.0,0.0,0.0,Sainsbury's,sainsbury's,"Broadwalk Shopping Centre  Station Road Edgware, HA8 7BQ",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
2 Langstone Way London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,757381,CP/16444,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW7 1GU,2025-09-05T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.210481,51.607696,0.0,0.0,0.0,Waitrose,waitrose,"2 Langstone Way London, NW7 1GU",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm
Brent Cross Shopping Centre  Prince Charles Drive London,,,,Marks & Spencer,Retailers - supermarkets/hypermarkets,7840,0,,757407,CP/17492,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 3FE,2026-05-04T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.224534,51.576185,5.0,0.0,0.0,M&S,marks & spencer,"Brent Cross Shopping Centre  Prince Charles Drive London, NW4 3FE",NEEDS_CHECK,Larger M&S store: bakery provision to confirm
Tesco Store  Tilling Road London,,,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,757409,CP/17551,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW2 1LZ,2024-01-11T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.214867,51.574285,0.0,5.0,0.0,Tesco,tesco,"Tesco Store  Tilling Road London, NW2 1LZ",NEEDS_CHECK,Tesco store format unclear from FHRS record
Silkstream Parade  Watling Avenue Edgware,,,,Costcutters,Retailers - supermarkets/hypermarkets,7840,0,,757476,CP/20562,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,HA8 0EJ,2025-07-01T00:00:00,fhrs_3_en-gb,3,,FHRS,-0.263561,51.602981,10.0,10.0,10.0,,costcutters,"Silkstream Parade  Watling Avenue Edgware, HA8 0EJ",NEEDS_CHECK,Independent or other supermarket
Broadwalk Shopping Centre  Station Road Edgware,,,,Poundland,Retailers - supermarkets/hypermarkets,7840,0,,757505,CP/22879,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,HA8 7BD,2025-12-11T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.27598,51.612885,0.0,5.0,0.0,,poundland,"Broadwalk Shopping Centre  Station Road Edgware, HA8 7BD",NEEDS_CHECK,Independent or other supermarket
58 Ballards Lane London,,,,Gisha,Retailers - supermarkets/hypermarkets,7840,0,,757537,CP/23726,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N3 2BU,2023-12-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.190658,51.603202,0.0,0.0,5.0,,gisha,"58 Ballards Lane London, N3 2BU",NEEDS_CHECK,Independent or other supermarket
108 Brent Street London,,,,Tapuach / Sushi Fix,Retailers - supermarkets/hypermarkets,7840,0,,757563,CP/24451,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 2HH,2023-08-22T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.219686,51.58576,5.0,5.0,5.0,,tapuach / sushi fix,"108 Brent Street London, NW4 2HH",NEEDS_CHECK,Independent or other supermarket
Greenhill Parade  Great North Road Barnet,,,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,757789,CP/39975,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,EN5 1ES,2026-01-06T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.186852,51.646531,5.0,5.0,0.0,Tesco,tesco,"Greenhill Parade  Great North Road Barnet, EN5 1ES",NEEDS_CHECK,Tesco store format unclear from FHRS record
820 Finchley Road London,,,,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,0,,757907,CP/44788,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 6XL,2022-02-25T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.199225,51.58302,0.0,0.0,0.0,M&S,marks & spencer simply foods,"820 Finchley Road London, NW11 6XL",NEEDS_CHECK,Larger M&S store: bakery provision to confirm
836 High Road London,,,,Sainsburys,Retailers - supermarkets/hypermarkets,7840,0,,757924,CP/45575,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 9RE,2026-01-14T00:00:00,fhrs_4_en-gb,4,,FHRS,-0.17627,51.6179094,0.0,10.0,5.0,Sainsbury's,sainsburys,"836 High Road London, N12 9RE",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
2 Friern Barnet Lane London,,,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,757971,CP/47224,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N11 3LX,2022-03-27T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.159369,51.61454,0.0,0.0,0.0,Tesco,tesco,"2 Friern Barnet Lane London, N11 3LX",NEEDS_CHECK,Tesco store format unclear from FHRS record
London Gateway Service Area  M1 London Gateway Services Junction 3 From Junction 2 Off Slip London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,758139,CP/53126,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW7 3HU,2026-06-20T00:00:00,fhrs_4_en-gb,4,,FHRS,-0.266371,51.632337,0.0,10.0,0.0,Waitrose,waitrose,"London Gateway Service Area  M1 London Gateway Services Junction 3 From Junction 2 Off Slip London, NW7 3HU",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm
Winston House 2 Dollis Park London,,,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,758398,CP/59744,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N3 1HF,2025-11-18T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.195262,51.601061,0.0,0.0,0.0,Sainsbury's,sainsbury's,"Winston House 2 Dollis Park London, N3 1HF",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
Heath Parade  Grahame Park Way London,,,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,801400,15/00181/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW9 5ZN,2022-05-10T00:00:00,fhrs_4_en-gb,4,,FHRS,,,0.0,10.0,5.0,Sainsbury's,sainsbury's,"Heath Parade  Grahame Park Way London, NW9 5ZN",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
770 High Road London,,,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,920306,15/00469/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 9QH,2022-09-14T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.176348,51.615435,0.0,5.0,5.0,Tesco,tesco,"770 High Road London, N12 9QH",NEEDS_CHECK,Tesco store format unclear from FHRS record
1099 Finchley Road London,,,,Moshe Food & Wine,Retailers - supermarkets/hypermarkets,7840,0,,989329,CP/04854,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 0QB,2022-02-16T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.199292004108429,51.5816993713379,0.0,0.0,5.0,,moshe food & wine,"1099 Finchley Road London, NW11 0QB",NEEDS_CHECK,Independent or other supermarket
14 Charcot Road London,,,,Sainsburys,Retailers - supermarkets/hypermarkets,7840,0,,1027068,17/00047/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW9 5WU,2021-05-25T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.249705001711845,51.594181060791,0.0,0.0,0.0,Sainsbury's,sainsburys,"14 Charcot Road London, NW9 5WU",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record
136 Golders Green Road London,,,,Seoul Plaza,Retailers - supermarkets/hypermarkets,7840,0,,1090317,CP/20892,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 8HB,2024-01-26T00:00:00,fhrs_4_en-gb,4,,FHRS,-0.200481995940208,51.5738677978516,0.0,10.0,5.0,,seoul plaza,"136 Golders Green Road London, NW11 8HB",NEEDS_CHECK,Independent or other supermarket
3 Bell Lane London,,,,Hyper Food Centre,Retailers - supermarkets/hypermarkets,7840,0,,1291299,20/00411/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 2BP,2024-11-26T00:00:00,fhrs_2_en-gb,2,,FHRS,-0.2196831,51.58659,10.0,15.0,10.0,,hyper food centre,"3 Bell Lane London, NW4 2BP",NEEDS_CHECK,Independent or other supermarket
20 Vivian Avenue London,,,,Evo Supermart,Retailers - supermarkets/hypermarkets,7840,0,,1344434,20/00987/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 3XP,2026-06-09T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.2288753,51.5827849,0.0,5.0,5.0,,evo supermart,"20 Vivian Avenue London, NW4 3XP",NEEDS_CHECK,Independent or other supermarket
128 Station Road Edgware,,,,Mir Food Centre 2,Retailers - supermarkets/hypermarkets,7840,0,,1519608,22/00318/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,HA8 7AA,2022-06-16T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.277014,51.612288,5.0,0.0,5.0,,mir food centre 2,"128 Station Road Edgware, HA8 7AA",NEEDS_CHECK,Independent or other supermarket
11 Central Circus London,,,,NISA LOCAL,Retailers - supermarkets/hypermarkets,7840,0,,1557819,22/00497/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 3AS,2022-11-04T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.22688085,51.58308901,5.0,5.0,5.0,,nisa local,"11 Central Circus London, NW4 3AS",NEEDS_CHECK,Independent or other supermarket
