AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,Distance,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,Phone,PostCode,RatingDate,RatingKey,RatingValue,RightToReply,SchemeType,geocode.longitude,geocode.latitude,scores.Hygiene,scores.Structural,scores.ConfidenceInManagement,Chain,BusinessNameText,Address,ScreenStatus,ScreenReason,PostCodeClean,SiteRecords,FinalBakeryProvision,AIReason,ManualDecision,ManualReason,BakeryClass
Brent Cross Shopping Centre  Prince Charles Drive London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756628,CP/01549,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 3FQ,2025-06-19T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.224534,51.576185,5.0,5.0,0.0,Waitrose,waitrose,"Brent Cross Shopping Centre  Prince Charles Drive London, NW4 3FQ",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,NW43FQ,1,YES,Waitrose at Brent Cross offers fresh deli counters and made-in-branch baguettes.,,,GROCER_BAKERY
Temple Fortune Parade  Finchley Road London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756845,CP/05007,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 0QS,2022-03-23T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.199846,51.583002,0.0,0.0,0.0,Waitrose,waitrose,"Temple Fortune Parade  Finchley Road London, NW11 0QS",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,NW110QS,1,YES,"Waitrose Temple Fortune is a full-size supermarket with a range of bakery products, including croissants and sourdough bread.",,,GROCER_BAKERY
The Spires Shopping Centre  High Street Barnet,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756930,CP/06851,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,EN5 5XY,2026-06-10T00:00:00,fhrs_2_en-gb,2,,FHRS,-0.203169,51.655351,10.0,15.0,5.0,Waitrose,waitrose,"The Spires Shopping Centre  High Street Barnet, EN5 5XY",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,EN55XY,1,YES,Waitrose Barnet has a redesigned bakery offering and in-store bakery.,,,GROCER_BAKERY
1305 High Road London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,756985,CP/07565,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N20 9HX,2026-03-10T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.17561499774456,51.6312141418457,0.0,0.0,0.0,Waitrose,waitrose,"1305 High Road London, N20 9HX",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,N209HX,1,YES,Waitrose Whetstone lists a bakery department and made-in-branch baguettes.,,,GROCER_BAKERY
1430 High Road London,,,,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,0,,757008,CP/07934,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N20 9BS,2021-04-09T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.1761,51.635304,0.0,0.0,0.0,M&S,marks & spencer simply foods,"1430 High Road London, N20 9BS",NEEDS_CHECK,Larger M&S store: bakery provision to confirm,N209BS,1,YES,M&S Simply Food Mill Hill lists a bakery department.,,,GROCER_BAKERY
Coppetts Centre  North Circular Road London,,,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,757054,CP/08819,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 0SH,2026-02-16T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.156384,51.60694,0.0,0.0,0.0,Tesco,tesco,"Coppetts Centre  North Circular Road London, N12 0SH",NEEDS_CHECK,Tesco store format unclear from FHRS record,N120SH,1,YES,Insufficient information to confirm substantial bakery provision for this specific Tesco.,YES,There is evidence online of this store having bakery provisions,GROCER_BAKERY
3 The Broadway London,,,,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,0,,757212,CP/12652,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW7 3LN,2025-11-18T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.248948,51.614238,0.0,0.0,0.0,M&S,marks & spencer simply foods,"3 The Broadway London, NW7 3LN",NEEDS_CHECK,Larger M&S store: bakery provision to confirm,NW73LN,1,YES,M&S Simply Food Mill Hill lists a bakery department.,,,GROCER_BAKERY
Broadwalk Shopping Centre  Station Road Edgware,,,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,757254,CP/13436,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,HA8 7BQ,2025-10-27T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.27598,51.612885,0.0,0.0,0.0,Sainsbury's,sainsbury's,"Broadwalk Shopping Centre  Station Road Edgware, HA8 7BQ",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,HA87BQ,1,YES,Sainsbury's Edgware has a bakery department and an in-store bakery.,,,GROCER_BAKERY
2 Langstone Way London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,757381,CP/16444,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW7 1GU,2025-09-05T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.210481,51.607696,0.0,0.0,0.0,Waitrose,waitrose,"2 Langstone Way London, NW7 1GU",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,NW71GU,1,YES,Waitrose Mill Hill lists a bakery department on its official store page.,,,GROCER_BAKERY
Brent Cross Shopping Centre  Prince Charles Drive London,,,,Marks & Spencer,Retailers - supermarkets/hypermarkets,7840,0,,757407,CP/17492,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW4 3FE,2026-05-04T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.224534,51.576185,5.0,0.0,0.0,M&S,marks & spencer,"Brent Cross Shopping Centre  Prince Charles Drive London, NW4 3FE",NEEDS_CHECK,Larger M&S store: bakery provision to confirm,NW43FE,1,YES,M&S Brent Cross Foodhall has an in-store bakery and coffee counter.,,,GROCER_BAKERY
Tesco Store  Tilling Road London,,,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,757409,CP/17551,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW2 1LZ,2024-01-11T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.214867,51.574285,0.0,5.0,0.0,Tesco,tesco,"Tesco Store  Tilling Road London, NW2 1LZ",NEEDS_CHECK,Tesco store format unclear from FHRS record,NW21LZ,1,YES,Tesco Brent Cross Hendon Way Superstore has a bakery.,,,GROCER_BAKERY
39 Ballards Lane London,,,,Tesco Superstore,Retailers - supermarkets/hypermarkets,7840,0,,757716,CP/36945,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N3 1XP,2026-02-10T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.191331,51.603348,0.0,0.0,0.0,Tesco,tesco superstore,"39 Ballards Lane London, N3 1XP",AUTO_INCLUDE,Large Tesco supermarket format,N31XP,1,YES,Tesco Superstores are large format stores that typically have substantial bakery provisions.,,,GROCER_BAKERY
820 Finchley Road London,,,,Marks & Spencer Simply Foods,Retailers - supermarkets/hypermarkets,7840,0,,757907,CP/44788,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW11 6XL,2022-02-25T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.199225,51.58302,0.0,0.0,0.0,M&S,marks & spencer simply foods,"820 Finchley Road London, NW11 6XL",NEEDS_CHECK,Larger M&S store: bakery provision to confirm,NW116XL,1,YES,M&S Simply Food Temple Fortune lists a bakery department.,,,GROCER_BAKERY
836 High Road London,,,,Sainsburys,Retailers - supermarkets/hypermarkets,7840,0,,757924,CP/45575,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N12 9RE,2026-01-14T00:00:00,fhrs_4_en-gb,4,,FHRS,-0.17627,51.6179094,0.0,10.0,5.0,Sainsbury's,sainsburys,"836 High Road London, N12 9RE",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,N129RE,1,YES,Sainsbury's North Finchley Superstore lists a bakery.,,,GROCER_BAKERY
London Gateway Service Area  M1 London Gateway Services Junction 3 From Junction 2 Off Slip London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,758139,CP/53126,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW7 3HU,2026-06-20T00:00:00,fhrs_4_en-gb,4,,FHRS,-0.266371,51.632337,0.0,10.0,0.0,Waitrose,waitrose,"London Gateway Service Area  M1 London Gateway Services Junction 3 From Junction 2 Off Slip London, NW7 3HU",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,NW73HU,1,YES,Waitrose at London Gateway Services is described as a grocery stop with fresh food and bakery items.,,,GROCER_BAKERY
Winston House 2 Dollis Park London,,,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,758398,CP/59744,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N3 1HF,2025-11-18T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.195262,51.601061,0.0,0.0,0.0,Sainsbury's,sainsbury's,"Winston House 2 Dollis Park London, N3 1HF",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,N31HF,1,YES,Sainsbury's Finchley Regents Park Road Local lists a bakery counter in its services.,,,GROCER_BAKERY
326 Regents Park Road London,,,,Waitrose,Retailers - supermarkets/hypermarkets,7840,0,,1717251,17/00276/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,N3 2LN,2025-11-10T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.194821,51.600173,0.0,0.0,0.0,Waitrose,waitrose,"326 Regents Park Road London, N3 2LN",NEEDS_CHECK,Full Waitrose store: bakery provision to confirm,N32LN,1,YES,Waitrose's official store page and other sources confirm a bakery counter.,,,GROCER_BAKERY
Henshaw Parade  The Hyde London,,,,Sainsburys,Retailers - supermarkets/hypermarkets,7840,0,,1775846,24/00490/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,NW9 6GH,2025-11-18T00:00:00,fhrs_5_en-gb,5,,FHRS,,,0.0,0.0,0.0,Sainsbury's,sainsburys,"Henshaw Parade  The Hyde London, NW9 6GH",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,NW96GH,1,YES,Sainsbury's Hendon Superstore lists a bakery among its food-to-go options.,,,GROCER_BAKERY
98 Burnt Oak Broadway Edgware,,,,Sainsburys,Retailers - supermarkets/hypermarkets,7840,0,,1786355,24/00582/COMM,502,FoodSafety@barnet.gov.uk,Barnet,http://www.barnet.gov.uk/,False,,HA8 0BE,2025-05-07T00:00:00,fhrs_5_en-gb,5,,FHRS,-0.26651,51.600237,0.0,0.0,0.0,Sainsbury's,sainsburys,"98 Burnt Oak Broadway Edgware, HA8 0BE",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,HA80BE,1,YES,Sainsbury's Burnt Oak Broadway Local store offers fresh bread and cakes baked daily in-store.,,,GROCER_BAKERY
160 Broadway,Bexleyheath,Kent,,Asda,Retailers - supermarkets/hypermarkets,7840,0,,329297,07080/0160/3/002,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA6 7BN,2026-02-05T00:00:00,fhrs_5_en-gb,5,,FHRS,0.141893,51.4572,0.0,0.0,5.0,Asda,asda,"160 Broadway, Bexleyheath, Kent, DA6 7BN",NEEDS_CHECK,Asda store format unclear from FHRS record,DA67BN,1,YES,"Asda Bexleyheath Superstore lists a ""Bakery"" under its food counters.",,,GROCER_BAKERY
23 Foots Cray High Street,Sidcup,Kent,,Lidl Foots Cray,Retailers - supermarkets/hypermarkets,7840,0,,329532,14520/4000/1/004,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA14 5HJ,2024-03-02T00:00:00,fhrs_5_en-gb,5,,FHRS,0.118671,51.418592,0.0,0.0,0.0,Lidl,lidl foots cray,"23 Foots Cray High Street, Sidcup, Kent, DA14 5HJ",AUTO_INCLUDE,Lidl supermarket with established bakery provision,DA145HJ,1,YES,Lidl stores are known for their in-store bakeries with fresh bread and pastries.,,,GROCER_BAKERY
Embassy Court,Welling,Kent,,Tesco Welling Superstore,Retailers - supermarkets/hypermarkets,7840,0,,451404,10/00160/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA16 1TH,2026-06-22T00:00:00,fhrs_4_en-gb,4,,FHRS,0.109772,51.462072,5.0,10.0,5.0,Tesco,tesco welling superstore,"Embassy Court, Welling, Kent, DA16 1TH",AUTO_INCLUDE,Large Tesco supermarket format,DA161TH,1,YES,Tesco Superstores are large format stores that typically have substantial bakery provisions.,,,GROCER_BAKERY
172 Upper Wickham Lane,Welling,Kent,,Tesco,Retailers - supermarkets/hypermarkets,7840,0,,587340,18950/0172/0/000,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA16 3DX,2022-09-14T00:00:00,fhrs_5_en-gb,5,,FHRS,0.110259,51.46763,0.0,0.0,0.0,Tesco,tesco,"172 Upper Wickham Lane, Welling, Kent, DA16 3DX",NEEDS_CHECK,Tesco store format unclear from FHRS record,DA163DX,1,YES,"Tesco Welling Superstore lists a ""Bakery"" under its food counters.",,,GROCER_BAKERY
301 Lower Road,Belvedere,Kent,,Asda Superstore,Retailers - supermarkets/hypermarkets,7840,0,,620280,13/00106/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA17 6DF,2024-11-22T00:00:00,fhrs_5_en-gb,5,,FHRS,0.154425,51.491611,0.0,0.0,0.0,Asda,asda superstore,"301 Lower Road, Belvedere, Kent, DA17 6DF",AUTO_INCLUDE,Large Asda supermarket format,DA176DF,1,YES,"Asda Superstores are large format stores that typically have substantial bakery provisions, and this location has a bakery colleague.",,,GROCER_BAKERY
71 - 79 Welling High Street,Welling,Kent,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,665221,18980/0071/3/003,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA16 1TU,2024-10-24T00:00:00,fhrs_4_en-gb,4,,FHRS,0.110817,51.462242,0.0,10.0,5.0,Morrisons,morrisons,"71 - 79 Welling High Street, Welling, Kent, DA16 1TU",AUTO_INCLUDE,Full-format Morrisons supermarket,DA161TU,1,YES,Official store page and local directories list an in-store bakery.,,,GROCER_BAKERY
Stadium Way,Crayford,Dartford,Kent,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,682880,01010/2001/3/002,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA1 4HN,2025-01-06T00:00:00,fhrs_5_en-gb,5,,FHRS,0.21039,51.449586,0.0,5.0,0.0,Sainsbury's,sainsbury's,"Stadium Way, Crayford, Dartford, DA1 4HN",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,DA14HN,2,YES,Sainsbury's Crayford Superstore lists a bakery in its food to go section.,,,GROCER_BAKERY
James Watt Way,Erith,Kent,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,682887,11525/2001/3/010,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA8 2AH,2025-10-29T00:00:00,fhrs_5_en-gb,5,,FHRS,0.184678,51.480178,0.0,5.0,5.0,Morrisons,morrisons,"James Watt Way, Erith, Kent, DA8 2AH",AUTO_INCLUDE,Full-format Morrisons supermarket,DA82AH,2,YES,Morrisons store details confirm an in-store bakery.,,,GROCER_BAKERY
72 Nuxley Road,Belvedere,Kent,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,684037,14/00082/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA17 5JG,2024-02-23T00:00:00,fhrs_5_en-gb,5,,FHRS,0.145655,51.482482,5.0,5.0,0.0,Sainsbury's,sainsbury's,"72 Nuxley Road, Belvedere, Kent, DA17 5JG",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,DA175JG,1,YES,Sainsbury's Belvedere Nuxley Road Local lists a bakery in its food to go section.,,,GROCER_BAKERY
55 Broadway,Bexleyheath,Kent,,Marks & Spencer,Retailers - supermarkets/hypermarkets,7840,0,,687090,07080/0055/0/000,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA6 7JN,2026-04-13T00:00:00,fhrs_5_en-gb,5,,FHRS,0.146147,51.456133,0.0,5.0,5.0,M&S,marks & spencer,"55 Broadway, Bexleyheath, Kent, DA6 7JN",NEEDS_CHECK,Larger M&S store: bakery provision to confirm,DA67JN,1,YES,M&S Bexleyheath at 55 Broadway lists bakery as a department.,,,GROCER_BAKERY
1 Jenner Close,Sidcup,Kent,,Morrisons,Retailers - supermarkets/hypermarkets,7840,0,,738289,03/00017/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA14 6BF,2026-06-01T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1025779,51.425068,5.0,5.0,0.0,Morrisons,morrisons,"1 Jenner Close, Sidcup, Kent, DA14 6BF",AUTO_INCLUDE,Full-format Morrisons supermarket,DA146BF,1,YES,Morrisons store details and local directories confirm an in-store bakery.,,,GROCER_BAKERY
72 Broadway,Bexleyheath,Kent,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,738294,07080/0072/0/001,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA6 7DF,2026-05-06T00:00:00,fhrs_5_en-gb,5,,FHRS,0.148091,51.456159,0.0,0.0,0.0,Sainsbury's,sainsbury's,"72 Broadway, Bexleyheath, Kent, DA6 7DF",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,DA67DF,1,YES,Sainsbury's Bexleyheath Superstore at 72 Broadway lists a bakery.,,,GROCER_BAKERY
267 Brampton Road,Bexleyheath,Kent,,Sainsbury's,Retailers - supermarkets/hypermarkets,7840,0,,782383,15/00250/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA7 4TA,2024-03-15T00:00:00,fhrs_5_en-gb,5,,FHRS,0.128143,51.472621,0.0,0.0,0.0,Sainsbury's,sainsbury's,"267 Brampton Road, Bexleyheath, Kent, DA7 4TA",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,DA74TA,1,YES,Sainsbury's Bexleyheath Brampton Road Local lists a bakery in its food to go section.,,,GROCER_BAKERY
Lidl,20 Broadway,Bexleyheath,Kent,Lidl Bexleyheath,Retailers - supermarkets/hypermarkets,7840,0,,984334,17/00201/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA6 7LL,2025-02-28T00:00:00,fhrs_5_en-gb,5,,FHRS,0.149984002113342,51.4560890197754,5.0,5.0,0.0,Lidl,lidl bexleyheath,"Lidl, 20 Broadway, Bexleyheath, DA6 7LL",AUTO_INCLUDE,Lidl supermarket with established bakery provision,DA67LL,1,YES,Lidl's official store locator and local directories confirm an in-store bakery.,,,GROCER_BAKERY
46 - 60 Upper Wickham Lane,Welling,Kent,,Lidl Welling,Retailers - supermarkets/hypermarkets,7840,0,,1009721,17/00305/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA16 3HF,2023-08-09T00:00:00,fhrs_5_en-gb,5,,FHRS,0.107984997332096,51.4635887145996,0.0,5.0,0.0,Lidl,lidl welling,"46 - 60 Upper Wickham Lane, Welling, Kent, DA16 3HF",AUTO_INCLUDE,Lidl supermarket with established bakery provision,DA163HF,1,YES,Lidl's official store locator and local directories confirm an in-store bakery.,,,GROCER_BAKERY
Sainsbury's,1 Bronze Walk,Erith,Kent,Sainsbury's Supermarkets,Retailers - supermarkets/hypermarkets,7840,0,,1662478,23/00311/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA8 1GF,2024-02-29T00:00:00,fhrs_5_en-gb,5,,FHRS,0.1642419,51.4831462,0.0,0.0,0.0,Sainsbury's,sainsbury's supermarkets,"Sainsbury's, 1 Bronze Walk, Erith, DA8 1GF",NEEDS_CHECK,Sainsbury's store format unclear from FHRS record,DA81GF,1,YES,Sainsbury's Erith The Quarry lists a bakery in its food to go section.,,,GROCER_BAKERY
124 Station Road,Sidcup,Kent,,Marks And Spencer,Retailers - supermarkets/hypermarkets,7840,0,,1714120,24/00151/CP,503,food.safety@bexley.gov.uk,Bexley,http://www.bexley.gov.uk,False,,DA15 7AB,2024-06-26T00:00:00,fhrs_5_en-gb,5,,FHRS,0.102544,51.434782,0.0,0.0,5.0,M&S,marks and spencer,"124 Station Road, Sidcup, Kent, DA15 7AB",NEEDS_CHECK,Larger M&S store: bakery provision to confirm,DA157AB,1,YES,M&S Sidcup Foodhall has a 16ft in-store bakery.,,,GROCER_BAKERY
